Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
127693,NFLX,2015-01-02,348.94,21081559.04,0.021457
127694,NFLX,2015-01-05,331.18,20008570.88,-0.050897
127695,NFLX,2015-01-06,325.51,19666012.16,-0.017121
127696,NFLX,2015-01-07,327.2,19768115.2,0.005192
127697,NFLX,2015-01-08,334.455,20206433.28,0.022173
127698,NFLX,2015-01-09,329.29,19894384.64,-0.015443
127699,NFLX,2015-01-12,318.83,19262433.28,-0.031765
127700,NFLX,2015-01-13,323.79,19562096.64,0.015557
127701,NFLX,2015-01-14,324.24,19589283.84,0.00139
127702,NFLX,2015-01-15,323.76,19560284.16,-0.00148
127703,NFLX,2015-01-16,337.34,20380733.44,0.041945
127704,NFLX,2015-01-20,348.8,21073100.8,0.033972
127705,NFLX,2015-01-21,409.28,24727060.48,0.173394
127706,NFLX,2015-01-22,428.44,25884631.04,0.046814
127707,NFLX,2015-01-23,437.455,26429281.28,0.021041
127708,NFLX,2015-01-26,446.56,26979368.96,0.020814
127709,NFLX,2015-01-27,454.17,27439134.72,0.017041
127710,NFLX,2015-01-28,442.46,26767945.08,-0.025783
127711,NFLX,2015-01-29,443.8,26849012.4,0.003029
127712,NFLX,2015-01-30,441.8,26728016.4,-0.004507
127713,NFLX,2015-02-02,441.065,26683550.37,-0.001664
127714,NFLX,2015-02-03,456.92,27642746.16,0.035947
127715,NFLX,2015-02-04,448.71,27146057.58,-0.017968
127716,NFLX,2015-02-05,448.91,27158157.18,0.000446
127717,NFLX,2015-02-06,444.36,26882891.28,-0.010136
127718,NFLX,2015-02-09,443.065,26804546.37,-0.002914
127719,NFLX,2015-02-10,453.95,27463067.1,0.024568
127720,NFLX,2015-02-11,454.89,27519935.22,0.002071
127721,NFLX,2015-02-12,456.73,27631251.54,0.004045
127722,NFLX,2015-02-13,466.1,28198117.8,0.020515
127723,NFLX,2015-02-17,469.96,28431640.08,0.008281
127724,NFLX,2015-02-18,475.06,28740179.88,0.010852
127725,NFLX,2015-02-19,474.6,28712350.8,-0.000968
127726,NFLX,2015-02-20,478.2,28930143.6,0.007585
127727,NFLX,2015-02-23,471.84,28545376.32,-0.0133
127728,NFLX,2015-02-24,474.88,28729290.24,0.006443
127729,NFLX,2015-02-25,478.33,28938008.34,0.007265
127730,NFLX,2015-02-26,483.03,29222348.94,0.009826
127731,NFLX,2015-02-27,474.91,28731105.18,-0.016811
127732,NFLX,2015-03-02,480.25,29054164.5,0.011244
127733,NFLX,2015-03-03,474.71,28719005.58,-0.011536
127734,NFLX,2015-03-04,469.77,28420145.46,-0.010406
127735,NFLX,2015-03-05,467.65,28291889.7,-0.004513
127736,NFLX,2015-03-06,454.12,27473351.76,-0.028932
127737,NFLX,2015-03-09,445.63,26959723.74,-0.018695
127738,NFLX,2015-03-10,435.06,26320259.88,-0.023719
127739,NFLX,2015-03-11,440.19,26630614.62,0.011791
127740,NFLX,2015-03-12,448.32,27122463.36,0.018469
127741,NFLX,2015-03-13,438.4,26522323.2,-0.022127
127742,NFLX,2015-03-16,421.97,25528341.06,-0.037477
127743,NFLX,2015-03-17,418.52,25319622.96,-0.008176
127744,NFLX,2015-03-18,423.12,25597913.76,0.010991
127745,NFLX,2015-03-19,425.21,25724354.58,0.004939
127746,NFLX,2015-03-20,428.295,25910990.91,0.007255
127747,NFLX,2015-03-23,425.0,25711650.0,-0.007693
127748,NFLX,2015-03-24,438.28,26515063.44,0.031247
127749,NFLX,2015-03-25,421.75,25515031.5,-0.037716
127750,NFLX,2015-03-26,418.26,25303893.48,-0.008275
127751,NFLX,2015-03-27,414.77,25092755.46,-0.008344
