Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
129707,NKE,2015-01-02,95.03,64995863.53,-0.011648
129708,NKE,2015-01-05,93.5,63949418.5,-0.0161
129709,NKE,2015-01-06,92.95,63573245.45,-0.005882
129710,NKE,2015-01-07,94.87,64886431.37,0.020656
129711,NKE,2015-01-08,97.06,66384284.06,0.023084
129712,NKE,2015-01-09,95.99,65652456.49,-0.011024
129713,NKE,2015-01-12,95.86,65563542.86,-0.001354
129714,NKE,2015-01-13,95.01,64982184.51,-0.008867
129715,NKE,2015-01-14,93.71,64093048.21,-0.013683
129716,NKE,2015-01-15,92.81,63477492.31,-0.009604
129717,NKE,2015-01-16,92.99,63600603.49,0.001939
129718,NKE,2015-01-20,93.61,64024653.11,0.006667
129719,NKE,2015-01-21,93.51,63956258.01,-0.001068
129720,NKE,2015-01-22,95.85,65556703.35,0.025024
129721,NKE,2015-01-23,96.16,65768728.16,0.003234
129722,NKE,2015-01-26,96.35,65898678.85,0.001976
129723,NKE,2015-01-27,94.5,64633369.5,-0.019201
129724,NKE,2015-01-28,93.31,63819467.81,-0.012593
129725,NKE,2015-01-29,94.87,64886431.37,0.016718
129726,NKE,2015-01-30,92.25,63318647.25,-0.027617
129727,NKE,2015-02-02,91.92,63092141.52,-0.003577
129728,NKE,2015-02-03,93.35,64073666.35,0.015557
129729,NKE,2015-02-04,92.54,63517697.74,-0.008677
129730,NKE,2015-02-05,93.34,64066802.54,0.008645
129731,NKE,2015-02-06,91.79,63002911.99,-0.016606
129732,NKE,2015-02-09,91.17,62577355.77,-0.006755
129733,NKE,2015-02-10,92.75,63661837.75,0.01733
129734,NKE,2015-02-11,91.31,62673449.11,-0.015526
129735,NKE,2015-02-12,92.0,63147052.0,0.007557
129736,NKE,2015-02-13,92.04,63174507.24,0.000435
129737,NKE,2015-02-17,91.86,63050958.66,-0.001956
129738,NKE,2015-02-18,93.62,64258989.22,0.01916
129739,NKE,2015-02-19,93.7,64313899.7,0.000855
129740,NKE,2015-02-20,94.93,65158148.33,0.013127
129741,NKE,2015-02-23,95.01,65213058.81,0.000843
129742,NKE,2015-02-24,95.42,65494475.02,0.004315
129743,NKE,2015-02-25,96.82,66455408.42,0.014672
129744,NKE,2015-02-26,96.99,66572093.19,0.004648
129745,NKE,2015-02-27,97.12,66661322.72,0.00134
129746,NKE,2015-03-02,98.75,67780123.75,0.016783
129747,NKE,2015-03-03,97.97,67244746.57,-0.007899
129748,NKE,2015-03-04,97.52,66935875.12,-0.004593
129749,NKE,2015-03-05,98.46,67581073.26,0.009639
129750,NKE,2015-03-06,96.91,66517182.71,-0.015742
129751,NKE,2015-03-09,97.43,66874100.83,0.005366
129752,NKE,2015-03-10,96.51,66242630.31,-0.009443
129753,NKE,2015-03-11,95.34,65439564.54,-0.012123
129754,NKE,2015-03-12,97.04,66606412.24,0.017831
129755,NKE,2015-03-13,95.81,65762163.61,-0.012675
129756,NKE,2015-03-16,96.44,66194583.64,0.006576
129757,NKE,2015-03-17,96.54,66263221.74,0.001037
129758,NKE,2015-03-18,97.51,66929011.31,0.010048
129759,NKE,2015-03-19,98.32,67484979.92,0.008307
129760,NKE,2015-03-20,101.98,69997134.38,0.037225
129761,NKE,2015-03-23,101.46,69640216.26,-0.005099
129762,NKE,2015-03-24,100.65,69084247.65,-0.007983
129763,NKE,2015-03-25,98.99,67944855.19,-0.016493
129764,NKE,2015-03-26,99.33,68178224.73,0.003435
129765,NKE,2015-03-27,99.88,68555734.28,0.005537
129766,NKE,2015-03-30,100.89,69248979.09,0.010112
129767,NKE,2015-03-31,100.33,68864605.73,-0.005551
129768,NKE,2015-04-01,99.55,68329228.55,-0.007774
129769,NKE,2015-04-02,99.66,68404730.46,0.001105
129770,NKE,2015-04-06,99.73,68452777.13,0.000702
129771,NKE,2015-04-07,99.61,68370411.41,-0.001203
129772,NKE,2015-04-08,100.84,69214660.04,0.012348
129773,NKE,2015-04-09,100.72,69132294.32,-0.00119
129774,NKE,2015-04-10,99.97,68617508.57,-0.007446
129775,NKE,2015-04-13,99.27,68137041.87,-0.007002
129776,NKE,2015-04-14,99.53,68315500.93,0.002619
129777,NKE,2015-04-15,99.83,68521415.23,0.003014
129778,NKE,2015-04-16,99.9,68569461.9,0.000701
129779,NKE,2015-04-17,98.55,67642847.55,-0.013514
129780,NKE,2015-04-20,99.99,68631236.19,0.014612
129781,NKE,2015-04-21,100.29,68837150.49,0.003
129782,NKE,2015-04-22,100.15,68741057.15,-0.001396
129783,NKE,2015-04-23,101.11,69399982.91,0.009586
129784,NKE,2015-04-24,100.95,69290161.95,-0.001582
129785,NKE,2015-04-27,100.94,69283298.14,-9.9e-05
129786,NKE,2015-04-28,99.86,68542006.66,-0.010699
129787,NKE,2015-04-29,100.17,68754784.77,0.003104
129788,NKE,2015-04-30,98.84,67427659.6,-0.013277
129789,NKE,2015-05-01,100.78,68751108.2,0.019628
129790,NKE,2015-05-04,100.83,68785217.7,0.000496
129791,NKE,2015-05-05,100.42,68505519.8,-0.004066
129792,NKE,2015-05-06,100.22,68369081.8,-0.001992
129793,NKE,2015-05-07,101.45,69208175.5,0.012273
129794,NKE,2015-05-08,102.44,69883543.6,0.009759
129795,NKE,2015-05-11,102.79,70122310.1,0.003417
129796,NKE,2015-05-12,102.37,69835790.3,-0.004086
129797,NKE,2015-05-13,102.16,69692530.4,-0.002051
129798,NKE,2015-05-14,103.44,70565733.6,0.012529
129799,NKE,2015-05-15,104.98,71616306.2,0.014888
129800,NKE,2015-05-18,104.75,71459402.5,-0.002191
129801,NKE,2015-05-19,104.64,71384361.6,-0.00105
129802,NKE,2015-05-20,104.61,71363895.9,-0.000287
129803,NKE,2015-05-21,104.4,71220636.0,-0.002007
129804,NKE,2015-05-22,104.43,71241101.7,0.000287
129805,NKE,2015-05-26,103.42,70552089.8,-0.009672
129806,NKE,2015-05-27,102.84,70156419.6,-0.005608
129807,NKE,2015-05-28,102.3,69788037.0,-0.002528
129808,NKE,2015-05-29,101.67,69358257.3,-0.006158
129809,NKE,2015-06-01,101.76,69419654.4,0.000885
129810,NKE,2015-06-02,102.11,69658420.9,0.003439
129811,NKE,2015-06-03,102.51,69931296.9,0.003917
129812,NKE,2015-06-04,101.95,69549270.5,-0.005463
129813,NKE,2015-06-05,102.03,69603845.7,0.000785
