Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
131721,NVDA,2015-01-02,20.13,10941399.81,0.00399
131722,NVDA,2015-01-05,19.79,10756597.23,-0.01689
131723,NVDA,2015-01-06,19.19,10430475.03,-0.030318
131724,NVDA,2015-01-07,19.135,10400580.5,-0.002866
131725,NVDA,2015-01-08,19.86,10794644.82,0.037889
131726,NVDA,2015-01-09,19.94,10838127.78,0.004028
131727,NVDA,2015-01-12,19.69,10702243.53,-0.012538
131728,NVDA,2015-01-13,19.655,10683219.74,-0.001778
131729,NVDA,2015-01-14,19.74,10729420.38,0.004325
131730,NVDA,2015-01-15,19.6,10653325.2,-0.007092
131731,NVDA,2015-01-16,19.96,10848998.52,0.018367
131732,NVDA,2015-01-20,20.02,10881610.74,0.003006
131733,NVDA,2015-01-21,20.3,11033801.1,0.013986
131734,NVDA,2015-01-22,20.65,11224039.05,0.017241
131735,NVDA,2015-01-23,20.71,11285148.23,0.002906
131736,NVDA,2015-01-26,20.615,11233381.5,-0.004587
131737,NVDA,2015-01-27,19.63,10696642.19,-0.047781
131738,NVDA,2015-01-28,19.31,10522270.03,-0.016302
131739,NVDA,2015-01-29,19.78,10778379.14,0.02434
131740,NVDA,2015-01-30,19.205,10465054.17,-0.02907
131741,NVDA,2015-02-02,19.62,10691193.06,0.021609
131742,NVDA,2015-02-03,20.11,10958200.43,0.024975
131743,NVDA,2015-02-04,20.16,10985446.08,0.002486
131744,NVDA,2015-02-05,20.485,11162542.81,0.016121
131745,NVDA,2015-02-06,20.4,11116225.2,-0.004149
131746,NVDA,2015-02-09,20.38,11105326.94,-0.00098
131747,NVDA,2015-02-10,20.95,11415927.35,0.027969
131748,NVDA,2015-02-11,20.81,11339639.53,-0.006683
131749,NVDA,2015-02-12,22.3,12151559.9,0.0716
131750,NVDA,2015-02-13,22.31,12157009.03,0.000448
131751,NVDA,2015-02-17,22.375,12192428.38,0.002913
131752,NVDA,2015-02-18,22.12,12053475.56,-0.011397
131753,NVDA,2015-02-19,22.175,12083445.78,0.002486
131754,NVDA,2015-02-20,22.335,12170631.86,0.007215
131755,NVDA,2015-02-23,22.16,12075272.08,-0.007835
131756,NVDA,2015-02-24,22.31,12157009.03,0.010605
131757,NVDA,2015-02-25,22.14,12064373.82,-0.00762
131758,NVDA,2015-02-26,22.2,12097068.6,0.00271
131759,NVDA,2015-02-27,22.06,12020780.78,-0.006306
131760,NVDA,2015-03-02,22.595,12312309.24,0.024252
131761,NVDA,2015-03-03,22.18,12086170.34,-0.018367
131762,NVDA,2015-03-04,22.43,12222398.59,0.011271
131763,NVDA,2015-03-05,22.86,12456711.18,0.019171
131764,NVDA,2015-03-06,22.55,12398892.0,-0.013561
131765,NVDA,2015-03-09,22.61,12431882.4,0.002661
131766,NVDA,2015-03-10,22.995,12643570.8,0.017028
131767,NVDA,2015-03-11,22.88,12580339.2,-0.005001
131768,NVDA,2015-03-12,22.67,12464872.8,-0.009178
131769,NVDA,2015-03-13,22.7,12481368.0,0.001323
131770,NVDA,2015-03-16,22.97,12629824.8,0.011894
131771,NVDA,2015-03-17,23.25,12783780.0,0.01219
131772,NVDA,2015-03-18,22.87,12574840.8,-0.016344
131773,NVDA,2015-03-19,23.215,12764535.6,0.015085
131774,NVDA,2015-03-20,23.47,12904744.8,0.010984
131775,NVDA,2015-03-23,22.71,12486866.4,-0.032382
131776,NVDA,2015-03-24,22.4,12316416.0,-0.01365
131777,NVDA,2015-03-25,21.04,11568633.6,-0.060714
131778,NVDA,2015-03-26,20.965,11527395.6,-0.003565
131779,NVDA,2015-03-27,21.38,11755579.2,0.019795
131780,NVDA,2015-03-30,21.47,11805064.8,0.00421
131781,NVDA,2015-03-31,20.925,11505402.0,-0.025384
131782,NVDA,2015-04-01,21.01,11552138.4,0.004062
131783,NVDA,2015-04-02,21.06,11579630.4,0.00238
131784,NVDA,2015-04-06,21.665,11912283.6,0.028727
131785,NVDA,2015-04-07,21.86,12019502.4,0.009001
131786,NVDA,2015-04-08,22.02,12107476.8,0.007319
131787,NVDA,2015-04-09,22.525,12385146.0,0.022934
131788,NVDA,2015-04-10,22.76,12514358.4,0.010433
131789,NVDA,2015-04-13,22.55,12398892.0,-0.009227
