Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
133735,ORCL,2015-01-02,44.33,194669299.11,-0.014232
133736,ORCL,2015-01-05,43.59,191419687.53,-0.013986
133737,ORCL,2015-01-06,43.14,189443572.38,-0.010323
133738,ORCL,2015-01-07,43.15,189487486.05,0.000232
133739,ORCL,2015-01-08,43.41,190629241.47,0.006025
133740,ORCL,2015-01-09,43.39,190541414.13,-0.000461
133741,ORCL,2015-01-12,43.27,190014450.09,-0.002766
133742,ORCL,2015-01-13,42.93,188521385.31,-0.007858
133743,ORCL,2015-01-14,43.06,189092263.02,0.003028
133744,ORCL,2015-01-15,42.63,187203975.21,-0.009986
133745,ORCL,2015-01-16,43.51,191068378.17,0.020643
133746,ORCL,2015-01-20,43.9,192781011.3,0.008963
133747,ORCL,2015-01-21,43.49,190980550.83,-0.009339
133748,ORCL,2015-01-22,44.05,193439716.35,0.012877
133749,ORCL,2015-01-23,44.19,194054507.73,0.003178
133750,ORCL,2015-01-26,43.9,192781011.3,-0.006563
133751,ORCL,2015-01-27,43.4,190585327.8,-0.01139
133752,ORCL,2015-01-28,42.69,187467457.23,-0.016359
133753,ORCL,2015-01-29,42.86,188213989.62,0.003982
133754,ORCL,2015-01-30,41.89,183954363.63,-0.022632
133755,ORCL,2015-02-02,42.68,187423543.56,0.018859
133756,ORCL,2015-02-03,43.04,189004435.68,0.008435
133757,ORCL,2015-02-04,42.42,186281788.14,-0.014405
133758,ORCL,2015-02-05,43.16,189531399.72,0.017445
133759,ORCL,2015-02-06,42.98,188740953.66,-0.004171
133760,ORCL,2015-02-09,43.4,190585327.8,0.009772
133761,ORCL,2015-02-10,43.99,193176234.33,0.013594
133762,ORCL,2015-02-11,43.36,190409673.12,-0.014321
133763,ORCL,2015-02-12,43.89,192737097.63,0.012223
133764,ORCL,2015-02-13,43.93,192912752.31,0.000911
133765,ORCL,2015-02-17,43.84,192517529.28,-0.002049
133766,ORCL,2015-02-18,44.1,193659284.7,0.005931
133767,ORCL,2015-02-19,44.11,193703198.37,0.000227
133768,ORCL,2015-02-20,43.77,192210133.59,-0.007708
133769,ORCL,2015-02-23,43.78,192254047.26,0.000228
133770,ORCL,2015-02-24,43.88,192693183.96,0.002284
133771,ORCL,2015-02-25,43.73,192034478.91,-0.003418
133772,ORCL,2015-02-26,43.89,192737097.63,0.003659
133773,ORCL,2015-02-27,43.82,192429701.94,-0.001595
133774,ORCL,2015-03-02,44.03,193351889.01,0.004792
133775,ORCL,2015-03-03,43.38,190497500.46,-0.014763
133776,ORCL,2015-03-04,43.61,191507514.87,0.005302
133777,ORCL,2015-03-05,43.8,192341874.6,0.004357
133778,ORCL,2015-03-06,42.38,186106133.46,-0.03242
133779,ORCL,2015-03-09,42.69,187467457.23,0.007315
133780,ORCL,2015-03-10,41.82,183646967.94,-0.020379
133781,ORCL,2015-03-11,41.47,182109989.49,-0.008369
133782,ORCL,2015-03-12,41.62,182768694.54,0.003617
133783,ORCL,2015-03-13,42.38,186106133.46,0.01826
133784,ORCL,2015-03-16,43.41,190629241.47,0.024304
133785,ORCL,2015-03-17,42.87,188257903.29,-0.01244
133786,ORCL,2015-03-18,44.13,193791025.71,0.029391
133787,ORCL,2015-03-19,44.16,193922766.72,0.00068
133788,ORCL,2015-03-20,44.41,195020608.47,0.005661
133789,ORCL,2015-03-23,44.25,194317989.75,-0.003603
133790,ORCL,2015-03-24,43.71,191946651.57,-0.012203
133791,ORCL,2015-03-25,42.93,188521385.31,-0.017845
133792,ORCL,2015-03-26,42.99,188784867.33,0.001398
133793,ORCL,2015-03-27,42.64,187247888.88,-0.008141
