Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
135749,PEP,2015-01-02,94.44,141339470.64,-0.001269
135750,PEP,2015-01-05,93.73,140276880.38,-0.007518
135751,PEP,2015-01-06,93.02,139214290.12,-0.007575
135752,PEP,2015-01-07,95.74,143285058.44,0.029241
135753,PEP,2015-01-08,97.48,145889152.88,0.018174
135754,PEP,2015-01-09,96.82,144901392.92,-0.006771
135755,PEP,2015-01-12,96.42,144302750.52,-0.004131
135756,PEP,2015-01-13,96.35,144197988.1,-0.000726
135757,PEP,2015-01-14,96.67,144676902.02,0.003321
135758,PEP,2015-01-15,96.67,144676902.02,0.0
135759,PEP,2015-01-16,97.29,145604797.74,0.006414
135760,PEP,2015-01-20,97.51,145934051.06,0.002261
135761,PEP,2015-01-21,97.4,145769424.4,-0.001128
135762,PEP,2015-01-22,98.9,148014333.4,0.0154
135763,PEP,2015-01-23,98.53,147460589.18,-0.003741
135764,PEP,2015-01-26,98.69,147700046.14,0.001624
135765,PEP,2015-01-27,96.72,144751732.32,-0.019961
135766,PEP,2015-01-28,95.72,143255126.32,-0.010339
135767,PEP,2015-01-29,96.03,143719074.18,0.003239
135768,PEP,2015-01-30,93.78,140351710.68,-0.02343
135769,PEP,2015-02-02,95.33,142671449.98,0.016528
135770,PEP,2015-02-03,96.2,143973497.2,0.009126
135771,PEP,2015-02-04,96.6,144572139.6,0.004158
135772,PEP,2015-02-05,96.61,144587105.66,0.000104
135773,PEP,2015-02-06,96.71,143359905.99,0.001035
135774,PEP,2015-02-09,95.97,142262952.93,-0.007652
135775,PEP,2015-02-10,97.99,145257338.31,0.021048
135776,PEP,2015-02-11,100.4,148829847.6,0.024594
135777,PEP,2015-02-12,100.27,148637139.63,-0.001295
135778,PEP,2015-02-13,99.13,146947238.97,-0.011369
135779,PEP,2015-02-17,98.36,145805814.84,-0.007768
135780,PEP,2015-02-18,99.33,147243712.77,0.009862
135781,PEP,2015-02-19,98.72,146339467.68,-0.006141
135782,PEP,2015-02-20,99.06,146843473.14,0.003444
135783,PEP,2015-02-23,99.45,147421597.05,0.003937
135784,PEP,2015-02-24,99.58,147614305.02,0.001307
135785,PEP,2015-02-25,99.5,147495715.5,-0.000803
135786,PEP,2015-02-26,99.07,146858296.83,-0.004322
135787,PEP,2015-02-27,98.98,146724883.62,-0.000908
135788,PEP,2015-03-02,99.0,146754531.0,0.000202
135789,PEP,2015-03-03,98.4,145865109.6,-0.006061
135790,PEP,2015-03-04,97.36,144323445.84,-0.003913
135791,PEP,2015-03-05,97.23,144130737.87,-0.001335
135792,PEP,2015-03-06,96.17,142559426.73,-0.010902
135793,PEP,2015-03-09,96.04,142366718.76,-0.001352
135794,PEP,2015-03-10,94.43,139980104.67,-0.016764
135795,PEP,2015-03-11,93.63,138794209.47,-0.008472
135796,PEP,2015-03-12,95.71,141877536.99,0.022215
135797,PEP,2015-03-13,94.32,139817044.08,-0.014523
135798,PEP,2015-03-16,95.45,141492121.05,0.01198
135799,PEP,2015-03-17,94.13,139535393.97,-0.013829
135800,PEP,2015-03-18,94.64,140291402.16,0.005418
135801,PEP,2015-03-19,94.1,139490922.9,-0.005706
135802,PEP,2015-03-20,95.34,141007860.0,0.013177
135803,PEP,2015-03-23,95.85,141762150.0,0.005349
135804,PEP,2015-03-24,95.86,141776940.0,0.000104
135805,PEP,2015-03-25,95.26,140889540.0,-0.006259
135806,PEP,2015-03-26,95.63,141436770.0,0.003884
135807,PEP,2015-03-27,95.95,141910050.0,0.003346
135808,PEP,2015-03-30,96.52,142753080.0,0.005941
135809,PEP,2015-03-31,95.62,141742880.72,-0.009324
135810,PEP,2015-04-01,95.09,140957232.04,-0.005543
135811,PEP,2015-04-02,95.69,141846645.64,0.00631
135812,PEP,2015-04-06,96.48,143017706.88,0.008256
135813,PEP,2015-04-07,96.21,142617470.76,-0.002799
135814,PEP,2015-04-08,96.03,142350646.68,-0.001871
135815,PEP,2015-04-09,96.35,142825000.6,0.003332
135816,PEP,2015-04-10,96.2,142602647.2,-0.001557
135817,PEP,2015-04-13,95.53,141609468.68,-0.006965
135818,PEP,2015-04-14,96.49,143032530.44,0.010049
135819,PEP,2015-04-15,96.63,143240060.28,0.001451
135820,PEP,2015-04-16,96.45,142973236.2,-0.001863
135821,PEP,2015-04-17,95.81,141420446.31,-0.006636
135822,PEP,2015-04-20,96.5,142438921.5,0.007202
135823,PEP,2015-04-21,96.78,142852215.78,0.002902
135824,PEP,2015-04-22,97.28,143590241.28,0.005166
135825,PEP,2015-04-23,95.73,141302362.23,-0.015933
135826,PEP,2015-04-24,95.17,140475773.67,-0.00585
135827,PEP,2015-04-27,94.49,139472058.99,-0.007145
135828,PEP,2015-04-28,94.42,139368735.42,-0.000741
135829,PEP,2015-04-29,94.38,139309693.38,-0.000424
135830,PEP,2015-04-30,95.12,140401971.12,0.007841
135831,PEP,2015-05-01,95.56,141051433.56,0.004626
135832,PEP,2015-05-04,95.95,141627093.45,0.004081
135833,PEP,2015-05-05,95.42,140844786.42,-0.005524
135834,PEP,2015-05-06,95.48,140933349.48,0.000629
135835,PEP,2015-05-07,95.15,140446252.65,-0.003456
135836,PEP,2015-05-08,96.55,142512724.05,0.014714
135837,PEP,2015-05-11,96.35,142217513.85,-0.002071
135838,PEP,2015-05-12,96.2,141996106.2,-0.001557
135839,PEP,2015-05-13,96.41,142306076.91,0.002183
135840,PEP,2015-05-14,98.0,144652998.0,0.016492
135841,PEP,2015-05-15,98.22,144977729.22,0.002245
135842,PEP,2015-05-18,98.05,144726800.55,-0.001731
135843,PEP,2015-05-19,97.95,144579195.45,-0.00102
135844,PEP,2015-05-20,97.69,144195422.19,-0.002654
135845,PEP,2015-05-21,97.2,143472157.2,-0.005016
135846,PEP,2015-05-22,96.26,142084669.26,-0.009671
135847,PEP,2015-05-26,95.79,141390925.29,-0.004883
135848,PEP,2015-05-27,96.38,142261795.38,0.006159
135849,PEP,2015-05-28,97.06,143265510.06,0.007055
135850,PEP,2015-05-29,96.43,142335597.93,-0.006491
135851,PEP,2015-06-01,95.97,141656614.47,-0.00477
135852,PEP,2015-06-02,96.05,141774698.55,0.000834
135853,PEP,2015-06-03,95.3,140667660.3,-0.000495
135854,PEP,2015-06-04,94.14,138955441.14,-0.012172
135855,PEP,2015-06-05,93.05,137346545.55,-0.011579
135856,PEP,2015-06-08,92.84,137036574.84,-0.002257
135857,PEP,2015-06-09,93.07,137376066.57,0.002477
135858,PEP,2015-06-10,93.69,138291218.19,0.006662
135859,PEP,2015-06-11,94.09,138881638.59,0.004269
135860,PEP,2015-06-12,93.74,137985280.0,-0.00372
135861,PEP,2015-06-15,92.64,136366080.0,-0.011735
135862,PEP,2015-06-16,93.55,137705600.0,0.009823
135863,PEP,2015-06-17,94.05,138441600.0,0.005345
135864,PEP,2015-06-18,95.23,140178560.0,0.012547
135865,PEP,2015-06-19,94.86,139633920.0,-0.003885
135866,PEP,2015-06-22,95.6,140723200.0,0.007801
135867,PEP,2015-06-23,95.6,140723200.0,0.0
135868,PEP,2015-06-24,95.29,140266880.0,-0.003243
135869,PEP,2015-06-25,94.83,139589760.0,-0.004827
135870,PEP,2015-06-26,94.91,139707520.0,0.000844
135871,PEP,2015-06-29,93.69,137911680.0,-0.012854
135872,PEP,2015-06-30,93.34,137774600.34,-0.003736
135873,PEP,2015-07-01,94.52,139516340.52,0.012642
135874,PEP,2015-07-02,94.66,139054877.38,0.001481
135875,PEP,2015-07-06,94.4,138672939.2,-0.002747
135876,PEP,2015-07-07,96.4,141610925.2,0.021186
135877,PEP,2015-07-08,95.61,140450420.73,-0.008195
135878,PEP,2015-07-09,94.59,138952047.87,-0.010668
135879,PEP,2015-07-10,95.55,140362281.15,0.010149
135880,PEP,2015-07-13,97.22,142815499.46,0.017478
135881,PEP,2015-07-14,97.13,142683290.09,-0.000926
135882,PEP,2015-07-15,96.35,141537475.55,-0.00803
135883,PEP,2015-07-16,96.9,142345421.7,0.005708
135884,PEP,2015-07-17,96.78,142169142.54,-0.001238
135885,PEP,2015-07-20,97.31,142947708.83,0.005476
135886,PEP,2015-07-21,96.93,142389491.49,-0.003905
135887,PEP,2015-07-22,97.17,142742049.81,0.002476
135888,PEP,2015-07-23,96.87,142301351.91,-0.003087
135889,PEP,2015-07-24,96.18,141287746.74,-0.007123
135890,PEP,2015-07-27,95.66,140523870.38,-0.005407
135891,PEP,2015-07-28,96.11,141184917.23,0.004704
135892,PEP,2015-07-29,96.53,141801894.29,0.00437
135893,PEP,2015-07-30,96.63,141948793.59,0.001036
135894,PEP,2015-07-31,96.35,141537475.55,-0.002898
135895,PEP,2015-08-03,97.45,143153367.85,0.011417
135896,PEP,2015-08-04,97.81,143682205.33,0.003694
135897,PEP,2015-08-05,99.19,145709415.67,0.014109
135898,PEP,2015-08-06,99.15,145650655.95,-0.000403
135899,PEP,2015-08-07,99.1,145577206.3,-0.000504
135900,PEP,2015-08-10,99.09,145562516.37,-0.000101
135901,PEP,2015-08-11,98.62,144872089.66,-0.004743
135902,PEP,2015-08-12,98.38,144519531.34,-0.002434
135903,PEP,2015-08-13,98.79,145121818.47,0.004168
135904,PEP,2015-08-14,99.23,145768175.39,0.004454
135905,PEP,2015-08-17,99.86,146693640.98,0.006349
135906,PEP,2015-08-18,99.77,146561431.61,-0.000901
135907,PEP,2015-08-19,98.99,145415617.07,-0.007818
135908,PEP,2015-08-20,97.98,143931934.14,-0.010203
135909,PEP,2015-08-21,96.25,141390576.25,-0.017657
135910,PEP,2015-08-24,91.83,134897627.19,-0.045922
135911,PEP,2015-08-25,89.64,131680532.52,-0.023848
135912,PEP,2015-08-26,92.49,135867162.57,0.031794
135913,PEP,2015-08-27,93.6,137497744.8,0.012001
135914,PEP,2015-08-28,93.53,137394915.29,-0.000748
135915,PEP,2015-08-31,92.93,136513519.49,-0.006415
135916,PEP,2015-09-01,91.33,134163130.69,-0.017217
135917,PEP,2015-09-02,91.64,134618518.52,0.011086
135918,PEP,2015-09-03,92.13,135338325.09,0.005347
135919,PEP,2015-09-04,90.92,132925040.0,-0.013134
135920,PEP,2015-09-08,92.37,135044940.0,0.015948
135921,PEP,2015-09-09,90.83,132793460.0,-0.016672
135922,PEP,2015-09-10,91.06,133129720.0,0.002532
135923,PEP,2015-09-11,91.62,133948440.0,0.00615
135924,PEP,2015-09-14,91.2,133334400.0,-0.004584
135925,PEP,2015-09-15,92.06,134591720.0,0.00943
135926,PEP,2015-09-16,93.07,136068340.0,0.010971
135927,PEP,2015-09-17,93.37,136506940.0,0.003223
135928,PEP,2015-09-18,93.05,136039100.0,-0.003427
135929,PEP,2015-09-21,93.71,137004020.0,0.007093
135930,PEP,2015-09-22,92.37,135044940.0,-0.014299
135931,PEP,2015-09-23,92.4,135088800.0,0.000325
135932,PEP,2015-09-24,92.47,135191140.0,0.000758
135933,PEP,2015-09-25,93.47,136653140.0,0.010814
135934,PEP,2015-09-28,92.47,135191140.0,-0.010699
135935,PEP,2015-09-29,93.04,136024480.0,0.006164
135936,PEP,2015-09-30,94.3,137381049.3,0.013543
135937,PEP,2015-10-01,93.85,136725466.35,-0.004772
135938,PEP,2015-10-02,94.16,137177090.16,0.003303
135939,PEP,2015-10-05,95.81,139580894.31,0.017523
135940,PEP,2015-10-06,97.07,141416526.57,0.013151
135941,PEP,2015-10-07,98.52,143528960.52,0.014938
135942,PEP,2015-10-08,98.97,144184543.47,0.004568
135943,PEP,2015-10-09,99.47,144912968.97,0.005052
135944,PEP,2015-10-12,99.14,144432208.14,-0.003318
135945,PEP,2015-10-13,97.92,142654849.92,-0.012306
135946,PEP,2015-10-14,97.49,142028403.99,-0.004391
135947,PEP,2015-10-15,98.28,143179316.28,0.008103
135948,PEP,2015-10-16,99.7,145248044.7,0.014449
135949,PEP,2015-10-19,100.18,145947333.18,0.004814
135950,PEP,2015-10-20,100.27,146078449.77,0.000898
135951,PEP,2015-10-21,100.25,146049312.75,-0.000199
135952,PEP,2015-10-22,103.08,150172201.08,0.028229
135953,PEP,2015-10-23,102.43,149225247.93,-0.006306
135954,PEP,2015-10-26,102.54,149385501.54,0.001074
135955,PEP,2015-10-27,102.94,149968241.94,0.003901
135956,PEP,2015-10-28,102.74,149676871.74,-0.001943
135957,PEP,2015-10-29,102.8,149764282.8,0.000584
135958,PEP,2015-10-30,102.19,148875603.69,-0.005934
135959,PEP,2015-11-02,101.4,147724691.4,-0.007731
135960,PEP,2015-11-03,100.92,147025402.92,-0.004734
135961,PEP,2015-11-04,100.62,146588347.62,-0.002973
135962,PEP,2015-11-05,100.61,146573779.11,-9.9e-05
135963,PEP,2015-11-06,99.72,145277181.72,-0.008846
135964,PEP,2015-11-09,98.88,144053426.88,-0.008424
135965,PEP,2015-11-10,98.83,143980584.33,-0.000506
135966,PEP,2015-11-11,99.43,144854694.93,0.006071
135967,PEP,2015-11-12,98.37,143310432.87,-0.010661
135968,PEP,2015-11-13,98.04,142829672.04,-0.003355
135969,PEP,2015-11-16,99.56,145044085.56,0.015504
135970,PEP,2015-11-17,98.83,143980584.33,-0.007332
135971,PEP,2015-11-18,100.27,146078449.77,0.01457
135972,PEP,2015-11-19,100.93,147039971.43,0.006582
135973,PEP,2015-11-20,100.1,145830785.1,-0.008224
135974,PEP,2015-11-23,100.85,146923423.35,0.007493
135975,PEP,2015-11-24,100.63,146602916.13,-0.002181
135976,PEP,2015-11-25,100.5,146413525.5,-0.001292
135977,PEP,2015-11-27,100.74,146763169.74,0.002388
135978,PEP,2015-11-30,100.16,145918196.16,-0.005757
135979,PEP,2015-12-01,101.06,147229362.06,0.008986
135980,PEP,2015-12-02,99.48,144927537.48,-0.008683
135981,PEP,2015-12-03,99.09,144359365.59,-0.00392
135982,PEP,2015-12-04,101.06,147229362.06,0.019881
135983,PEP,2015-12-07,100.67,146661190.17,-0.003859
135984,PEP,2015-12-08,100.17,145932764.67,-0.004967
135985,PEP,2015-12-09,99.13,144417639.63,-0.010382
135986,PEP,2015-12-10,98.9,144082563.9,-0.00232
135987,PEP,2015-12-11,97.78,142450890.78,-0.011325
135988,PEP,2015-12-14,97.95,142698555.45,0.001739
135989,PEP,2015-12-15,99.39,144796420.89,0.014701
135990,PEP,2015-12-16,101.08,147258499.08,0.017004
135991,PEP,2015-12-17,100.2,145976470.2,-0.008706
135992,PEP,2015-12-18,97.9,142625712.9,-0.022954
135993,PEP,2015-12-21,98.62,143674645.62,0.007354
135994,PEP,2015-12-22,99.8,145393729.8,0.011965
135995,PEP,2015-12-23,100.64,146617484.64,0.008417
135996,PEP,2015-12-24,100.54,145581920.0,-0.000994
135997,PEP,2015-12-28,100.68,145784640.0,0.001392
135998,PEP,2015-12-29,101.45,146899600.0,0.007648
135999,PEP,2015-12-30,101.15,146465200.0,-0.002957
136000,PEP,2015-12-31,99.92,145568551.92,-0.01216
136001,PEP,2016-01-04,98.77,143893173.27,-0.011509
136002,PEP,2016-01-05,99.45,144883831.95,0.006885
136003,PEP,2016-01-06,99.48,144927537.48,0.000302
136004,PEP,2016-01-07,97.57,142144952.07,-0.0192
136005,PEP,2016-01-08,97.21,141620485.71,-0.00369
136006,PEP,2016-01-11,97.44,141955561.44,0.002366
136007,PEP,2016-01-12,97.62,142217794.62,0.001847
136008,PEP,2016-01-13,96.5,140586121.5,-0.011473
136009,PEP,2016-01-14,95.81,139580894.31,-0.00715
136010,PEP,2016-01-15,93.93,136842014.43,-0.019622
136011,PEP,2016-01-19,95.77,139522620.27,0.019589
136012,PEP,2016-01-20,93.77,136608918.27,-0.020883
136013,PEP,2016-01-21,94.47,137628713.97,0.007465
136014,PEP,2016-01-22,95.85,139639168.35,0.014608
136015,PEP,2016-01-25,95.94,139770284.94,0.000939
136016,PEP,2016-01-26,96.32,140323888.32,0.003961
136017,PEP,2016-01-27,95.94,139770284.94,-0.003945
136018,PEP,2016-01-28,97.45,141970129.95,0.015739
136019,PEP,2016-01-29,99.3,144665304.3,0.018984
136020,PEP,2016-02-01,99.03,144271954.53,-0.002719
136021,PEP,2016-02-02,98.21,143077336.71,-0.00828
136022,PEP,2016-02-03,98.72,143820330.72,0.005193
136023,PEP,2016-02-04,97.39,140768772.07,-0.013472
136024,PEP,2016-02-05,97.32,140667593.16,-0.000719
136025,PEP,2016-02-08,97.52,140956675.76,0.002055
136026,PEP,2016-02-09,98.28,142055189.64,0.007793
136027,PEP,2016-02-10,97.62,141101217.06,-0.006716
136028,PEP,2016-02-11,96.9,140060519.7,-0.007376
136029,PEP,2016-02-12,98.49,142358726.37,0.016409
136030,PEP,2016-02-16,98.6,142517721.8,0.001117
136031,PEP,2016-02-17,99.55,143890864.15,0.009635
136032,PEP,2016-02-18,99.62,143992043.06,0.000703
136033,PEP,2016-02-19,99.58,143934226.54,-0.000402
136034,PEP,2016-02-22,99.87,144353396.31,0.002912
136035,PEP,2016-02-23,99.54,143876410.02,-0.003304
136036,PEP,2016-02-24,99.68,144078767.84,0.001406
136037,PEP,2016-02-25,100.67,145509726.71,0.009932
136038,PEP,2016-02-26,98.36,143732189.32,-0.022946
136039,PEP,2016-02-29,97.82,141390299.66,-0.00549
136040,PEP,2016-03-01,99.09,143225974.17,0.012983
136041,PEP,2016-03-02,98.33,142127460.29,-0.00058
136042,PEP,2016-03-03,99.16,143327153.08,0.008441
136043,PEP,2016-03-04,100.0,144541300.0,0.008471
136044,PEP,2016-03-07,99.25,143457240.25,-0.0075
136045,PEP,2016-03-08,99.74,144165492.62,0.004937
136046,PEP,2016-03-09,100.2,144830382.6,0.004612
136047,PEP,2016-03-10,100.78,145668722.14,0.005788
136048,PEP,2016-03-11,101.31,146434791.03,0.005259
136049,PEP,2016-03-14,100.65,145480818.45,-0.006515
136050,PEP,2016-03-15,101.15,146203524.95,0.004968
136051,PEP,2016-03-16,100.83,145740992.79,-0.003164
136052,PEP,2016-03-17,101.87,147244222.31,0.010314
136053,PEP,2016-03-18,101.29,146465340.0,-0.005694
136054,PEP,2016-03-21,101.54,146826840.0,0.002468
136055,PEP,2016-03-22,100.77,145713420.0,-0.007583
136056,PEP,2016-03-23,100.81,145771260.0,0.000397
136057,PEP,2016-03-24,100.68,145583280.0,-0.00129
136058,PEP,2016-03-28,100.98,146017080.0,0.00298
136059,PEP,2016-03-29,101.37,146581020.0,0.003862
136060,PEP,2016-03-30,102.69,148489740.0,0.013022
136061,PEP,2016-03-31,102.48,149752691.76,-0.002045
136062,PEP,2016-04-01,103.78,151652364.86,0.012685
136063,PEP,2016-04-04,103.82,151710816.34,0.000385
136064,PEP,2016-04-05,103.1,150658689.7,-0.006935
136065,PEP,2016-04-06,103.92,151856945.04,0.007953
136066,PEP,2016-04-07,103.6,151389333.2,-0.003079
136067,PEP,2016-04-08,105.08,151779338.36,0.014286
136068,PEP,2016-04-11,104.3,150652693.1,-0.007423
136069,PEP,2016-04-12,104.91,151533787.47,0.005849
136070,PEP,2016-04-13,104.12,150392698.04,-0.00753
136071,PEP,2016-04-14,103.16,149006057.72,-0.00922
136072,PEP,2016-04-15,103.77,149887152.09,0.005913
136073,PEP,2016-04-18,103.72,149814931.24,-0.000482
136074,PEP,2016-04-19,104.32,150681581.44,0.005785
136075,PEP,2016-04-20,102.44,147966077.48,-0.018021
136076,PEP,2016-04-21,100.99,145871672.83,-0.014155
136077,PEP,2016-04-22,101.98,147301645.66,0.009803
136078,PEP,2016-04-25,102.8,148486067.6,0.008041
136079,PEP,2016-04-26,102.6,148197184.2,-0.001946
136080,PEP,2016-04-27,102.63,148240516.71,0.000292
136081,PEP,2016-04-28,102.97,148731618.49,0.003313
136082,PEP,2016-04-29,102.96,148717174.32,-9.7e-05
136083,PEP,2016-05-02,103.43,149396050.31,0.004565
136084,PEP,2016-05-03,103.56,149583824.52,0.001257
136085,PEP,2016-05-04,104.02,150248256.34,0.004442
136086,PEP,2016-05-05,104.21,150522695.57,0.001827
136087,PEP,2016-05-06,104.96,151606008.32,0.007197
136088,PEP,2016-05-09,105.28,152068221.76,0.003049
136089,PEP,2016-05-10,106.57,153931519.69,0.012253
136090,PEP,2016-05-11,105.72,152703765.24,-0.007976
136091,PEP,2016-05-12,106.1,153252643.7,0.003594
136092,PEP,2016-05-13,104.18,150479363.06,-0.018096
136093,PEP,2016-05-16,104.13,150407142.21,-0.00048
136094,PEP,2016-05-17,102.37,147864968.29,-0.016902
136095,PEP,2016-05-18,100.91,145756119.47,-0.014262
136096,PEP,2016-05-19,101.33,146362774.61,0.004162
136097,PEP,2016-05-20,100.1,144586141.7,-0.012139
136098,PEP,2016-05-23,100.42,145048355.14,0.003197
