Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
137763,PFE,2015-01-02,31.33,197399583.81,0.005778
137764,PFE,2015-01-05,31.16,196328472.12,-0.005426
137765,PFE,2015-01-06,31.42,197966642.94,0.008344
137766,PFE,2015-01-07,31.85,200675925.45,0.013686
137767,PFE,2015-01-08,32.5,204771352.5,0.020408
137768,PFE,2015-01-09,32.65,205716451.05,0.004615
137769,PFE,2015-01-12,32.77,206472529.89,0.003675
137770,PFE,2015-01-13,32.44,204393313.08,-0.01007
137771,PFE,2015-01-14,32.48,204645339.36,0.001233
137772,PFE,2015-01-15,32.4,204141286.8,-0.002463
137773,PFE,2015-01-16,32.8,206661549.6,0.012346
137774,PFE,2015-01-20,33.1,208551746.7,0.009146
137775,PFE,2015-01-21,32.64,205653444.48,-0.013897
137776,PFE,2015-01-22,32.81,206724556.17,0.005208
137777,PFE,2015-01-23,32.45,204456319.65,-0.010972
137778,PFE,2015-01-26,32.8,206661549.6,0.010786
137779,PFE,2015-01-27,32.6,205401418.2,-0.006098
137780,PFE,2015-01-28,31.95,201305991.15,-0.019939
137781,PFE,2015-01-29,31.83,200549912.31,-0.003756
137782,PFE,2015-01-30,31.25,196895531.25,-0.018222
137783,PFE,2015-02-02,31.65,199415794.05,0.0128
137784,PFE,2015-02-03,32.02,201747037.14,0.01169
137785,PFE,2015-02-04,32.07,202062069.99,0.010306
137786,PFE,2015-02-05,32.99,207858674.43,0.028687
137787,PFE,2015-02-06,33.17,208992792.69,0.005456
137788,PFE,2015-02-09,33.07,208362726.99,-0.003015
137789,PFE,2015-02-10,34.15,215167436.55,0.032658
137790,PFE,2015-02-11,34.25,215797502.25,0.002928
137791,PFE,2015-02-12,34.87,219703909.59,0.018102
137792,PFE,2015-02-13,34.64,218254758.48,-0.006596
137793,PFE,2015-02-17,34.58,217876719.06,-0.001732
137794,PFE,2015-02-18,34.48,217246653.36,-0.002892
137795,PFE,2015-02-19,34.41,216805607.37,-0.00203
137796,PFE,2015-02-20,34.56,217750705.92,0.004359
137797,PFE,2015-02-23,34.39,216679594.23,-0.004919
137798,PFE,2015-02-24,34.34,216364561.38,-0.001454
137799,PFE,2015-02-25,34.66,218380771.62,0.009319
137800,PFE,2015-02-26,34.59,217939725.63,-0.00202
137801,PFE,2015-02-27,34.32,210342303.6,-0.007806
137802,PFE,2015-03-02,34.77,213100288.35,0.013112
137803,PFE,2015-03-03,34.56,211813228.8,-0.00604
137804,PFE,2015-03-04,34.64,212303537.2,0.002315
137805,PFE,2015-03-05,34.47,211261631.85,-0.004908
137806,PFE,2015-03-06,33.97,208197204.35,-0.014505
137807,PFE,2015-03-09,34.03,208564935.65,0.001766
137808,PFE,2015-03-10,33.78,207032721.9,-0.007346
137809,PFE,2015-03-11,33.63,206113393.65,-0.00444
137810,PFE,2015-03-12,34.0,208381070.0,0.011002
137811,PFE,2015-03-13,34.0,208381070.0,0.0
137812,PFE,2015-03-16,34.44,211077766.2,0.012941
137813,PFE,2015-03-17,34.17,209422975.35,-0.00784
137814,PFE,2015-03-18,34.38,210710034.9,0.006146
137815,PFE,2015-03-19,34.15,209300398.25,-0.00669
137816,PFE,2015-03-20,34.25,209913283.75,0.002928
137817,PFE,2015-03-23,35.05,214816367.75,0.023358
137818,PFE,2015-03-24,34.52,211568074.6,-0.015121
137819,PFE,2015-03-25,34.3,210219726.5,-0.006373
137820,PFE,2015-03-26,34.16,209361686.8,-0.004082
137821,PFE,2015-03-27,34.53,211629363.15,0.010831
137822,PFE,2015-03-30,35.0,214509925.0,0.013611
137823,PFE,2015-03-31,34.79,213622219.86,-0.006
137824,PFE,2015-04-01,34.33,210797666.22,-0.013222
137825,PFE,2015-04-02,34.38,211104682.92,0.001456
137826,PFE,2015-04-06,34.48,211718716.32,0.002909
137827,PFE,2015-04-07,34.54,212087136.36,0.00174
137828,PFE,2015-04-08,34.64,212701169.76,0.002895
137829,PFE,2015-04-09,35.03,215095900.02,0.011259
137830,PFE,2015-04-10,35.44,217613436.96,0.011704
137831,PFE,2015-04-13,35.09,215464320.06,-0.009876
137832,PFE,2015-04-14,35.03,215095900.02,-0.00171
137833,PFE,2015-04-15,35.21,216201160.14,0.005138
137834,PFE,2015-04-16,35.19,216078353.46,-0.000568
137835,PFE,2015-04-17,35.04,215157303.36,-0.004263
137836,PFE,2015-04-20,35.01,214973093.34,-0.000856
137837,PFE,2015-04-21,34.89,214236253.26,-0.003428
137838,PFE,2015-04-22,34.93,214481866.62,0.001146
137839,PFE,2015-04-23,35.36,217122210.24,0.01231
137840,PFE,2015-04-24,35.27,216569580.18,-0.002545
137841,PFE,2015-04-27,34.59,212394153.06,-0.01928
137842,PFE,2015-04-28,34.48,211718716.32,-0.00318
137843,PFE,2015-04-29,34.29,210552052.86,-0.00551
137844,PFE,2015-04-30,33.93,208341532.62,-0.010499
137845,PFE,2015-05-01,34.08,209262582.72,0.004421
137846,PFE,2015-05-04,34.32,210736262.88,0.007042
137847,PFE,2015-05-05,34.12,209508196.08,-0.005828
137848,PFE,2015-05-06,33.46,205455575.64,-0.011137
137849,PFE,2015-05-07,33.58,206192415.72,0.003586
137850,PFE,2015-05-08,34.02,208894162.68,0.013103
137851,PFE,2015-05-11,33.96,208525742.64,-0.001764
137852,PFE,2015-05-12,33.78,207420482.52,-0.0053
137853,PFE,2015-05-13,33.53,205885399.02,-0.007401
137854,PFE,2015-05-14,33.94,208402935.96,0.012228
137855,PFE,2015-05-15,33.99,208709952.66,0.001473
137856,PFE,2015-05-18,33.98,208648549.32,-0.000294
137857,PFE,2015-05-19,34.21,210060826.14,0.006769
137858,PFE,2015-05-20,34.3,210613456.2,0.002631
137859,PFE,2015-05-21,34.36,210981876.24,0.001749
137860,PFE,2015-05-22,34.28,210490649.52,-0.002328
137861,PFE,2015-05-26,34.11,209446792.74,-0.004959
137862,PFE,2015-05-27,34.3,210613456.2,0.00557
137863,PFE,2015-05-28,34.44,211473102.96,0.004082
137864,PFE,2015-05-29,34.75,213979032.5,0.009001
137865,PFE,2015-06-01,34.56,212809075.2,-0.005468
137866,PFE,2015-06-02,34.49,212378038.3,-0.002025
137867,PFE,2015-06-03,34.41,211885424.7,-0.00232
137868,PFE,2015-06-04,34.24,210838620.8,-0.00494
137869,PFE,2015-06-05,34.09,209914970.3,-0.004381
137870,PFE,2015-06-08,33.98,209237626.6,-0.003227
137871,PFE,2015-06-09,34.01,209422356.7,0.000883
137872,PFE,2015-06-10,34.31,211269657.7,0.008821
137873,PFE,2015-06-11,34.46,212193308.2,0.004372
137874,PFE,2015-06-12,34.21,210653890.7,-0.007255
137875,PFE,2015-06-15,34.04,209607086.8,-0.004969
137876,PFE,2015-06-16,34.04,209607086.8,0.0
137877,PFE,2015-06-17,33.98,209237626.6,-0.001763
137878,PFE,2015-06-18,34.37,211639117.9,0.011477
137879,PFE,2015-06-19,34.18,210469160.6,-0.005528
137880,PFE,2015-06-22,34.31,211269657.7,0.003803
137881,PFE,2015-06-23,34.5,212439615.0,0.005538
