Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
139777,PG,2015-01-02,90.44,244379642.36,-0.007136
139778,PG,2015-01-05,90.01,243217731.19,-0.004755
139779,PG,2015-01-06,89.6,242109862.4,-0.004555
139780,PG,2015-01-07,90.07,243379858.33,0.005246
139781,PG,2015-01-08,91.1,246163040.9,0.011436
139782,PG,2015-01-09,90.25,243866239.75,-0.00933
139783,PG,2015-01-12,89.92,242974540.48,-0.003657
139784,PG,2015-01-13,90.3,244001345.7,0.004226
139785,PG,2015-01-14,89.99,243163688.81,-0.003433
139786,PG,2015-01-15,89.86,242812413.34,-0.001445
139787,PG,2015-01-16,91.25,246568358.75,0.015469
139788,PG,2015-01-20,91.19,246406231.61,-0.000658
139789,PG,2015-01-21,90.73,245163256.87,0.002013
139790,PG,2015-01-22,91.62,247568142.78,0.009809
139791,PG,2015-01-23,90.08,243406879.52,-0.016809
139792,PG,2015-01-26,89.58,242055820.02,-0.005551
139793,PG,2015-01-27,86.49,233706272.31,-0.034494
139794,PG,2015-01-28,85.15,230085432.85,-0.015493
139795,PG,2015-01-29,85.67,231490534.73,0.006107
139796,PG,2015-01-30,84.29,227625987.9,-0.016108
139797,PG,2015-02-02,85.12,229867411.2,0.009847
139798,PG,2015-02-03,85.95,232108834.5,0.009751
139799,PG,2015-02-04,85.79,231676752.9,-0.001862
139800,PG,2015-02-05,86.7,234134217.0,0.010607
139801,PG,2015-02-06,85.61,231190661.1,-0.012572
139802,PG,2015-02-09,85.05,229678375.5,-0.006541
139803,PG,2015-02-10,85.39,230596548.9,0.003998
139804,PG,2015-02-11,85.64,231271676.4,0.002928
139805,PG,2015-02-12,86.03,232324875.3,0.004554
139806,PG,2015-02-13,85.9,231973809.0,-0.001511
139807,PG,2015-02-17,85.49,230866599.9,-0.004773
139808,PG,2015-02-18,86.26,232945992.6,0.009007
139809,PG,2015-02-19,85.21,230110457.1,-0.012173
139810,PG,2015-02-20,84.87,229192283.7,-0.00399
139811,PG,2015-02-23,85.39,230596548.9,0.006127
139812,PG,2015-02-24,85.5,230893605.0,0.001288
139813,PG,2015-02-25,85.46,230785584.6,-0.000468
139814,PG,2015-02-26,85.17,230002436.7,-0.003393
139815,PG,2015-02-27,85.13,229894416.3,-0.00047
139816,PG,2015-03-02,85.41,230650559.1,0.003289
139817,PG,2015-03-03,85.16,229975431.6,-0.002927
139818,PG,2015-03-04,84.35,227788018.5,-0.009512
139819,PG,2015-03-05,84.63,228544161.3,0.00332
139820,PG,2015-03-06,82.66,223224156.6,-0.023278
139821,PG,2015-03-09,83.09,224385375.9,0.005202
139822,PG,2015-03-10,81.54,220199585.4,-0.018654
139823,PG,2015-03-11,81.39,219794508.9,-0.00184
139824,PG,2015-03-12,82.09,221684865.9,0.008601
139825,PG,2015-03-13,81.83,220982733.3,-0.003167
139826,PG,2015-03-16,83.56,225654615.6,0.021141
139827,PG,2015-03-17,82.85,223737253.5,-0.008497
139828,PG,2015-03-18,83.75,226167712.5,0.010863
139829,PG,2015-03-19,83.38,225168523.8,-0.004418
139830,PG,2015-03-20,84.74,228841217.4,0.016311
139831,PG,2015-03-23,84.86,229165278.6,0.001416
139832,PG,2015-03-24,83.92,226626799.2,-0.011077
139833,PG,2015-03-25,83.01,224169335.1,-0.010844
139834,PG,2015-03-26,82.15,221846896.5,-0.01036
139835,PG,2015-03-27,82.31,222278978.1,0.001948
139836,PG,2015-03-30,82.72,223386187.2,0.004981
139837,PG,2015-03-31,81.94,221279789.4,-0.009429
139838,PG,2015-04-01,82.32,222305983.2,0.004638
139839,PG,2015-04-02,82.43,222603039.3,0.001336
139840,PG,2015-04-06,83.04,224250350.4,0.0074
139841,PG,2015-04-07,82.39,222495018.9,-0.007828
139842,PG,2015-04-08,82.77,223521212.7,0.004612
139843,PG,2015-04-09,82.89,223845273.9,0.00145
139844,PG,2015-04-10,83.35,225087508.5,0.00555
139845,PG,2015-04-13,83.43,225303549.3,0.00096
139846,PG,2015-04-14,83.6,225762636.0,0.002038
139847,PG,2015-04-15,83.51,225519590.1,-0.001077
139848,PG,2015-04-16,83.5,225492585.0,-0.00012
139849,PG,2015-04-17,82.53,222873090.3,-0.011617
139850,PG,2015-04-20,82.87,223791263.7,0.00412
139851,PG,2015-04-21,83.08,224358370.8,0.002534
139852,PG,2015-04-22,83.09,224385375.9,0.00012
139853,PG,2015-04-23,80.95,218606284.5,-0.017777
139854,PG,2015-04-24,81.0,218741310.0,0.000618
139855,PG,2015-04-27,80.6,217661106.0,-0.004938
139856,PG,2015-04-28,80.42,217175014.2,-0.002233
139857,PG,2015-04-29,79.85,215635723.5,-0.007088
139858,PG,2015-04-30,79.51,215710311.96,-0.004258
139859,PG,2015-05-01,80.29,217826448.84,0.00981
139860,PG,2015-05-04,80.35,217989228.6,0.000747
139861,PG,2015-05-05,80.07,217229589.72,-0.003485
139862,PG,2015-05-06,80.4,218124878.4,0.004121
139863,PG,2015-05-07,80.2,217582279.2,-0.002488
139864,PG,2015-05-08,80.96,219644156.16,0.009476
139865,PG,2015-05-11,80.27,217772188.92,-0.008523
139866,PG,2015-05-12,79.95,216904030.2,-0.003987
139867,PG,2015-05-13,79.7,216225781.2,-0.003127
139868,PG,2015-05-14,80.57,218586087.72,0.010916
139869,PG,2015-05-15,81.05,219888325.8,0.005958
139870,PG,2015-05-18,80.74,219047297.04,-0.003825
139871,PG,2015-05-19,80.83,219291466.68,0.001115
139872,PG,2015-05-20,80.48,218341918.08,-0.00433
139873,PG,2015-05-21,80.41,218152008.36,-0.00087
139874,PG,2015-05-22,79.95,216904030.2,-0.005721
139875,PG,2015-05-26,79.14,214706503.44,-0.010131
139876,PG,2015-05-27,79.39,215384752.44,0.003159
139877,PG,2015-05-28,79.33,215221972.68,-0.000756
139878,PG,2015-05-29,78.39,212671756.44,-0.011849
139879,PG,2015-06-01,78.85,213919734.6,0.005868
139880,PG,2015-06-02,78.54,213078705.84,-0.003932
139881,PG,2015-06-03,78.56,213132965.76,0.000255
139882,PG,2015-06-04,78.15,212020637.4,-0.005219
139883,PG,2015-06-05,77.43,210067280.28,-0.009213
139884,PG,2015-06-08,77.71,210826919.16,0.003616
139885,PG,2015-06-09,78.9,214055384.4,0.015313
139886,PG,2015-06-10,79.54,215791701.84,0.008112
139887,PG,2015-06-11,79.41,215439012.36,-0.001634
139888,PG,2015-06-12,78.87,213973994.52,-0.0068
