Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
141791,PM,2015-01-02,81.02,125881989.3,-0.005279
141792,PM,2015-01-05,80.41,124934223.15,-0.007529
141793,PM,2015-01-06,81.1,126006286.5,0.008581
141794,PM,2015-01-07,81.71,126954052.65,0.007522
141795,PM,2015-01-08,82.94,128865122.1,0.015053
141796,PM,2015-01-09,82.72,128523304.8,-0.002653
141797,PM,2015-01-12,83.05,129036030.75,0.003989
141798,PM,2015-01-13,83.1,129113716.5,0.000602
141799,PM,2015-01-14,83.42,129610905.3,0.003851
141800,PM,2015-01-15,82.82,128678676.3,-0.007193
141801,PM,2015-01-16,82.7,128492230.5,-0.001449
141802,PM,2015-01-20,83.58,129859499.7,0.010641
141803,PM,2015-01-21,84.55,131366603.25,0.011606
141804,PM,2015-01-22,85.16,132314369.4,0.007215
141805,PM,2015-01-23,82.82,128678676.3,-0.027478
141806,PM,2015-01-26,83.05,129036030.75,0.002777
141807,PM,2015-01-27,81.6,126783144.0,-0.017459
141808,PM,2015-01-28,80.58,125198354.7,-0.0125
141809,PM,2015-01-29,81.22,126192732.3,0.007942
141810,PM,2015-01-30,80.24,124670091.6,-0.012066
141811,PM,2015-02-02,81.63,126829755.45,0.017323
141812,PM,2015-02-03,82.24,127777521.6,0.007473
141813,PM,2015-02-04,82.08,127528927.2,-0.001946
141814,PM,2015-02-05,82.57,128290247.55,0.00597
141815,PM,2015-02-06,81.27,126270418.05,-0.015744
141816,PM,2015-02-09,80.83,125586783.45,-0.005414
141817,PM,2015-02-10,81.08,125975212.2,0.003093
141818,PM,2015-02-11,82.48,128150413.2,0.017267
141819,PM,2015-02-12,83.69,130030408.35,0.01467
141820,PM,2015-02-13,82.87,128756362.05,-0.009798
141821,PM,2015-02-17,82.71,128507767.65,-0.001931
141822,PM,2015-02-18,83.0,128958345.0,0.003506
141823,PM,2015-02-19,82.62,128367933.3,-0.004578
141824,PM,2015-02-20,83.04,129020493.6,0.005084
141825,PM,2015-02-23,82.89,128787436.35,-0.001806
141826,PM,2015-02-24,83.51,129750739.65,0.00748
141827,PM,2015-02-25,83.47,129688591.05,-0.000479
141828,PM,2015-02-26,82.8,128647602.0,-0.008027
141829,PM,2015-02-27,82.96,128333395.76,0.001932
141830,PM,2015-03-02,82.95,128317926.45,-0.000121
141831,PM,2015-03-03,82.7,127931193.7,-0.003014
141832,PM,2015-03-04,82.17,127111320.27,-0.006409
141833,PM,2015-03-05,81.71,126399732.01,-0.005598
141834,PM,2015-03-06,80.05,123831826.55,-0.020316
141835,PM,2015-03-09,80.45,124450598.95,0.004997
141836,PM,2015-03-10,79.25,122594281.75,-0.014916
141837,PM,2015-03-11,77.82,120382170.42,-0.018044
141838,PM,2015-03-12,78.73,121789877.63,0.011694
141839,PM,2015-03-13,77.65,120119192.15,-0.013718
141840,PM,2015-03-16,77.89,120490455.59,0.003091
141841,PM,2015-03-17,77.89,120490455.59,0.0
141842,PM,2015-03-18,78.56,121526899.36,0.008602
141843,PM,2015-03-19,78.86,121990978.66,0.003819
141844,PM,2015-03-20,79.45,122903667.95,0.007482
141845,PM,2015-03-23,79.86,123537909.66,0.00516
