Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
143805,PYPL,2015-07-20,40.47,49301687.16,
143806,PYPL,2015-07-21,39.35,47937271.8,-0.027675
143807,PYPL,2015-07-22,38.39,46767772.92,-0.024396
143808,PYPL,2015-07-23,37.01,45105419.36,-0.035947
143809,PYPL,2015-07-24,37.0,45093232.0,-0.00027
143810,PYPL,2015-07-27,36.39,44349803.04,-0.016486
143811,PYPL,2015-07-28,37.6,45824473.6,0.033251
143812,PYPL,2015-07-29,37.95,46251031.2,0.009309
143813,PYPL,2015-07-30,38.45,46860399.2,0.013175
143814,PYPL,2015-07-31,38.7,47165083.2,0.006502
143815,PYPL,2015-08-03,39.39,48006011.04,0.017829
143816,PYPL,2015-08-04,38.95,47469767.2,-0.01117
143817,PYPL,2015-08-05,39.27,47859762.72,0.008216
143818,PYPL,2015-08-06,38.85,47347893.6,-0.010695
143819,PYPL,2015-08-07,39.13,47689139.68,0.007207
143820,PYPL,2015-08-10,39.05,47591640.8,-0.002044
143821,PYPL,2015-08-11,38.85,47347893.6,-0.005122
143822,PYPL,2015-08-12,38.19,46543527.84,-0.016988
143823,PYPL,2015-08-13,37.62,45848848.32,-0.014925
143824,PYPL,2015-08-14,38.14,46482591.04,0.013822
143825,PYPL,2015-08-17,38.73,47201645.28,0.015469
143826,PYPL,2015-08-18,37.99,46299780.64,-0.019107
143827,PYPL,2015-08-19,37.19,45324791.84,-0.021058
143828,PYPL,2015-08-20,35.98,43850121.28,-0.032536
143829,PYPL,2015-08-21,34.25,41741708.0,-0.048082
143830,PYPL,2015-08-24,33.75,41132340.0,-0.014599
143831,PYPL,2015-08-25,32.7,39852667.2,-0.031111
143832,PYPL,2015-08-26,33.17,40425473.12,0.014373
143833,PYPL,2015-08-27,34.62,42192640.32,0.043714
143834,PYPL,2015-08-28,35.04,42704509.44,0.012132
143835,PYPL,2015-08-31,35.0,42655760.0,-0.001142
143836,PYPL,2015-09-01,33.77,41156714.72,-0.035143
143837,PYPL,2015-09-02,35.07,42741071.52,0.038496
143838,PYPL,2015-09-03,35.31,43033568.16,0.006843
143839,PYPL,2015-09-04,34.29,41790457.44,-0.028887
143840,PYPL,2015-09-08,34.7,42290139.2,0.011957
