Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
145683,QCOM,2015-01-02,74.28,122859120.0,-0.000673
145684,QCOM,2015-01-05,73.93,122280220.0,-0.004712
145685,QCOM,2015-01-06,72.88,120543520.0,-0.014203
145686,QCOM,2015-01-07,73.73,121949420.0,0.011663
145687,QCOM,2015-01-08,74.505,123231270.0,0.010511
145688,QCOM,2015-01-09,74.42,123090680.0,-0.001141
145689,QCOM,2015-01-12,73.57,121684780.0,-0.011422
145690,QCOM,2015-01-13,72.97,120692380.0,-0.008155
145691,QCOM,2015-01-14,72.22,119451880.0,-0.010278
145692,QCOM,2015-01-15,71.38,118062520.0,-0.011631
145693,QCOM,2015-01-16,71.29,117913660.0,-0.001261
145694,QCOM,2015-01-20,72.48,119881920.0,0.016692
145695,QCOM,2015-01-21,71.59,118409860.0,-0.012279
145696,QCOM,2015-01-22,71.905,118930870.0,0.0044
145697,QCOM,2015-01-23,72.175,119377450.0,0.003755
145698,QCOM,2015-01-26,72.61,119774551.6,0.006027
145699,QCOM,2015-01-27,71.77,118388921.2,-0.011569
145700,QCOM,2015-01-28,70.99,117102264.4,-0.010868
145701,QCOM,2015-01-29,63.69,105060476.4,-0.102831
145702,QCOM,2015-01-30,62.46,103031517.6,-0.019312
145703,QCOM,2015-02-02,65.53,108095666.8,0.049151
145704,QCOM,2015-02-03,66.96,110454537.6,0.021822
145705,QCOM,2015-02-04,66.96,110454537.6,0.0
145706,QCOM,2015-02-05,67.95,112087602.0,0.014785
145707,QCOM,2015-02-06,66.35,109448306.0,-0.023547
145708,QCOM,2015-02-09,67.11,110701971.6,0.011454
145709,QCOM,2015-02-10,70.26,115898085.6,0.046938
145710,QCOM,2015-02-11,70.21,115815607.6,-0.000712
145711,QCOM,2015-02-12,70.39,116112528.4,0.002564
145712,QCOM,2015-02-13,70.88,116920812.8,0.006961
145713,QCOM,2015-02-17,70.8,116788848.0,-0.001129
145714,QCOM,2015-02-18,70.54,116359962.4,-0.003672
145715,QCOM,2015-02-19,70.98,117085768.8,0.006238
145716,QCOM,2015-02-20,71.52,117976531.2,0.007608
145717,QCOM,2015-02-23,70.94,117019786.4,-0.00811
145718,QCOM,2015-02-24,71.37,117729097.2,0.006061
145719,QCOM,2015-02-25,71.68,118240460.8,0.004344
145720,QCOM,2015-02-26,72.01,118784815.6,0.004604
145721,QCOM,2015-02-27,72.51,119609595.6,0.006943
145722,QCOM,2015-03-02,72.655,119848781.8,0.007792
145723,QCOM,2015-03-03,71.405,117786831.8,-0.017205
145724,QCOM,2015-03-04,70.845,116863078.2,-0.007843
145725,QCOM,2015-03-05,70.93,117003290.8,0.0012
145726,QCOM,2015-03-06,71.505,117951787.8,0.008107
145727,QCOM,2015-03-09,72.705,119931259.8,0.016782
145728,QCOM,2015-03-10,71.885,118578620.6,-0.011278
145729,QCOM,2015-03-11,70.27,115914581.2,-0.022466
145730,QCOM,2015-03-12,69.37,114429977.2,-0.012808
145731,QCOM,2015-03-13,68.64,113225798.4,-0.010523
145732,QCOM,2015-03-16,70.0,115469200.0,0.019814
145733,QCOM,2015-03-17,69.815,115164031.4,-0.002643
145734,QCOM,2015-03-18,70.23,115848598.8,0.005944
145735,QCOM,2015-03-19,69.83,115188774.8,-0.005696
145736,QCOM,2015-03-20,70.04,115535182.4,0.003007
145737,QCOM,2015-03-23,70.065,115576421.4,0.000357
145738,QCOM,2015-03-24,68.975,113778401.0,-0.015557
145739,QCOM,2015-03-25,67.21,110866927.6,-0.025589
145740,QCOM,2015-03-26,67.155,110776201.8,-0.000818
145741,QCOM,2015-03-27,67.025,109451825.0,-0.001936
145742,QCOM,2015-03-30,68.88,112481040.0,0.027676
145743,QCOM,2015-03-31,69.34,113232220.0,0.006678
145744,QCOM,2015-04-01,69.43,113379190.0,0.001298
145745,QCOM,2015-04-02,67.97,110995010.0,-0.021028
145746,QCOM,2015-04-06,67.76,110652080.0,-0.00309
145747,QCOM,2015-04-07,67.315,109925395.0,-0.006567
145748,QCOM,2015-04-08,67.26,109835580.0,-0.000817
145749,QCOM,2015-04-09,68.81,112366730.0,0.023045
145750,QCOM,2015-04-10,69.16,112938280.0,0.005086
145751,QCOM,2015-04-13,68.73,112236090.0,-0.006217
145752,QCOM,2015-04-14,68.97,112628010.0,0.003492
145753,QCOM,2015-04-15,68.46,111795180.0,-0.007395
145754,QCOM,2015-04-16,67.91,110897030.0,-0.008034
145755,QCOM,2015-04-17,67.115,109598795.0,-0.011707
145756,QCOM,2015-04-20,68.64,111853616.16,0.022722
145757,QCOM,2015-04-21,68.57,111739546.33,-0.00102
145758,QCOM,2015-04-22,68.94,112342486.86,0.005396
145759,QCOM,2015-04-23,68.34,111364745.46,-0.008703
145760,QCOM,2015-04-24,68.24,111201788.56,-0.001463
145761,QCOM,2015-04-27,69.23,112815061.87,0.014508
145762,QCOM,2015-04-28,69.65,113499480.85,0.006067
145763,QCOM,2015-04-29,68.67,111902503.23,-0.01407
145764,QCOM,2015-04-30,68.0,110850948.0,-0.009757
145765,QCOM,2015-05-01,68.42,111535615.62,0.006176
145766,QCOM,2015-05-04,69.055,112570767.86,0.009281
145767,QCOM,2015-05-05,68.37,111454107.57,-0.00992
145768,QCOM,2015-05-06,67.81,110541217.41,-0.008191
145769,QCOM,2015-05-07,68.43,111551917.23,0.009143
145770,QCOM,2015-05-08,69.41,113149475.01,0.014321
145771,QCOM,2015-05-11,69.05,112562617.05,-0.005187
145772,QCOM,2015-05-12,68.785,112130624.39,-0.003838
145773,QCOM,2015-05-13,69.73,113671126.53,0.013738
145774,QCOM,2015-05-14,70.52,114958953.72,0.011329
145775,QCOM,2015-05-15,71.06,115839240.66,0.007657
145776,QCOM,2015-05-18,70.42,114795937.62,-0.009006
145777,QCOM,2015-05-19,69.62,113491808.82,-0.01136
145778,QCOM,2015-05-20,69.28,112937554.08,-0.004884
145779,QCOM,2015-05-21,70.09,114257984.49,0.011692
145780,QCOM,2015-05-22,69.51,113312491.11,-0.008275
145781,QCOM,2015-05-26,69.36,113067966.96,-0.002158
145782,QCOM,2015-05-27,71.02,115774034.22,0.023933
145783,QCOM,2015-05-28,70.6,115089366.6,-0.005914
145784,QCOM,2015-05-29,69.68,113589618.48,-0.013031
145785,QCOM,2015-06-01,69.415,113157625.82,0.003086
