Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
147697,RTX,2020-04-03,49.93,43247618.45,0.052319
147698,RTX,2020-04-03,49.93,43247618.45,0.052319
147699,RTX,2020-04-06,57.56,49856457.4,0.152814
147700,RTX,2020-04-07,57.76,50029690.4,0.003475
147701,RTX,2020-04-08,62.62,54239252.3,0.084141
147702,RTX,2020-04-09,64.71,56049537.15,0.033376
147703,RTX,2020-04-13,61.83,53554981.95,-0.044506
147704,RTX,2020-04-14,65.07,56361356.55,0.052402
147705,RTX,2020-04-15,62.33,53988064.45,-0.042108
147706,RTX,2020-04-16,62.45,54092004.25,0.001925
147707,RTX,2020-04-17,66.07,57227521.55,0.057966
147708,RTX,2020-04-20,64.98,56283401.7,-0.016498
147709,RTX,2020-04-21,62.65,54265237.25,-0.035857
147710,RTX,2020-04-22,63.45,54958169.25,0.012769
147711,RTX,2020-04-23,63.29,54819582.85,-0.002522
147712,RTX,2020-04-24,63.43,54940845.95,0.002212
147713,RTX,2020-04-27,65.07,56361356.55,0.025855
147714,RTX,2020-04-28,65.39,56638529.35,0.004918
147715,RTX,2020-04-29,67.9,58812603.5,0.038385
147716,RTX,2020-04-30,64.81,98269393.89,-0.045508
147717,RTX,2020-05-01,61.11,92659198.59,-0.05709
147718,RTX,2020-05-04,58.85,89232430.65,-0.036982
147719,RTX,2020-05-05,59.0,89459871.0,0.002549
147720,RTX,2020-05-06,57.92,87822300.48,-0.018305
147721,RTX,2020-05-07,57.01,86442495.69,-0.015711
147722,RTX,2020-05-08,58.67,88959502.23,0.029118
147723,RTX,2020-05-11,57.36,86973189.84,-0.022328
147724,RTX,2020-05-12,56.72,86002777.68,-0.011158
147725,RTX,2020-05-13,54.1,82030152.9,-0.046192
147726,RTX,2020-05-14,53.86,81666248.34,0.004344
147727,RTX,2020-05-15,52.73,79952864.37,-0.02098
147728,RTX,2020-05-18,57.9,87791975.1,0.098047
147729,RTX,2020-05-19,57.94,87852625.86,0.000691
147730,RTX,2020-05-20,57.8,87640348.2,-0.002416
147731,RTX,2020-05-21,60.1,91127766.9,0.039792
147732,RTX,2020-05-22,60.0,90976140.0,-0.001664
147733,RTX,2020-05-26,64.47,97753862.43,0.0745
147734,RTX,2020-05-27,66.65,101059328.85,0.033814
147735,RTX,2020-05-28,67.27,101999415.63,0.009302
