Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
148390,SBUX,2015-01-02,81.44,61112576.0,-0.007434
148391,SBUX,2015-01-05,79.88,59941952.0,-0.019155
148392,SBUX,2015-01-06,79.23,59454192.0,-0.008137
148393,SBUX,2015-01-07,81.18,60917472.0,0.024612
148394,SBUX,2015-01-08,82.49,61900496.0,0.016137
148395,SBUX,2015-01-09,79.79,59874416.0,-0.032731
148396,SBUX,2015-01-12,80.23,60204592.0,0.005514
148397,SBUX,2015-01-13,80.87,60684848.0,0.007977
148398,SBUX,2015-01-14,80.42,60347168.0,-0.005564
148399,SBUX,2015-01-15,79.58,59716832.0,-0.010445
148400,SBUX,2015-01-16,80.61,60489744.0,0.012943
148401,SBUX,2015-01-20,81.225,60951240.0,0.007629
148402,SBUX,2015-01-21,81.29,60951242.0,0.0008
148403,SBUX,2015-01-22,82.74,62038452.0,0.017837
148404,SBUX,2015-01-23,88.22,66147356.0,0.066232
148405,SBUX,2015-01-26,88.12,66072376.0,-0.001134
148406,SBUX,2015-01-27,88.34,66237332.0,0.002497
148407,SBUX,2015-01-28,87.565,65656237.0,-0.008773
148408,SBUX,2015-01-29,89.05,66769690.0,0.016959
148409,SBUX,2015-01-30,87.53,65629994.0,-0.017069
148410,SBUX,2015-02-02,87.99,65974902.0,0.005255
148411,SBUX,2015-02-03,88.49,66349802.0,0.009319
148412,SBUX,2015-02-04,88.7,66507260.0,0.002373
148413,SBUX,2015-02-05,89.64,67212072.0,0.010598
148414,SBUX,2015-02-06,89.0,66732200.0,-0.00714
148415,SBUX,2015-02-09,88.82,66597236.0,-0.002022
148416,SBUX,2015-02-10,91.18,68366764.0,0.026571
148417,SBUX,2015-02-11,90.79,68074342.0,-0.004277
148418,SBUX,2015-02-12,91.825,68850385.0,0.0114
148419,SBUX,2015-02-13,91.58,68666684.0,-0.002668
148420,SBUX,2015-02-17,92.03,69004094.0,0.004914
148421,SBUX,2015-02-18,93.0,69731400.0,0.01054
148422,SBUX,2015-02-19,93.17,69858866.0,0.001828
148423,SBUX,2015-02-20,93.51,70113798.0,0.003649
148424,SBUX,2015-02-23,93.58,70166284.0,0.000749
148425,SBUX,2015-02-24,93.45,70068810.0,-0.001389
148426,SBUX,2015-02-25,94.26,70676148.0,0.008668
148427,SBUX,2015-02-26,94.55,70893590.0,0.003077
148428,SBUX,2015-02-27,93.485,70095053.0,-0.011264
148429,SBUX,2015-03-02,94.225,70649905.0,0.007916
148430,SBUX,2015-03-03,94.0,70481200.0,-0.002388
148431,SBUX,2015-03-04,93.06,69776388.0,-0.01
148432,SBUX,2015-03-05,93.63,70203774.0,0.006125
148433,SBUX,2015-03-06,92.215,69142807.0,-0.015113
148434,SBUX,2015-03-09,93.04,69761392.0,0.008946
148435,SBUX,2015-03-10,92.18,69116564.0,-0.009243
148436,SBUX,2015-03-11,91.42,68546716.0,-0.008245
148437,SBUX,2015-03-12,93.38,70016324.0,0.02144
148438,SBUX,2015-03-13,93.29,69948842.0,-0.000964
148439,SBUX,2015-03-16,94.045,70514941.0,0.008093
148440,SBUX,2015-03-17,94.385,70769873.0,0.003615
148441,SBUX,2015-03-18,95.84,71860832.0,0.015416
148442,SBUX,2015-03-19,97.76,73300448.0,0.020033
148443,SBUX,2015-03-20,97.46,73075508.0,-0.003069
148444,SBUX,2015-03-23,97.37,73008026.0,-0.000923
148445,SBUX,2015-03-24,97.915,73416667.0,0.005597
148446,SBUX,2015-03-25,95.77,71808346.0,-0.021907
148447,SBUX,2015-03-26,95.08,71290984.0,-0.007205
148448,SBUX,2015-03-27,95.07,71350035.0,-0.000105
148449,SBUX,2015-03-30,95.98,72032990.0,0.009572
148450,SBUX,2015-03-31,94.7,71072350.0,-0.013336
148451,SBUX,2015-04-01,93.02,69811510.0,-0.01774
148452,SBUX,2015-04-02,94.39,70839695.0,0.014728
148453,SBUX,2015-04-06,94.52,70937260.0,0.001377
148454,SBUX,2015-04-07,94.07,70599535.0,-0.004761
148455,SBUX,2015-04-08,95.23,71470115.0,0.012331
148456,SBUX,2015-04-09,47.96,71987960.0,0.007246
148457,SBUX,2015-04-10,48.17,72293969.53,0.004379
148458,SBUX,2015-04-13,48.5,72789236.5,0.006851
148459,SBUX,2015-04-14,48.3,72489074.7,-0.004124
148460,SBUX,2015-04-15,48.14,72248945.26,-0.003313
148461,SBUX,2015-04-16,48.245,72406530.21,0.002181
148462,SBUX,2015-04-17,47.62,71468524.58,-0.012955
148463,SBUX,2015-04-20,47.97,71993807.73,0.00735
148464,SBUX,2015-04-21,48.37,72594131.33,0.008339
148465,SBUX,2015-04-22,48.335,72526667.5,-0.000724
148466,SBUX,2015-04-23,49.43,74169715.0,0.022654
148467,SBUX,2015-04-24,51.84,77785920.0,0.048756
148468,SBUX,2015-04-27,50.87,76330435.0,-0.018711
148469,SBUX,2015-04-28,50.61,75940305.0,-0.005111
148470,SBUX,2015-04-29,50.65,76000325.0,0.00079
148471,SBUX,2015-04-30,49.58,74394790.0,-0.021125
148472,SBUX,2015-05-01,50.29,75460145.0,0.01432
148473,SBUX,2015-05-04,50.445,75692722.5,0.003082
148474,SBUX,2015-05-05,49.405,74132202.5,-0.017445
148475,SBUX,2015-05-06,48.93,73419465.0,-0.009614
148476,SBUX,2015-05-07,49.35,74049675.0,0.008584
148477,SBUX,2015-05-08,49.78,74694890.0,0.008713
148478,SBUX,2015-05-11,49.5,74274750.0,-0.005625
148479,SBUX,2015-05-12,49.71,74589855.0,0.004242
148480,SBUX,2015-05-13,49.59,74409795.0,-0.002414
148481,SBUX,2015-05-14,50.555,75857777.5,0.01946
148482,SBUX,2015-05-15,50.8,76225400.0,0.004846
148483,SBUX,2015-05-18,51.18,76795590.0,0.00748
148484,SBUX,2015-05-19,51.42,77155710.0,0.004689
148485,SBUX,2015-05-20,51.03,76570515.0,-0.007585
148486,SBUX,2015-05-21,51.33,77020665.0,0.005879
148487,SBUX,2015-05-22,51.48,77245740.0,0.002922
148488,SBUX,2015-05-26,50.84,76285420.0,-0.012432
148489,SBUX,2015-05-27,51.59,77410795.0,0.014752
148490,SBUX,2015-05-28,51.81,77740905.0,0.004264
148491,SBUX,2015-05-29,51.96,77965980.0,0.002895
148492,SBUX,2015-06-01,52.22,78356110.0,0.005004
148493,SBUX,2015-06-02,51.73,77620865.0,-0.009383
148494,SBUX,2015-06-03,52.12,78206060.0,0.007539
148495,SBUX,2015-06-04,51.72,77605860.0,-0.007675
148496,SBUX,2015-06-05,52.19,78311095.0,0.009087
148497,SBUX,2015-06-08,51.53,77320765.0,-0.012646
148498,SBUX,2015-06-09,51.54,77335770.0,0.000194
148499,SBUX,2015-06-10,52.69,79061345.0,0.022313
148500,SBUX,2015-06-11,52.49,78761245.0,-0.003796
148501,SBUX,2015-06-12,52.63,78971315.0,0.002667
148502,SBUX,2015-06-15,52.27,78431135.0,-0.00684
148503,SBUX,2015-06-16,52.965,79473982.5,0.013296
148504,SBUX,2015-06-17,53.24,79886620.0,0.005192
148505,SBUX,2015-06-18,54.11,81192055.0,0.016341
148506,SBUX,2015-06-19,53.93,80921965.0,-0.003327
148507,SBUX,2015-06-22,53.9,80876950.0,-0.000556
148508,SBUX,2015-06-23,54.115,81199557.5,0.003989
148509,SBUX,2015-06-24,53.71,80591855.0,-0.007484
148510,SBUX,2015-06-25,54.07,81132035.0,0.006703
148511,SBUX,2015-06-26,54.62,81427496.0,0.010172
148512,SBUX,2015-06-29,53.55,79832340.0,-0.01959
148513,SBUX,2015-06-30,53.615,79929242.0,0.001214
148514,SBUX,2015-07-01,53.89,80339212.0,0.005129
148515,SBUX,2015-07-02,54.24,80860992.0,0.006495
148516,SBUX,2015-07-06,54.305,80957894.0,0.001198
148517,SBUX,2015-07-07,54.375,81062250.0,0.001289
148518,SBUX,2015-07-08,53.39,79593812.0,-0.018115
148519,SBUX,2015-07-09,54.05,80577740.0,0.012362
148520,SBUX,2015-07-10,54.57,81352956.0,0.009621
148521,SBUX,2015-07-13,55.7,83037560.0,0.020707
148522,SBUX,2015-07-14,55.75,83112100.0,0.000898
148523,SBUX,2015-07-15,55.34,82500872.0,-0.007354
148524,SBUX,2015-07-16,55.74,83097192.0,0.007228
148525,SBUX,2015-07-17,55.69,83022652.0,-0.000897
148526,SBUX,2015-07-20,56.21,83797868.0,0.009337
148527,SBUX,2015-07-21,56.2,83782960.0,-0.000178
148528,SBUX,2015-07-22,56.69,84139298.0,0.008719
148529,SBUX,2015-07-23,56.56,83946352.0,-0.002293
148530,SBUX,2015-07-24,57.29,85029818.0,0.012907
148531,SBUX,2015-07-27,56.98,84569716.0,-0.005411
148532,SBUX,2015-07-28,57.14,84807188.0,0.002808
148533,SBUX,2015-07-29,57.51,85356342.0,0.006475
148534,SBUX,2015-07-30,58.06,86172652.0,0.009564
148535,SBUX,2015-07-31,57.93,85979706.0,-0.002239
148536,SBUX,2015-08-03,58.19,86365598.0,0.004488
148537,SBUX,2015-08-04,58.7,87122540.0,0.011514
148538,SBUX,2015-08-05,59.01,87582642.0,0.005281
148539,SBUX,2015-08-06,57.23,84940766.0,-0.030164
148540,SBUX,2015-08-07,57.2,84896240.0,-0.000524
148541,SBUX,2015-08-10,56.27,83515934.0,-0.016259
148542,SBUX,2015-08-11,56.35,83634670.0,0.001422
148543,SBUX,2015-08-12,56.38,83679196.0,0.000532
148544,SBUX,2015-08-13,56.85,84376770.0,0.008336
148545,SBUX,2015-08-14,57.1,84747820.0,0.004398
148546,SBUX,2015-08-17,57.74,85697708.0,0.011208
148547,SBUX,2015-08-18,57.83,85831286.0,0.001559
148548,SBUX,2015-08-19,57.59,85475078.0,-0.00415
148549,SBUX,2015-08-20,55.81,82833202.0,-0.030908
148550,SBUX,2015-08-21,52.84,78425128.0,-0.053216
148551,SBUX,2015-08-24,50.34,74714628.0,-0.047313
148552,SBUX,2015-08-25,51.09,75827778.0,0.014899
148553,SBUX,2015-08-26,53.96,80087432.0,0.056175
148554,SBUX,2015-08-27,55.95,83040990.0,0.036879
148555,SBUX,2015-08-28,55.63,82566046.0,-0.005719
148556,SBUX,2015-08-31,54.71,81200582.0,-0.016538
148557,SBUX,2015-09-01,53.5,79404700.0,-0.022117
148558,SBUX,2015-09-02,55.26,82016892.0,0.032897
148559,SBUX,2015-09-03,54.69,81170898.0,-0.010315
148560,SBUX,2015-09-04,54.28,80562376.0,-0.007497
148561,SBUX,2015-09-08,55.21,81942682.0,0.017133
148562,SBUX,2015-09-09,54.69,81170898.0,-0.009419
148563,SBUX,2015-09-10,55.37,82180154.0,0.012434
148564,SBUX,2015-09-11,56.53,83901826.0,0.02095
148565,SBUX,2015-09-14,56.29,83545618.0,-0.004246
148566,SBUX,2015-09-15,56.91,84465822.0,0.011014
148567,SBUX,2015-09-16,57.26,84985292.0,0.00615
148568,SBUX,2015-09-17,57.28,85014976.0,0.000349
148569,SBUX,2015-09-18,56.84,84361928.0,-0.007682
148570,SBUX,2015-09-21,57.54,85400868.0,0.012315
148571,SBUX,2015-09-22,57.12,84777504.0,-0.007299
148572,SBUX,2015-09-23,57.79,85771918.0,0.01173
148573,SBUX,2015-09-24,58.37,86632754.0,0.010036
148574,SBUX,2015-09-25,57.99,86120949.0,-0.00651
148575,SBUX,2015-09-28,55.77,82824027.0,-0.038282
148576,SBUX,2015-09-29,55.72,82749772.0,-0.000897
148577,SBUX,2015-09-30,56.84,84413084.0,0.020101
148578,SBUX,2015-10-01,57.48,85363548.0,0.01126
148579,SBUX,2015-10-02,58.08,86254608.0,0.010438
148580,SBUX,2015-10-05,59.04,87680304.0,0.016529
148581,SBUX,2015-10-06,58.69,87160519.0,-0.005928
148582,SBUX,2015-10-07,58.78,87294178.0,0.001533
148583,SBUX,2015-10-08,59.46,88304046.0,0.011569
148584,SBUX,2015-10-09,60.07,89209957.0,0.010259
148585,SBUX,2015-10-12,60.54,89907954.0,0.007824
