Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
150404,SO,2015-01-02,49.37,44423767.81,0.005294
150405,SO,2015-01-05,49.16,44234807.08,-0.004254
150406,SO,2015-01-06,49.75,44765696.75,0.012002
150407,SO,2015-01-07,50.3,45260593.9,0.011055
150408,SO,2015-01-08,50.34,45296586.42,0.000795
150409,SO,2015-01-09,49.7,44720706.1,-0.012714
150410,SO,2015-01-12,49.71,44729704.23,0.000201
150411,SO,2015-01-13,49.68,44702709.84,-0.000604
150412,SO,2015-01-14,50.19,45161614.47,0.010266
150413,SO,2015-01-15,50.8,45710500.4,0.012154
150414,SO,2015-01-16,51.35,46205397.55,0.010827
150415,SO,2015-01-20,51.66,46484339.58,0.006037
150416,SO,2015-01-21,52.01,46799274.13,0.006775
150417,SO,2015-01-22,52.13,46907251.69,0.002307
150418,SO,2015-01-23,52.23,46997232.99,0.001918
150419,SO,2015-01-26,52.23,46997232.99,0.0
150420,SO,2015-01-27,52.42,47168197.46,0.003638
150421,SO,2015-01-28,52.17,46943244.21,-0.004769
150422,SO,2015-01-29,52.79,47501128.27,0.011884
150423,SO,2015-01-30,50.72,45638515.36,-0.039212
150424,SO,2015-02-02,50.78,45692504.14,0.001183
150425,SO,2015-02-03,50.8,45710500.4,0.000394
150426,SO,2015-02-04,49.46,44504750.98,-0.026378
150427,SO,2015-02-05,49.71,44729704.23,0.005055
150428,SO,2015-02-06,48.17,43343992.21,-0.03098
150429,SO,2015-02-09,47.79,43002063.27,-0.007889
150430,SO,2015-02-10,48.68,43802896.84,0.018623
150431,SO,2015-02-11,47.95,43146033.35,-0.014996
150432,SO,2015-02-12,46.56,41895293.28,-0.01804
150433,SO,2015-02-13,45.88,41283420.44,-0.014605
150434,SO,2015-02-17,45.54,40977484.02,-0.007411
150435,SO,2015-02-18,46.84,42147240.92,0.028546
150436,SO,2015-02-19,46.19,41562362.47,-0.013877
150437,SO,2015-02-20,46.14,41517371.82,-0.001082
150438,SO,2015-02-23,46.47,41814310.11,0.007152
150439,SO,2015-02-24,46.89,42192231.57,0.009038
150440,SO,2015-02-25,45.92,41319412.96,-0.020687
150441,SO,2015-02-26,45.76,41175442.88,-0.003484
150442,SO,2015-02-27,45.79,41202437.27,0.000656
150443,SO,2015-03-02,44.87,40374609.31,-0.020092
150444,SO,2015-03-03,45.15,40626556.95,0.00624
150445,SO,2015-03-04,44.83,40338616.79,-0.007087
150446,SO,2015-03-05,45.02,40509581.26,0.004238
150447,SO,2015-03-06,44.09,39672755.17,-0.020657
150448,SO,2015-03-09,44.01,39600770.13,-0.001814
150449,SO,2015-03-10,43.93,39528785.09,-0.001818
150450,SO,2015-03-11,43.72,39339824.36,-0.00478
150451,SO,2015-03-12,44.46,40005685.98,0.016926
150452,SO,2015-03-13,43.95,39546781.35,-0.011471
150453,SO,2015-03-16,44.63,40158654.19,0.015472
150454,SO,2015-03-17,44.32,39879712.16,-0.006946
150455,SO,2015-03-18,45.14,40617558.82,0.018502
150456,SO,2015-03-19,44.66,40185648.58,-0.010634
150457,SO,2015-03-20,44.97,40464590.61,0.006941
150458,SO,2015-03-23,45.17,40644553.21,0.004447
150459,SO,2015-03-24,44.52,40059674.76,-0.01439
150460,SO,2015-03-25,44.03,39618766.39,-0.011006
150461,SO,2015-03-26,43.76,39375816.88,-0.006132
150462,SO,2015-03-27,44.01,39600770.13,0.005713
150463,SO,2015-03-30,44.33,39888710.29,0.007271
150464,SO,2015-03-31,44.28,40289397.84,-0.001128
150465,SO,2015-04-01,44.62,40598756.36,0.007678
150466,SO,2015-04-02,44.64,40616953.92,0.000448
150467,SO,2015-04-06,44.92,40871719.76,0.006272
150468,SO,2015-04-07,44.26,40271200.28,-0.014693
150469,SO,2015-04-08,44.34,40343990.52,0.001808
150470,SO,2015-04-09,44.47,40462274.66,0.002932
150471,SO,2015-04-10,44.62,40598756.36,0.003373
150472,SO,2015-04-13,44.2,40216607.6,-0.009413
150473,SO,2015-04-14,44.35,40353089.3,0.003394
150474,SO,2015-04-15,44.2,40216607.6,-0.003382
150475,SO,2015-04-16,44.11,40134718.58,-0.002036
150476,SO,2015-04-17,44.11,40134718.58,0.0
150477,SO,2015-04-20,44.76,40726139.28,0.014736
150478,SO,2015-04-21,44.42,40416780.76,-0.007596
150479,SO,2015-04-22,44.48,40471373.44,0.001351
150480,SO,2015-04-23,44.69,40662447.82,0.004721
150481,SO,2015-04-24,44.87,40826225.86,0.004028
150482,SO,2015-04-27,44.32,40325792.96,-0.012258
150483,SO,2015-04-28,44.66,40635151.48,0.007671
150484,SO,2015-04-29,44.65,40626052.7,-0.000224
150485,SO,2015-04-30,44.3,40224400.0,-0.007839
150486,SO,2015-05-01,44.82,40696560.0,0.011738
150487,SO,2015-05-04,44.98,40841840.0,0.00357
150488,SO,2015-05-05,44.27,40197160.0,-0.015785
150489,SO,2015-05-06,44.08,40024640.0,-0.004292
150490,SO,2015-05-07,44.23,40160840.0,0.003403
150491,SO,2015-05-08,44.15,40088200.0,-0.001809
150492,SO,2015-05-11,43.59,39579720.0,-0.012684
150493,SO,2015-05-12,43.47,39470760.0,-0.002753
150494,SO,2015-05-13,43.38,39389040.0,-0.00207
150495,SO,2015-05-14,43.18,39207440.0,0.007895
150496,SO,2015-05-15,43.72,39697760.0,0.012506
150497,SO,2015-05-18,43.65,39634200.0,-0.001601
150498,SO,2015-05-19,43.67,39652360.0,0.000458
150499,SO,2015-05-20,43.67,39652360.0,0.0
150500,SO,2015-05-21,43.38,39389040.0,-0.006641
150501,SO,2015-05-22,43.23,39252840.0,-0.003458
150502,SO,2015-05-26,43.3,39316400.0,0.001619
150503,SO,2015-05-27,43.73,39706840.0,0.009931
150504,SO,2015-05-28,43.51,39507080.0,-0.005031
150505,SO,2015-05-29,43.69,39681923.09,0.004137
150506,SO,2015-06-01,43.67,39663757.87,-0.000458
150507,SO,2015-06-02,43.28,39309536.08,-0.008931
150508,SO,2015-06-03,43.12,39164214.32,-0.003697
150509,SO,2015-06-04,43.18,39218709.98,0.001391
150510,SO,2015-06-05,42.66,38746414.26,-0.012043
150511,SO,2015-06-08,42.6,38691918.6,-0.001406
150512,SO,2015-06-09,42.44,38546596.84,-0.003756
150513,SO,2015-06-10,42.34,38455770.74,-0.002356
150514,SO,2015-06-11,42.59,38682835.99,0.005905
150515,SO,2015-06-12,42.3,38419440.3,-0.006809
150516,SO,2015-06-15,42.09,38228705.49,-0.004965
150517,SO,2015-06-16,42.48,38582927.28,0.009266
150518,SO,2015-06-17,42.69,38773662.09,0.004944
150519,SO,2015-06-18,43.32,39345866.52,0.014758
150520,SO,2015-06-19,42.73,38809992.53,-0.01362
150521,SO,2015-06-22,42.51,38610175.11,-0.005149
150522,SO,2015-06-23,42.05,38192375.05,-0.010821
150523,SO,2015-06-24,41.7,37874483.7,-0.008323
150524,SO,2015-06-25,41.61,37792740.21,-0.002158
150525,SO,2015-06-26,41.89,38047053.29,0.006729
150526,SO,2015-06-29,41.96,38110631.56,0.001671
150527,SO,2015-06-30,41.9,38056135.9,-0.00143
150528,SO,2015-07-01,42.18,38310448.98,0.006683
150529,SO,2015-07-02,42.89,38955314.29,0.016833
150530,SO,2015-07-06,43.12,39164214.32,0.005363
150531,SO,2015-07-07,44.26,40199631.86,0.026438
150532,SO,2015-07-08,44.2,40145136.2,-0.001356
150533,SO,2015-07-09,43.27,39300453.47,-0.021041
150534,SO,2015-07-10,43.36,39382196.96,0.00208
150535,SO,2015-07-13,43.4,39418527.4,0.000923
150536,SO,2015-07-14,43.21,39245957.81,-0.004378
150537,SO,2015-07-15,43.37,39391279.57,0.003703
150538,SO,2015-07-16,43.98,39945318.78,0.014065
150539,SO,2015-07-17,43.51,39518436.11,-0.010687
150540,SO,2015-07-20,43.32,39345866.52,-0.004367
150541,SO,2015-07-21,43.21,39245957.81,-0.002539
150542,SO,2015-07-22,43.25,39282288.25,0.000926
150543,SO,2015-07-23,42.98,39037057.78,-0.006243
150544,SO,2015-07-24,42.88,38946231.68,-0.002327
150545,SO,2015-07-27,43.44,39454857.84,0.01306
150546,SO,2015-07-28,43.54,39545683.94,0.002302
150547,SO,2015-07-29,43.57,39572931.77,0.000689
150548,SO,2015-07-30,44.38,40308623.18,0.018591
150549,SO,2015-07-31,44.73,40626514.53,0.007886
150550,SO,2015-08-03,44.96,40835414.56,0.005142
150551,SO,2015-08-04,44.42,40344953.62,-0.012011
150552,SO,2015-08-05,44.61,40517523.21,0.004277
150553,SO,2015-08-06,45.06,40926240.66,0.010087
150554,SO,2015-08-07,45.53,41353123.33,0.010431
150555,SO,2015-08-10,45.46,41289545.06,-0.001537
150556,SO,2015-08-11,45.91,41698262.51,0.009899
150557,SO,2015-08-12,46.57,42297714.77,0.014376
150558,SO,2015-08-13,46.16,41925327.76,0.002845
150559,SO,2015-08-14,46.33,42079732.13,0.003683
150560,SO,2015-08-17,46.3,42052484.3,-0.000648
150561,SO,2015-08-18,46.07,41843584.27,-0.004968
150562,SO,2015-08-19,46.31,42061566.91,0.005209
150563,SO,2015-08-20,46.36,42106979.96,0.00108
150564,SO,2015-08-21,45.8,41598353.8,-0.012079
150565,SO,2015-08-24,43.58,39582014.38,-0.048472
150566,SO,2015-08-25,42.5,38601092.5,-0.024782
150567,SO,2015-08-26,43.61,39609262.21,0.026118
150568,SO,2015-08-27,43.91,39881740.51,0.006879
150569,SO,2015-08-28,43.74,39727336.14,-0.003872
150570,SO,2015-08-31,43.41,39427610.01,-0.007545
150571,SO,2015-09-01,42.41,38519349.01,-0.023036
150572,SO,2015-09-02,42.52,38619257.72,0.002594
150573,SO,2015-09-03,42.58,38673753.38,0.001411
150574,SO,2015-09-04,41.98,38128796.78,-0.014091
150575,SO,2015-09-08,42.7,38782744.7,0.017151
150576,SO,2015-09-09,42.46,38564762.06,-0.005621
150577,SO,2015-09-10,42.3,38419440.3,-0.003768
150578,SO,2015-09-11,42.71,38791827.31,0.009693
150579,SO,2015-09-14,42.63,38719166.43,-0.001873
150580,SO,2015-09-15,42.63,38719166.43,0.0
150581,SO,2015-09-16,42.91,38973479.51,0.006568
150582,SO,2015-09-17,43.48,39491188.28,0.013284
150583,SO,2015-09-18,43.43,39445775.23,-0.00115
150584,SO,2015-09-21,43.77,39754583.97,0.007829
150585,SO,2015-09-22,43.01,39064305.61,-0.017363
150586,SO,2015-09-23,42.95,39009809.95,-0.001395
150587,SO,2015-09-24,43.48,39491188.28,0.01234
150588,SO,2015-09-25,44.13,40081557.93,0.014949
150589,SO,2015-09-28,44.09,40045227.49,-0.000906
150590,SO,2015-09-29,44.29,40226879.69,0.004536
150591,SO,2015-09-30,44.7,40599266.7,0.009257
150592,SO,2015-10-01,44.19,40136053.59,-0.011409
150593,SO,2015-10-02,44.69,40590184.09,0.011315
150594,SO,2015-10-05,45.2,41053397.2,0.011412
150595,SO,2015-10-06,44.79,40681010.19,-0.009071
150596,SO,2015-10-07,44.76,40653762.36,-0.00067
150597,SO,2015-10-08,45.15,41007984.15,0.008713
150598,SO,2015-10-09,44.96,40835414.56,-0.004208
150599,SO,2015-10-12,45.61,41425784.21,0.014457
150600,SO,2015-10-13,45.57,41389453.77,-0.000877
150601,SO,2015-10-14,45.52,41344040.72,-0.001097
150602,SO,2015-10-15,45.82,41616519.02,0.006591
150603,SO,2015-10-16,46.22,41979823.42,0.00873
150604,SO,2015-10-19,45.96,41743675.56,-0.005625
150605,SO,2015-10-20,45.97,41752758.17,0.000218
150606,SO,2015-10-21,46.08,41852666.88,0.002393
150607,SO,2015-10-22,46.5,42234136.5,0.009115
150608,SO,2015-10-23,45.81,41607436.41,-0.014839
150609,SO,2015-10-26,45.64,41453032.04,-0.003711
150610,SO,2015-10-27,45.66,41471197.26,0.000438
150611,SO,2015-10-28,45.33,41171471.13,-0.007227
150612,SO,2015-10-29,44.95,40826331.95,-0.008383
150613,SO,2015-10-30,45.1,41041000.0,0.003337
150614,SO,2015-11-02,45.23,41159300.0,0.002882
150615,SO,2015-11-03,45.44,41350400.0,0.004643
150616,SO,2015-11-04,45.8,41678000.0,0.007923
150617,SO,2015-11-05,45.63,41523300.0,-0.003712
150618,SO,2015-11-06,43.59,39666900.0,-0.044707
150619,SO,2015-11-09,44.02,40058200.0,0.009865
150620,SO,2015-11-10,44.44,40440400.0,0.009541
150621,SO,2015-11-11,45.03,40977300.0,0.013276
150622,SO,2015-11-12,43.89,39939900.0,-0.013269
150623,SO,2015-11-13,43.95,39994500.0,0.001367
150624,SO,2015-11-16,44.74,40713400.0,0.017975
150625,SO,2015-11-17,44.1,40131000.0,-0.014305
150626,SO,2015-11-18,44.45,40449500.0,0.007937
150627,SO,2015-11-19,45.18,41113800.0,0.016423
150628,SO,2015-11-20,45.24,41168400.0,0.001328
150629,SO,2015-11-23,44.92,40877200.0,-0.007073
150630,SO,2015-11-24,44.81,40777100.0,-0.002449
150631,SO,2015-11-25,44.58,40567800.0,-0.005133
150632,SO,2015-11-27,44.58,40567800.0,0.0
150633,SO,2015-11-30,44.54,40484143.06,-0.000897
150634,SO,2015-12-01,45.18,41065864.02,0.014369
150635,SO,2015-12-02,44.21,40184193.19,-0.02147
150636,SO,2015-12-03,44.18,40156925.02,-0.000679
150637,SO,2015-12-04,44.83,40747735.37,0.014713
150638,SO,2015-12-07,45.28,41156757.92,0.010038
150639,SO,2015-12-08,45.3,41174936.7,0.000442
150640,SO,2015-12-09,45.14,41029506.46,-0.003532
150641,SO,2015-12-10,44.49,40438696.11,-0.0144
150642,SO,2015-12-11,44.4,40356891.6,-0.002023
150643,SO,2015-12-14,44.95,40856808.05,0.012387
150644,SO,2015-12-15,45.41,41274919.99,0.010234
150645,SO,2015-12-16,46.33,42111143.87,0.02026
150646,SO,2015-12-17,46.51,42274752.89,0.003885
150647,SO,2015-12-18,46.2,41992981.8,-0.006665
150648,SO,2015-12-21,46.23,42020249.97,0.000649
150649,SO,2015-12-22,46.45,42220216.55,0.004759
150650,SO,2015-12-23,47.1,42811026.9,0.013994
150651,SO,2015-12-24,47.1,42811026.9,0.0
150652,SO,2015-12-28,47.11,42820116.29,0.000212
150653,SO,2015-12-29,47.26,42956457.14,0.003184
150654,SO,2015-12-30,47.27,42965546.53,0.000212
150655,SO,2015-12-31,46.79,42529255.81,-0.010154
150656,SO,2016-01-04,47.03,42747401.17,0.005129
150657,SO,2016-01-05,47.36,43047351.04,0.007017
150658,SO,2016-01-06,47.37,43056440.43,0.000211
150659,SO,2016-01-07,46.97,42692864.83,-0.008444
150660,SO,2016-01-08,46.62,42374736.18,-0.007452
150661,SO,2016-01-11,46.84,42574702.76,0.004719
150662,SO,2016-01-12,46.45,42220216.55,-0.008326
150663,SO,2016-01-13,46.8,42538345.2,0.007535
150664,SO,2016-01-14,47.14,42847384.46,0.007265
150665,SO,2016-01-15,47.17,42874652.63,0.000636
150666,SO,2016-01-19,47.94,43574535.66,0.016324
150667,SO,2016-01-20,47.16,42865563.24,-0.01627
150668,SO,2016-01-21,46.81,42547434.59,-0.007422
150669,SO,2016-01-22,47.35,43038261.65,0.011536
150670,SO,2016-01-25,47.39,43074619.21,0.000845
150671,SO,2016-01-26,47.58,43247317.62,0.004009
150672,SO,2016-01-27,47.64,43301853.96,0.001261
150673,SO,2016-01-28,48.28,43883574.92,0.013434
150674,SO,2016-01-29,48.92,44465295.88,0.013256
150675,SO,2016-02-01,49.9,45356056.1,0.020033
150676,SO,2016-02-02,49.63,45110642.57,-0.005411
150677,SO,2016-02-03,48.51,44092630.89,-0.022567
150678,SO,2016-02-04,48.42,44010826.38,-0.001855
150679,SO,2016-02-05,48.22,43829038.58,-0.004131
150680,SO,2016-02-08,48.82,44374401.98,0.012443
150681,SO,2016-02-09,49.2,44719798.8,0.007784
150682,SO,2016-02-10,49.21,44728888.19,0.000203
150683,SO,2016-02-11,48.05,43674518.95,-0.012548
150684,SO,2016-02-12,47.91,43547267.49,-0.002914
150685,SO,2016-02-16,48.09,43710876.51,0.003757
150686,SO,2016-02-17,47.83,43474552.37,-0.005407
150687,SO,2016-02-18,48.87,44419848.93,0.021744
150688,SO,2016-02-19,48.57,44147167.23,-0.006139
150689,SO,2016-02-22,49.1,44628904.9,0.010912
150690,SO,2016-02-23,49.1,44628904.9,0.0
150691,SO,2016-02-24,48.98,44519832.22,-0.002444
150692,SO,2016-02-25,49.36,44865229.04,0.007758
150693,SO,2016-02-26,48.19,43801770.41,-0.023703
150694,SO,2016-02-29,48.18,43980968.46,-0.000208
150695,SO,2016-03-01,47.49,43351104.03,-0.014321
150696,SO,2016-03-02,47.98,43798399.06,0.010318
150697,SO,2016-03-03,48.19,43990096.93,0.004377
150698,SO,2016-03-04,48.63,44391749.61,0.009131
150699,SO,2016-03-07,48.49,44263951.03,-0.002879
150700,SO,2016-03-08,49.15,44866430.05,0.013611
150701,SO,2016-03-09,49.56,45240697.32,0.008342
150702,SO,2016-03-10,49.87,45523679.89,0.006255
150703,SO,2016-03-11,49.79,45450652.13,-0.001604
150704,SO,2016-03-14,49.95,45596707.65,0.003213
150705,SO,2016-03-15,50.33,45943589.51,0.007608
150706,SO,2016-03-16,50.68,46263085.96,0.006954
150707,SO,2016-03-17,50.82,46390884.54,0.002762
150708,SO,2016-03-18,50.76,46336113.72,-0.001181
150709,SO,2016-03-21,50.48,46080516.56,-0.005516
150710,SO,2016-03-22,50.27,45888818.69,-0.00416
150711,SO,2016-03-23,50.67,46253957.49,0.007957
150712,SO,2016-03-24,50.9,46463912.3,0.004539
150713,SO,2016-03-28,50.58,46171801.26,-0.006287
150714,SO,2016-03-29,51.2,46737766.4,0.012258
150715,SO,2016-03-30,51.21,46746894.87,0.000195
150716,SO,2016-03-31,51.73,47221575.31,0.010154
150717,SO,2016-04-01,51.7,47194189.9,-0.00058
150718,SO,2016-04-04,51.53,47039005.91,-0.003288
150719,SO,2016-04-05,50.65,46235700.55,-0.017077
150720,SO,2016-04-06,50.36,45970974.92,-0.005726
150721,SO,2016-04-07,50.67,46253957.49,0.006156
150722,SO,2016-04-08,50.73,46308728.31,0.001184
150723,SO,2016-04-11,50.47,46071388.09,-0.005125
150724,SO,2016-04-12,50.77,46345242.19,0.005944
150725,SO,2016-04-13,50.36,45970974.92,-0.008076
150726,SO,2016-04-14,50.45,46053131.15,0.001787
150727,SO,2016-04-15,50.68,46263085.96,0.004559
150728,SO,2016-04-18,50.91,46473040.77,0.004538
150729,SO,2016-04-19,51.0,46555197.0,0.001768
150730,SO,2016-04-20,49.77,45432395.19,-0.024118
150731,SO,2016-04-21,48.94,44674732.18,-0.016677
150732,SO,2016-04-22,49.26,44966843.22,0.006539
