Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
152418,SPG,2015-01-02,185.34,57600335.88,0.017737
152419,SPG,2015-01-05,186.1,57836530.2,0.004101
152420,SPG,2015-01-06,191.28,59446380.96,0.027834
152421,SPG,2015-01-07,194.8,60540333.6,0.018402
152422,SPG,2015-01-08,194.52,60453314.64,-0.001437
152423,SPG,2015-01-09,196.57,61090417.74,0.010539
152424,SPG,2015-01-12,196.76,61149466.32,0.000967
152425,SPG,2015-01-13,196.89,61189867.98,0.000661
152426,SPG,2015-01-14,198.63,61730628.66,0.008837
152427,SPG,2015-01-15,200.07,62178154.74,0.00725
152428,SPG,2015-01-16,200.8,62405025.6,0.003649
152429,SPG,2015-01-20,199.63,62041410.66,-0.005827
152430,SPG,2015-01-21,200.22,62224772.04,0.002955
152431,SPG,2015-01-22,204.03,63408851.46,0.019029
152432,SPG,2015-01-23,203.11,63122932.02,-0.004509
152433,SPG,2015-01-26,205.16,63760035.12,0.010093
152434,SPG,2015-01-27,204.68,63610859.76,-0.00234
152435,SPG,2015-01-28,203.51,63247244.82,-0.005716
152436,SPG,2015-01-29,204.76,63635722.32,0.006142
152437,SPG,2015-01-30,198.66,61739952.12,-0.029791
152438,SPG,2015-02-02,199.41,61973038.62,0.003775
152439,SPG,2015-02-03,200.09,62184370.38,0.00341
152440,SPG,2015-02-04,201.83,62725131.06,0.008696
152441,SPG,2015-02-05,203.22,63157118.04,0.006887
152442,SPG,2015-02-06,195.08,60627352.56,-0.040055
152443,SPG,2015-02-09,194.11,60325894.02,-0.004972
152444,SPG,2015-02-10,194.75,60524794.5,0.003297
152445,SPG,2015-02-11,192.42,59800672.44,-0.004775
152446,SPG,2015-02-12,194.72,60515471.04,0.011953
152447,SPG,2015-02-13,193.11,60015112.02,-0.008268
152448,SPG,2015-02-17,192.81,59921877.42,-0.001554
152449,SPG,2015-02-18,194.28,60378726.96,0.007624
152450,SPG,2015-02-19,189.81,58989531.42,-0.023008
152451,SPG,2015-02-20,191.81,59611095.42,0.010537
152452,SPG,2015-02-23,193.61,60170503.02,0.009384
152453,SPG,2015-02-24,190.06,59067226.92,-0.018336
152454,SPG,2015-02-25,190.48,59197755.36,0.00221
152455,SPG,2015-02-26,187.14,58159743.48,-0.017535
152456,SPG,2015-02-27,190.36,59845757.52,0.017206
152457,SPG,2015-03-02,190.04,59745155.28,-0.001681
152458,SPG,2015-03-03,189.61,59609971.02,-0.002263
152459,SPG,2015-03-04,187.56,58965487.92,-0.010812
152460,SPG,2015-03-05,187.13,58830303.66,-0.002293
152461,SPG,2015-03-06,180.58,56771101.56,-0.035002
152462,SPG,2015-03-09,180.44,56727088.08,-0.000775
152463,SPG,2015-03-10,179.92,56563609.44,-0.002882
152464,SPG,2015-03-11,179.35,56384411.7,-0.003168
152465,SPG,2015-03-12,183.6,57720535.2,0.023697
152466,SPG,2015-03-13,183.98,57840000.36,0.00207
152467,SPG,2015-03-16,187.07,58811440.74,0.016795
152468,SPG,2015-03-17,186.13,58515921.66,-0.005025
152469,SPG,2015-03-18,191.5,60204153.0,0.028851
152470,SPG,2015-03-19,192.1,60392782.2,0.003133
152471,SPG,2015-03-20,197.34,62040143.88,0.027277
152472,SPG,2015-03-23,197.54,62103020.28,0.001013
152473,SPG,2015-03-24,196.83,61879809.06,-0.003594
152474,SPG,2015-03-25,194.15,61037265.3,-0.013616
152475,SPG,2015-03-26,192.65,60565692.3,-0.007726
152476,SPG,2015-03-27,194.26,61071847.32,0.008357
152477,SPG,2015-03-30,196.97,61923822.54,0.01395
152478,SPG,2015-03-31,195.64,61505694.48,-0.006752
152479,SPG,2015-04-01,197.99,62244492.18,0.012012
152480,SPG,2015-04-02,199.36,62675195.52,0.00692
152481,SPG,2015-04-06,200.8,63127905.6,0.007223
152482,SPG,2015-04-07,198.29,62338806.78,-0.0125
152483,SPG,2015-04-08,197.46,62077869.72,-0.004186
152484,SPG,2015-04-09,193.13,60716595.66,-0.021928
152485,SPG,2015-04-10,191.27,60131845.14,-0.009631
152486,SPG,2015-04-13,190.33,59836326.06,-0.004915
152487,SPG,2015-04-14,191.42,60179002.44,0.005727
152488,SPG,2015-04-15,190.04,59745155.28,-0.007209
152489,SPG,2015-04-16,190.1,59764018.2,0.000316
152490,SPG,2015-04-17,188.26,59185555.32,-0.009679
152491,SPG,2015-04-20,188.6,59292445.2,0.001806
152492,SPG,2015-04-21,188.83,59364753.06,0.00122
152493,SPG,2015-04-22,189.11,59452780.02,0.001483
152494,SPG,2015-04-23,189.06,59437060.92,-0.000264
152495,SPG,2015-04-24,188.71,59327027.22,-0.001851
152496,SPG,2015-04-27,189.88,59694854.16,0.0062
152497,SPG,2015-04-28,188.25,59182411.5,-0.008584
152498,SPG,2015-04-29,183.1,57563344.2,-0.027357
152499,SPG,2015-04-30,181.49,57133777.96,-0.008793
152500,SPG,2015-05-01,184.17,57977452.68,0.014767
152501,SPG,2015-05-04,183.37,57725609.48,-0.004344
152502,SPG,2015-05-05,180.46,56809529.84,-0.01587
152503,SPG,2015-05-06,181.61,57171554.44,0.006373
152504,SPG,2015-05-07,183.15,57656352.6,0.00848
152505,SPG,2015-05-08,187.65,59072970.6,0.02457
152506,SPG,2015-05-11,184.17,57977452.68,-0.018545
152507,SPG,2015-05-12,184.43,58059301.72,0.001412
152508,SPG,2015-05-13,181.34,57086557.36,-0.008621
152509,SPG,2015-05-14,184.76,58163187.04,0.01886
152510,SPG,2015-05-15,185.61,58430770.44,0.004601
152511,SPG,2015-05-18,184.78,58169483.12,-0.004472
152512,SPG,2015-05-19,184.03,57933380.12,-0.004059
152513,SPG,2015-05-20,183.59,57794866.36,-0.002391
152514,SPG,2015-05-21,183.54,57779126.16,-0.000272
152515,SPG,2015-05-22,183.62,57804310.48,0.000436
152516,SPG,2015-05-26,182.08,57319512.32,-0.008387
152517,SPG,2015-05-27,184.14,57968008.56,0.011314
152518,SPG,2015-05-28,183.82,57867271.28,-0.001738
152519,SPG,2015-05-29,181.4,56462745.4,-0.013165
152520,SPG,2015-06-01,183.39,57082154.79,0.01097
152521,SPG,2015-06-02,182.15,56696191.15,-0.006762
152522,SPG,2015-06-03,178.93,55693930.73,-0.017678
152523,SPG,2015-06-04,179.03,55725056.83,0.000559
152524,SPG,2015-06-05,176.61,54971805.21,-0.013517
152525,SPG,2015-06-08,175.61,54660544.21,-0.005662
152526,SPG,2015-06-09,174.58,54339945.38,-0.005865
152527,SPG,2015-06-10,176.35,54890877.35,0.010139
152528,SPG,2015-06-11,177.25,55171012.25,0.005103
152529,SPG,2015-06-12,176.87,55052733.07,-0.002144
152530,SPG,2015-06-15,175.8,54719683.8,-0.00605
152531,SPG,2015-06-16,177.26,55174124.86,0.008305
152532,SPG,2015-06-17,179.57,55893137.77,0.013032
152533,SPG,2015-06-18,181.89,56615263.29,0.01292
152534,SPG,2015-06-19,179.48,55865124.28,-0.01325
152535,SPG,2015-06-22,176.53,54946904.33,-0.016436
152536,SPG,2015-06-23,175.24,54545377.64,-0.007308
152537,SPG,2015-06-24,173.9,54128287.9,-0.007647
152538,SPG,2015-06-25,172.36,53648945.96,-0.008856
152539,SPG,2015-06-26,173.91,54131400.51,0.008993
152540,SPG,2015-06-29,171.0,53225631.0,-0.016733
152541,SPG,2015-06-30,173.02,53854378.22,0.011813
152542,SPG,2015-07-01,174.76,54395972.36,0.010057
152543,SPG,2015-07-02,174.72,54383521.92,-0.000229
152544,SPG,2015-07-06,175.78,54713458.58,0.006067
152545,SPG,2015-07-07,178.72,55628565.92,0.016725
152546,SPG,2015-07-08,178.34,55510286.74,-0.002126
152547,SPG,2015-07-09,178.12,55441809.32,-0.001234
152548,SPG,2015-07-10,178.84,55665917.24,0.004042
152549,SPG,2015-07-13,179.31,55812209.91,0.002628
152550,SPG,2015-07-14,179.99,56023867.39,0.003792
152551,SPG,2015-07-15,181.41,56465858.01,0.007889
152552,SPG,2015-07-16,183.43,57094605.23,0.011135
152553,SPG,2015-07-17,183.06,56979438.66,-0.002017
152554,SPG,2015-07-20,182.93,56938974.73,-0.00071
152555,SPG,2015-07-21,181.76,56574799.36,-0.006396
152556,SPG,2015-07-22,182.38,56767781.18,0.003411
152557,SPG,2015-07-23,181.38,56456520.18,-0.005483
152558,SPG,2015-07-24,184.65,57474343.65,0.018028
152559,SPG,2015-07-27,185.77,57822955.97,0.006066
152560,SPG,2015-07-28,186.36,58006599.96,0.003176
152561,SPG,2015-07-29,186.47,58040838.67,0.00059
152562,SPG,2015-07-30,186.14,57938122.54,-0.00177
152563,SPG,2015-07-31,187.22,58938166.54,0.005802
152564,SPG,2015-08-03,188.39,59306490.73,0.006249
152565,SPG,2015-08-04,188.55,59356859.85,0.000849
152566,SPG,2015-08-05,188.7,59404080.9,0.000796
152567,SPG,2015-08-06,189.9,59781849.3,0.006359
152568,SPG,2015-08-07,191.69,60345353.83,0.009426
152569,SPG,2015-08-10,189.16,59548892.12,-0.013198
152570,SPG,2015-08-11,191.55,60301280.85,0.012635
152571,SPG,2015-08-12,192.02,60449240.14,0.002454
152572,SPG,2015-08-13,190.75,60049435.25,0.001458
152573,SPG,2015-08-14,191.68,60342205.76,0.004875
152574,SPG,2015-08-17,193.54,60927746.78,0.009704
152575,SPG,2015-08-18,194.78,61318107.46,0.006407
152576,SPG,2015-08-19,193.19,60817564.33,-0.008163
152577,SPG,2015-08-20,192.21,60509053.47,-0.005073
152578,SPG,2015-08-21,189.97,59803885.79,-0.011654
152579,SPG,2015-08-24,182.07,57316910.49,-0.041586
152580,SPG,2015-08-25,177.09,55749171.63,-0.027352
152581,SPG,2015-08-26,181.97,57285429.79,0.027557
152582,SPG,2015-08-27,185.73,58469104.11,0.020663
152583,SPG,2015-08-28,184.32,58025226.24,-0.007592
152584,SPG,2015-08-31,179.32,55483401.2,-0.027127
152585,SPG,2015-09-01,175.01,54149844.1,-0.024035
152586,SPG,2015-09-02,177.13,54805793.3,0.012114
152587,SPG,2015-09-03,177.92,55050227.2,0.00446
152588,SPG,2015-09-04,174.92,54121997.2,-0.016862
152589,SPG,2015-09-08,177.54,54932651.4,0.014978
152590,SPG,2015-09-09,174.6,54022986.0,-0.01656
