Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
156446,TGT,2015-01-02,75.33,47982498.12,-0.007641
156447,TGT,2015-01-05,73.98,47122596.72,-0.017921
156448,TGT,2015-01-06,73.97,47116227.08,-0.000135
156449,TGT,2015-01-07,76.77,48899726.28,0.037853
156450,TGT,2015-01-08,77.13,49129033.32,0.004689
156451,TGT,2015-01-09,76.43,48683158.52,-0.009076
156452,TGT,2015-01-12,76.63,48810551.32,0.002617
156453,TGT,2015-01-13,75.95,48377415.8,-0.008874
156454,TGT,2015-01-14,74.33,47345534.12,-0.02133
156455,TGT,2015-01-15,75.67,48199065.88,0.018028
156456,TGT,2015-01-16,74.94,47734082.16,-0.009647
156457,TGT,2015-01-20,73.67,46925137.88,-0.016947
156458,TGT,2015-01-21,73.95,47103487.8,0.003801
156459,TGT,2015-01-22,75.77,48262762.28,0.024611
156460,TGT,2015-01-23,75.29,47957019.56,-0.006335
156461,TGT,2015-01-26,75.25,47931541.0,-0.000531
156462,TGT,2015-01-27,74.76,47619428.64,-0.006512
156463,TGT,2015-01-28,74.26,47300946.64,-0.006688
156464,TGT,2015-01-29,75.49,48084412.36,0.016563
156465,TGT,2015-01-30,73.61,46886920.04,-0.024904
156466,TGT,2015-02-02,74.25,47294577.0,0.008694
156467,TGT,2015-02-03,75.87,48326458.68,0.021818
156468,TGT,2015-02-04,75.61,48160848.04,-0.003427
156469,TGT,2015-02-05,75.95,48377415.8,0.004497
156470,TGT,2015-02-06,76.36,48638571.04,0.005398
156471,TGT,2015-02-09,75.39,48020715.96,-0.012703
156472,TGT,2015-02-10,76.65,48823290.6,0.016713
156473,TGT,2015-02-11,76.42,48676788.88,-0.003001
156474,TGT,2015-02-12,76.87,48963422.68,0.005889
156475,TGT,2015-02-13,76.12,48485699.68,-0.002992
156476,TGT,2015-02-17,76.64,48816920.96,0.006831
156477,TGT,2015-02-18,77.35,49269165.4,0.009264
156478,TGT,2015-02-19,76.68,48842399.52,-0.008662
156479,TGT,2015-02-20,76.87,48963422.68,0.002478
156480,TGT,2015-02-23,76.69,48848769.16,-0.002342
156481,TGT,2015-02-24,76.95,49014379.8,0.00339
156482,TGT,2015-02-25,77.15,49141772.6,0.002599
156483,TGT,2015-02-26,76.9,48982531.6,-0.00324
156484,TGT,2015-02-27,76.83,49187641.62,-0.00091
156485,TGT,2015-03-02,77.68,49731823.52,0.011063
156486,TGT,2015-03-03,78.0,49936692.0,0.004119
