Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
158460,TMO,2015-01-02,128.12,51251203.0,0.022588
158461,TMO,2015-01-05,126.36,50547159.0,-0.013737
158462,TMO,2015-01-06,125.18,50075129.5,-0.009338
158463,TMO,2015-01-07,128.93,51575223.25,0.029957
158464,TMO,2015-01-08,130.27,52111256.75,0.010393
158465,TMO,2015-01-09,129.75,51903243.75,-0.003992
158466,TMO,2015-01-12,128.5,51403212.5,-0.009634
158467,TMO,2015-01-13,128.34,51339208.5,-0.001245
158468,TMO,2015-01-14,126.2,50483155.0,-0.016674
158469,TMO,2015-01-15,124.13,49655103.25,-0.016403
158470,TMO,2015-01-16,125.29,50119132.25,0.009345
158471,TMO,2015-01-20,125.24,50099131.0,-0.000399
158472,TMO,2015-01-21,125.36,50147134.0,0.000958
158473,TMO,2015-01-22,127.0,50803175.0,0.013082
158474,TMO,2015-01-23,124.87,49951121.75,-0.016772
158475,TMO,2015-01-26,125.64,50259141.0,0.006166
158476,TMO,2015-01-27,124.88,49955122.0,-0.006049
158477,TMO,2015-01-28,124.34,49739108.5,-0.004324
158478,TMO,2015-01-29,127.96,51187199.0,0.029114
158479,TMO,2015-01-30,125.21,50087130.25,-0.021491
158480,TMO,2015-02-02,125.89,50359147.25,0.005431
158481,TMO,2015-02-03,127.33,50935183.25,0.011439
158482,TMO,2015-02-04,126.35,50543158.75,-0.007697
158483,TMO,2015-02-05,127.04,50819176.0,0.005461
158484,TMO,2015-02-06,124.8,49923120.0,-0.017632
158485,TMO,2015-02-09,123.4,49363085.0,-0.011218
158486,TMO,2015-02-10,125.03,50015125.75,0.013209
158487,TMO,2015-02-11,125.42,50171135.5,0.003119
158488,TMO,2015-02-12,126.83,50735170.75,0.011242
158489,TMO,2015-02-13,127.61,51047190.25,0.00615
158490,TMO,2015-02-17,128.03,51215200.75,0.003291
158491,TMO,2015-02-18,128.0,51203200.0,-0.000234
158492,TMO,2015-02-19,127.79,51119194.75,-0.001641
158493,TMO,2015-02-20,131.17,52471279.25,0.02645
158494,TMO,2015-02-23,130.98,52395274.5,-0.001449
158495,TMO,2015-02-24,131.85,52743296.25,0.006642
158496,TMO,2015-02-25,131.07,52431276.75,-0.005916
158497,TMO,2015-02-26,130.14,52059253.5,-0.007095
158498,TMO,2015-02-27,130.0,51581790.0,-0.001076
158499,TMO,2015-03-02,131.35,52117447.05,0.010385
158500,TMO,2015-03-03,129.73,51474658.59,-0.012333
158501,TMO,2015-03-04,128.89,51141360.87,-0.006475
158502,TMO,2015-03-05,131.46,52161093.18,0.019939
158503,TMO,2015-03-06,128.51,50990583.33,-0.02244
158504,TMO,2015-03-09,128.1,50827902.3,-0.00319
158505,TMO,2015-03-10,127.03,50403344.49,-0.008353
158506,TMO,2015-03-11,127.94,50764417.02,0.007164
158507,TMO,2015-03-12,128.6,51026293.8,0.006331
158508,TMO,2015-03-13,127.42,50558089.86,-0.009176
158509,TMO,2015-03-16,132.97,52760235.51,0.043557
158510,TMO,2015-03-17,132.35,52514230.05,-0.004663
158511,TMO,2015-03-18,133.89,53125275.87,0.011636
158512,TMO,2015-03-19,134.76,53470477.08,0.006498
158513,TMO,2015-03-20,136.63,54212461.29,0.013877
158514,TMO,2015-03-23,137.87,54704472.21,0.009076
158515,TMO,2015-03-24,135.65,53823613.95,-0.016102
158516,TMO,2015-03-25,133.71,53053854.93,-0.014302
158517,TMO,2015-03-26,133.07,52799913.81,-0.004786
158518,TMO,2015-03-27,133.69,53045919.27,0.004659
158519,TMO,2015-03-30,135.57,53791871.31,0.014062
158520,TMO,2015-03-31,134.34,53303828.22,-0.009073
158521,TMO,2015-04-01,132.0,52375356.0,-0.017418
158522,TMO,2015-04-02,133.11,52815785.13,0.008409
158523,TMO,2015-04-06,133.5,52970530.5,0.00293
158524,TMO,2015-04-07,133.02,52780074.66,-0.003596
158525,TMO,2015-04-08,132.82,52700718.06,-0.001504
158526,TMO,2015-04-09,133.57,52998305.31,0.005647
158527,TMO,2015-04-10,133.73,53061790.59,0.001198
158528,TMO,2015-04-13,132.72,52661039.76,-0.007553
158529,TMO,2015-04-14,132.68,52645168.44,-0.000301
158530,TMO,2015-04-15,133.62,53018144.46,0.007085
158531,TMO,2015-04-16,132.49,52569779.67,-0.008457
158532,TMO,2015-04-17,132.1,52415034.3,-0.002944
158533,TMO,2015-04-20,134.03,53180825.49,0.01461
158534,TMO,2015-04-21,134.44,53343506.52,0.003059
158535,TMO,2015-04-22,130.69,51855570.27,-0.027893
158536,TMO,2015-04-23,129.55,51403237.65,-0.008723
158537,TMO,2015-04-24,130.02,51589725.66,0.003628
158538,TMO,2015-04-27,127.27,50498572.41,-0.021151
158539,TMO,2015-04-28,127.63,50641414.29,0.002829
158540,TMO,2015-04-29,127.13,50443022.79,-0.003918
158541,TMO,2015-04-30,125.68,50027803.76,-0.011406
158542,TMO,2015-05-01,127.66,50815956.62,0.015754
158543,TMO,2015-05-04,127.78,50863723.46,0.00094
158544,TMO,2015-05-05,126.65,50413919.05,-0.008843
158545,TMO,2015-05-06,127.66,50815956.62,0.007975
158546,TMO,2015-05-07,127.75,50851781.75,0.000705
158547,TMO,2015-05-08,129.98,51739448.86,0.017456
158548,TMO,2015-05-11,129.87,51695662.59,-0.000846
158549,TMO,2015-05-12,129.61,51592167.77,-0.002002
158550,TMO,2015-05-13,129.85,51687701.45,0.001852
158551,TMO,2015-05-14,131.1,52185272.7,0.009626
158552,TMO,2015-05-15,130.16,51811099.12,-0.00717
158553,TMO,2015-05-18,129.97,51735468.29,-0.00146
158554,TMO,2015-05-19,130.55,51966341.35,0.004463
158555,TMO,2015-05-20,132.02,52551485.14,0.01126
158556,TMO,2015-05-21,132.84,52877891.88,0.006211
158557,TMO,2015-05-22,132.15,52603232.55,-0.005194
158558,TMO,2015-05-26,129.8,51667798.6,-0.017783
158559,TMO,2015-05-27,130.99,52141486.43,0.009168
158560,TMO,2015-05-28,130.13,51799157.41,-0.006565
158561,TMO,2015-05-29,129.63,51600128.91,-0.003842
158562,TMO,2015-06-01,129.46,51532459.22,-0.001311
158563,TMO,2015-06-02,129.57,51576245.49,0.00085
158564,TMO,2015-06-03,129.98,51739448.86,0.003164
158565,TMO,2015-06-04,129.5,51548381.5,-0.003693
158566,TMO,2015-06-05,129.57,51576245.49,0.000541
158567,TMO,2015-06-08,128.27,51058771.39,-0.010033
158568,TMO,2015-06-09,128.57,51178188.49,0.002339
158569,TMO,2015-06-10,130.18,51819060.26,0.012522
