Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
160474,TMUS,2015-01-02,27.3,22043084.7,0.013363
160475,TMUS,2015-01-05,26.93,21744332.27,-0.013553
160476,TMUS,2015-01-06,26.87,21695885.93,-0.002228
160477,TMUS,2015-01-07,28.25,22810151.75,0.051358
160478,TMUS,2015-01-08,29.02,23431879.78,0.027257
160479,TMUS,2015-01-09,29.25,23617590.75,0.007926
160480,TMUS,2015-01-12,29.27,23633739.53,0.000684
160481,TMUS,2015-01-13,29.47,23795227.33,0.006833
160482,TMUS,2015-01-14,29.57,23875971.23,0.003393
160483,TMUS,2015-01-15,29.18,23561070.02,-0.013189
160484,TMUS,2015-01-16,29.14,23528772.46,-0.001371
160485,TMUS,2015-01-20,29.54,23851748.06,0.013727
160486,TMUS,2015-01-21,30.08,24287765.12,0.01828
160487,TMUS,2015-01-22,30.5,24626889.5,0.013963
160488,TMUS,2015-01-23,30.16,24352360.24,-0.011148
160489,TMUS,2015-01-26,30.66,24756079.74,0.016578
160490,TMUS,2015-01-27,30.66,24756079.74,0.0
160491,TMUS,2015-01-28,30.09,24295839.51,-0.018591
160492,TMUS,2015-01-29,29.55,23859822.45,-0.017946
160493,TMUS,2015-01-30,30.18,24368509.02,0.02132
160494,TMUS,2015-02-02,30.34,24497699.26,0.005302
160495,TMUS,2015-02-03,30.89,24941790.71,0.018128
160496,TMUS,2015-02-04,30.75,24828749.25,-0.004532
160497,TMUS,2015-02-05,31.21,25200171.19,0.014959
160498,TMUS,2015-02-06,31.31,25280915.09,0.003204
160499,TMUS,2015-02-09,31.08,25095204.12,-0.007346
160500,TMUS,2015-02-10,31.3,25272840.7,0.007079
160501,TMUS,2015-02-11,31.26,25240543.14,-0.001278
160502,TMUS,2015-02-12,31.59,25506998.01,0.010557
160503,TMUS,2015-02-13,31.75,25636188.25,0.005065
160504,TMUS,2015-02-17,31.76,25655061.04,0.000315
160505,TMUS,2015-02-18,31.0,25041149.0,-0.023929
160506,TMUS,2015-02-19,31.85,25727761.15,0.027419
160507,TMUS,2015-02-20,31.95,25808539.05,0.00314
160508,TMUS,2015-02-23,31.36,25331949.44,-0.018466
160509,TMUS,2015-02-24,31.59,25517738.61,0.007334
160510,TMUS,2015-02-25,32.19,26002406.01,0.018993
160511,TMUS,2015-02-26,32.48,26236661.92,0.009009
160512,TMUS,2015-02-27,33.03,26680940.37,0.016933
160513,TMUS,2015-03-02,32.96,26624395.84,-0.002119
160514,TMUS,2015-03-03,32.76,26462840.04,-0.006068
