Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
162488,TSLA,2015-01-02,219.31,27564635.28,-0.013938
162489,TSLA,2015-01-05,210.09,26405791.92,-0.042041
162490,TSLA,2015-01-06,211.28,26555360.64,0.005664
162491,TSLA,2015-01-07,210.95,26513883.6,-0.001562
162492,TSLA,2015-01-08,210.615,26471778.12,-0.001588
162493,TSLA,2015-01-09,206.66,25974682.08,-0.018778
162494,TSLA,2015-01-12,202.21,25415370.48,-0.021533
162495,TSLA,2015-01-13,204.25,25671774.0,0.010089
162496,TSLA,2015-01-14,192.69,24218820.72,-0.056597
162497,TSLA,2015-01-15,191.87,24115756.56,-0.004256
162498,TSLA,2015-01-16,193.07,24266582.16,0.006254
162499,TSLA,2015-01-20,191.93,24123297.84,-0.005905
162500,TSLA,2015-01-21,196.57,24706490.16,0.024175
162501,TSLA,2015-01-22,201.62,25341214.56,0.025691
162502,TSLA,2015-01-23,201.29,25299737.52,-0.001637
162503,TSLA,2015-01-26,206.55,25960856.4,0.026131
162504,TSLA,2015-01-27,205.98,25889214.24,-0.00276
162505,TSLA,2015-01-28,199.37,25058416.56,-0.03209
162506,TSLA,2015-01-29,205.2,25791177.6,0.029242
162507,TSLA,2015-01-30,203.6,25605346.8,-0.007797
162508,TSLA,2015-02-02,210.94,26528447.22,0.036051
162509,TSLA,2015-02-03,218.36,27461608.68,0.035176
162510,TSLA,2015-02-04,218.55,27485503.65,0.00087
162511,TSLA,2015-02-05,220.99,27792365.37,0.011164
162512,TSLA,2015-02-06,217.36,27335845.68,-0.016426
162513,TSLA,2015-02-09,217.48,27350937.24,0.000552
162514,TSLA,2015-02-10,216.29,27201279.27,-0.005472
162515,TSLA,2015-02-11,212.8,26762366.4,-0.016136
162516,TSLA,2015-02-12,202.88,25514797.44,-0.046617
162517,TSLA,2015-02-13,203.77,25626726.51,0.004387
162518,TSLA,2015-02-17,204.35,25699669.05,0.002846
162519,TSLA,2015-02-18,204.46,25713502.98,0.000538
162520,TSLA,2015-02-19,211.705,26624655.92,0.035435
162521,TSLA,2015-02-20,217.11,27304404.93,0.025531
162522,TSLA,2015-02-23,207.335,26075071.61,-0.045023
162523,TSLA,2015-02-24,204.11,25669485.93,-0.015555
162524,TSLA,2015-02-25,203.76,25625468.88,-0.001715
162525,TSLA,2015-02-26,207.19,26056835.97,0.016834
162526,TSLA,2015-02-27,203.34,25572648.42,-0.018582
162527,TSLA,2015-03-02,197.325,24816183.98,-0.029581
162528,TSLA,2015-03-03,199.56,25097264.28,0.011326
162529,TSLA,2015-03-04,202.435,25458832.91,0.014407
162530,TSLA,2015-03-05,200.63,25231830.69,-0.008916
162531,TSLA,2015-03-06,193.88,24382930.44,-0.033644
162532,TSLA,2015-03-09,190.88,24005641.44,-0.015473
162533,TSLA,2015-03-10,190.32,23935214.16,-0.002934
162534,TSLA,2015-03-11,193.74,24365323.62,0.01797
162535,TSLA,2015-03-12,191.07,24029536.41,-0.013781
162536,TSLA,2015-03-13,188.68,23728962.84,-0.012509
162537,TSLA,2015-03-16,195.7,24611819.1,0.037206
162538,TSLA,2015-03-17,194.73,24489828.99,-0.004957
162539,TSLA,2015-03-18,200.71,25241891.73,0.030709
162540,TSLA,2015-03-19,195.65,24605530.95,-0.025211
162541,TSLA,2015-03-20,198.08,24911135.04,0.01242
162542,TSLA,2015-03-23,199.63,25106067.69,0.007825
162543,TSLA,2015-03-24,201.72,25368912.36,0.010469
162544,TSLA,2015-03-25,194.3,24435750.9,-0.036784
162545,TSLA,2015-03-26,190.405,23945904.02,-0.020046
162546,TSLA,2015-03-27,185.0,23266155.0,-0.028387
162547,TSLA,2015-03-30,190.57,23966654.91,0.030108
162548,TSLA,2015-03-31,188.77,23853354.74,-0.009445
162549,TSLA,2015-04-01,187.59,23704247.58,-0.006251
162550,TSLA,2015-04-02,191.0,24135142.0,0.018178
162551,TSLA,2015-04-06,203.1,25664122.2,0.063351
162552,TSLA,2015-04-07,203.25,25683076.5,0.000739
162553,TSLA,2015-04-08,207.67,26241596.54,0.021747
162554,TSLA,2015-04-09,210.09,26547392.58,0.011653
162555,TSLA,2015-04-10,210.9,26649745.8,0.003855
162556,TSLA,2015-04-13,209.78,26508220.36,-0.005311
162557,TSLA,2015-04-14,207.46,26215060.52,-0.011059
162558,TSLA,2015-04-15,207.83,26261814.46,0.001783
162559,TSLA,2015-04-16,206.7,26119025.4,-0.005437
162560,TSLA,2015-04-17,206.79,26130397.98,0.000435
162561,TSLA,2015-04-20,205.27,25938327.74,-0.00735
162562,TSLA,2015-04-21,209.41,26461466.42,0.020169
162563,TSLA,2015-04-22,219.44,27728877.28,0.047896
162564,TSLA,2015-04-23,218.6,27622733.2,-0.003828
162565,TSLA,2015-04-24,218.425,27600619.85,-0.000801
162566,TSLA,2015-04-27,231.55,29259121.1,0.060089
162567,TSLA,2015-04-28,230.48,29123913.76,-0.004621
162568,TSLA,2015-04-29,232.45,29372846.9,0.008547
162569,TSLA,2015-04-30,226.05,28573624.2,-0.027533
162570,TSLA,2015-05-01,226.03,28571096.12,-8.8e-05
162571,TSLA,2015-05-04,230.51,29137386.04,0.01982
162572,TSLA,2015-05-05,232.95,29445811.8,0.010585
162573,TSLA,2015-05-06,230.43,29127273.72,-0.010818
162574,TSLA,2015-05-07,236.8,29932467.2,0.027644
162575,TSLA,2015-05-08,236.61,29908450.44,-0.000802
162576,TSLA,2015-05-11,239.49,30272493.96,0.012172
162577,TSLA,2015-05-12,244.74,30936114.96,0.021922
162578,TSLA,2015-05-13,243.18,30738924.72,-0.006374
162579,TSLA,2015-05-14,244.1,30855216.4,0.003783
162580,TSLA,2015-05-15,248.84,31454371.36,0.019418
162581,TSLA,2015-05-18,248.75,31442995.0,-0.000362
162582,TSLA,2015-05-19,247.14,31239484.56,-0.006472
162583,TSLA,2015-05-20,244.35,30886817.4,-0.011289
162584,TSLA,2015-05-21,245.62,31047350.48,0.005197
162585,TSLA,2015-05-22,247.73,31314062.92,0.008591
162586,TSLA,2015-05-26,247.455,31279301.82,-0.00111
162587,TSLA,2015-05-27,247.43,31276141.72,-0.000101
162588,TSLA,2015-05-28,251.45,31784285.8,0.016247
162589,TSLA,2015-05-29,250.8,31702123.2,-0.002585
162590,TSLA,2015-06-01,249.45,31531477.8,-0.005383
162591,TSLA,2015-06-02,248.35,31392433.4,-0.00441
162592,TSLA,2015-06-03,248.99,31473331.96,0.002577
162593,TSLA,2015-06-04,245.92,31085271.68,-0.01233
162594,TSLA,2015-06-05,249.14,31492292.56,0.013094
162595,TSLA,2015-06-08,256.29,32396081.16,0.028699
162596,TSLA,2015-06-09,256.0,32359424.0,-0.001132
162597,TSLA,2015-06-10,250.7,31689482.8,-0.020703
162598,TSLA,2015-06-11,251.41,31779229.64,0.002832
162599,TSLA,2015-06-12,250.69,31688218.76,-0.002864
162600,TSLA,2015-06-15,250.38,31649033.52,-0.001237
162601,TSLA,2015-06-16,253.12,31995380.48,0.010943
162602,TSLA,2015-06-17,260.41,32916865.64,0.028801
162603,TSLA,2015-06-18,261.89,33103943.56,0.005683
162604,TSLA,2015-06-19,262.51,33182314.04,0.002367
162605,TSLA,2015-06-22,259.79,32838495.16,-0.010362
162606,TSLA,2015-06-23,267.67,33834558.68,0.030332
162607,TSLA,2015-06-24,265.17,33518548.68,-0.00934
162608,TSLA,2015-06-25,268.79,33976131.16,0.013652
162609,TSLA,2015-06-26,267.09,33761244.36,-0.006325
162610,TSLA,2015-06-29,262.02,33120376.08,-0.018982
162611,TSLA,2015-06-30,268.26,34096114.26,0.023815
162612,TSLA,2015-07-01,269.15,34209234.15,0.003318
162613,TSLA,2015-07-02,280.02,35590822.02,0.040386
162614,TSLA,2015-07-06,279.72,35552691.72,-0.001071
162615,TSLA,2015-07-07,267.88,34047815.88,-0.042328
162616,TSLA,2015-07-08,254.96,32405670.96,-0.048231
162617,TSLA,2015-07-09,257.92,32781889.92,0.01161
162618,TSLA,2015-07-10,259.15,32938224.15,0.004769
162619,TSLA,2015-07-13,262.16,33320798.16,0.011615
162620,TSLA,2015-07-14,265.65,33764380.65,0.013312
162621,TSLA,2015-07-15,263.14,33445357.14,-0.009449
162622,TSLA,2015-07-16,266.68,33895294.68,0.013453
162623,TSLA,2015-07-17,274.66,34909560.66,0.029924
162624,TSLA,2015-07-20,282.26,35875528.26,0.027671
162625,TSLA,2015-07-21,266.77,33906733.77,-0.054878
162626,TSLA,2015-07-22,267.87,34046544.87,0.004123
162627,TSLA,2015-07-23,267.2,33961387.2,-0.002501
162628,TSLA,2015-07-24,265.41,33733876.41,-0.006699
162629,TSLA,2015-07-27,253.01,32157824.01,-0.04672
162630,TSLA,2015-07-28,264.82,33658886.82,0.046678
162631,TSLA,2015-07-29,263.82,33531785.82,-0.003776
162632,TSLA,2015-07-30,266.79,33920214.18,0.011258
162633,TSLA,2015-07-31,266.15,33838843.3,-0.002399
162634,TSLA,2015-08-03,259.99,33055648.58,-0.023145
162635,TSLA,2015-08-04,266.28,33855371.76,0.024193
162636,TSLA,2015-08-05,270.13,34344868.46,0.014458
162637,TSLA,2015-08-06,246.13,31293460.46,-0.088846
162638,TSLA,2015-08-07,242.51,30833206.42,-0.014708
162639,TSLA,2015-08-10,241.14,30659021.88,-0.005649
162640,TSLA,2015-08-11,237.37,30179696.54,-0.015634
162641,TSLA,2015-08-12,238.17,30281410.14,0.00337
162642,TSLA,2015-08-13,242.51,30833206.42,0.018222
162643,TSLA,2015-08-14,243.15,31569866.55,0.002639
162644,TSLA,2015-08-17,254.99,33107136.63,0.048694
