Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
164502,TXN,2015-01-02,53.48,55973611.96,0.000281
164503,TXN,2015-01-05,52.645,55099678.42,-0.015613
164504,TXN,2015-01-06,51.78,54194346.06,-0.016431
164505,TXN,2015-01-07,52.71,55167709.17,0.017961
164506,TXN,2015-01-08,53.57,56067808.39,0.016316
164507,TXN,2015-01-09,53.6,56099207.2,0.00056
164508,TXN,2015-01-12,53.12,55596826.24,-0.008955
164509,TXN,2015-01-13,52.79,55251439.33,-0.006212
164510,TXN,2015-01-14,52.71,55167709.17,-0.001515
164511,TXN,2015-01-15,52.385,54827555.4,-0.006166
164512,TXN,2015-01-16,53.285,55769519.7,0.01718
164513,TXN,2015-01-20,53.805,56313765.74,0.009759
164514,TXN,2015-01-21,54.28,56810913.56,0.008828
164515,TXN,2015-01-22,54.97,57533086.19,0.012712
164516,TXN,2015-01-23,55.06,57627282.62,0.001637
164517,TXN,2015-01-26,55.05,57616816.35,-0.000182
164518,TXN,2015-01-27,54.83,57386558.41,-0.003996
164519,TXN,2015-01-28,53.935,56449827.25,-0.010122
164520,TXN,2015-01-29,54.67,57219098.09,0.013628
164521,TXN,2015-01-30,53.45,55942213.15,-0.022316
164522,TXN,2015-02-02,53.49,55984078.23,0.000748
164523,TXN,2015-02-03,54.44,56978373.88,0.01776
164524,TXN,2015-02-04,54.615,57161533.61,0.003215
164525,TXN,2015-02-05,55.31,57888939.37,0.012725
164526,TXN,2015-02-06,54.36,56894643.72,-0.017176
164527,TXN,2015-02-09,54.27,56800447.29,-0.001656
164528,TXN,2015-02-10,55.82,58422719.14,0.028561
164529,TXN,2015-02-11,56.0,58611112.0,0.003225
164530,TXN,2015-02-12,57.44,60118254.88,0.025714
164531,TXN,2015-02-13,57.965,60667734.06,0.00914
164532,TXN,2015-02-17,58.2,60913691.4,0.004054
164533,TXN,2015-02-18,57.94,60641568.38,-0.004467
164534,TXN,2015-02-19,58.04,60746231.08,0.001726
164535,TXN,2015-02-20,58.52,61248612.04,0.00827
164536,TXN,2015-02-23,58.27,60986955.29,-0.004272
164537,TXN,2015-02-24,58.96,61709127.92,0.011841
164538,TXN,2015-02-25,59.1,61855655.7,0.002374
164539,TXN,2015-02-26,59.42,62190576.34,0.005415
164540,TXN,2015-02-27,58.8,61541667.6,-0.010434
164541,TXN,2015-03-02,59.94,62734822.38,0.019388
164542,TXN,2015-03-03,58.57,61300943.39,-0.022856
164543,TXN,2015-03-04,58.32,61039286.64,-0.004268
164544,TXN,2015-03-05,58.34,61060219.18,0.000343
164545,TXN,2015-03-06,57.64,60327580.28,-0.011999
164546,TXN,2015-03-09,58.42,61143949.34,0.013532
164547,TXN,2015-03-10,57.1,59762401.7,-0.022595
164548,TXN,2015-03-11,57.17,59835665.59,0.001226
164549,TXN,2015-03-12,57.22,59887996.94,0.000875
164550,TXN,2015-03-13,57.115,59778101.11,-0.001835
164551,TXN,2015-03-16,58.33,61049752.91,0.021273
164552,TXN,2015-03-17,57.97,60672967.19,-0.006172
164553,TXN,2015-03-18,58.3,61018354.1,0.005693
164554,TXN,2015-03-19,58.525,61253845.18,0.003859
164555,TXN,2015-03-20,59.28,62044048.56,0.0129
164556,TXN,2015-03-23,58.66,61395139.82,-0.010459
164557,TXN,2015-03-24,58.44,61164881.88,-0.00375
164558,TXN,2015-03-25,55.73,58328522.71,-0.046372
164559,TXN,2015-03-26,55.8,58401786.6,0.001256
164560,TXN,2015-03-27,56.76,59406548.52,0.017204
164561,TXN,2015-03-30,58.0,60704366.0,0.021846
164562,TXN,2015-03-31,57.185,59724814.59,-0.014052
164563,TXN,2015-04-01,56.535,59045945.49,-0.011367
164564,TXN,2015-04-02,56.72,59239162.08,0.003272
164565,TXN,2015-04-06,56.81,59333159.34,0.001587
164566,TXN,2015-04-07,56.94,59468933.16,0.002288
164567,TXN,2015-04-08,56.97,59500265.58,0.000527
164568,TXN,2015-04-09,57.78,60346240.92,0.014218
164569,TXN,2015-04-10,57.7,60262687.8,-0.001385
164570,TXN,2015-04-13,57.205,59745702.87,-0.008579
164571,TXN,2015-04-14,56.75,59270494.5,-0.007954
164572,TXN,2015-04-15,58.5,61098219.0,0.030837
164573,TXN,2015-04-16,58.41,61004221.74,-0.001538
164574,TXN,2015-04-17,57.33,59876254.62,-0.01849
164575,TXN,2015-04-20,58.17,60753562.38,0.014652
164576,TXN,2015-04-21,58.16,60743118.24,-0.000172
164577,TXN,2015-04-22,58.73,61338434.22,0.009801
164578,TXN,2015-04-23,54.72,57150334.08,-0.068279
164579,TXN,2015-04-24,54.73,57160778.22,0.000183
164580,TXN,2015-04-27,55.56,58027641.84,0.015165
164581,TXN,2015-04-28,55.09,57536767.26,-0.00234
164582,TXN,2015-04-29,55.02,57240772.26,-0.001271
164583,TXN,2015-04-30,54.21,56398078.23,-0.014722
164584,TXN,2015-05-01,55.31,57542477.53,0.020291
164585,TXN,2015-05-04,55.295,57526872.09,-0.000271
164586,TXN,2015-05-05,54.01,56190005.63,-0.023239
164587,TXN,2015-05-06,53.7,55867493.1,-0.00574
164588,TXN,2015-05-07,54.06,56242023.78,0.006704
164589,TXN,2015-05-08,54.7,56907856.1,0.011839
164590,TXN,2015-05-11,54.44,56637361.72,-0.004753
164591,TXN,2015-05-12,54.165,56351261.9,-0.005051
164592,TXN,2015-05-13,54.69,56897452.47,0.009693
164593,TXN,2015-05-14,55.605,57849384.62,0.016731
164594,TXN,2015-05-15,55.61,57854586.43,9e-05
164595,TXN,2015-05-18,55.79,58041851.77,0.003237
164596,TXN,2015-05-19,55.78,58031448.14,-0.000179
164597,TXN,2015-05-20,55.63,57875393.69,-0.002689
164598,TXN,2015-05-21,55.5,57740146.5,-0.002337
164599,TXN,2015-05-22,55.365,57599697.5,-0.002432
164600,TXN,2015-05-26,54.56,56762205.28,-0.01454
164601,TXN,2015-05-27,55.97,58229117.11,0.025843
164602,TXN,2015-05-28,55.91,58166695.33,-0.001072
164603,TXN,2015-05-29,55.92,58177098.96,0.000179
164604,TXN,2015-06-01,55.71,57958622.73,-0.003755
164605,TXN,2015-06-02,55.25,57480055.75,-0.008257
164606,TXN,2015-06-03,54.885,57100323.26,-0.006606
164607,TXN,2015-06-04,53.98,56158794.74,-0.016489
164608,TXN,2015-06-05,53.785,55955923.96,-0.003612
164609,TXN,2015-06-08,52.82,54951973.66,-0.017942
164610,TXN,2015-06-09,52.915,55050808.15,0.001799
164611,TXN,2015-06-10,54.19,56377270.97,0.024095
164612,TXN,2015-06-11,53.64,55805071.32,-0.010149
164613,TXN,2015-06-12,53.01,55149642.63,-0.011745
164614,TXN,2015-06-15,53.045,55186055.34,0.00066
164615,TXN,2015-06-16,53.09,55232871.67,0.000848
164616,TXN,2015-06-17,53.29,55440944.27,0.003767
164617,TXN,2015-06-18,54.22,56408481.86,0.017452
164618,TXN,2015-06-19,54.51,56710187.13,0.005349
164619,TXN,2015-06-22,55.5,57740146.5,0.018162
164620,TXN,2015-06-23,54.83,57043103.29,-0.012072
164621,TXN,2015-06-24,53.99,56169198.37,-0.01532
164622,TXN,2015-06-25,53.795,55966327.59,-0.003612
164623,TXN,2015-06-26,52.9,55035202.7,-0.016637
164624,TXN,2015-06-29,51.52,53599501.76,-0.026087
164625,TXN,2015-06-30,51.51,53266594.02,-0.000194
164626,TXN,2015-07-01,51.91,53680234.82,0.007765
164627,TXN,2015-07-02,51.97,53742280.94,0.001156
164628,TXN,2015-07-06,51.39,53142501.78,-0.01116
164629,TXN,2015-07-07,51.21,52956363.42,-0.003503
164630,TXN,2015-07-08,49.53,51219072.06,-0.032806
164631,TXN,2015-07-09,48.11,49750647.22,-0.028669
164632,TXN,2015-07-10,49.01,50681339.02,0.018707
164633,TXN,2015-07-13,49.33,51012251.66,0.006529
164634,TXN,2015-07-14,49.76,51456915.52,0.008717
164635,TXN,2015-07-15,49.49,51177707.98,-0.005426
164636,TXN,2015-07-16,49.36,51043274.72,-0.002627
164637,TXN,2015-07-17,49.36,51043274.72,0.0
164638,TXN,2015-07-20,50.09,51798169.18,0.014789
164639,TXN,2015-07-21,50.23,51942943.46,0.002795
164640,TXN,2015-07-22,49.3,50981228.6,-0.018515
164641,TXN,2015-07-23,50.51,52232492.02,0.024544
164642,TXN,2015-07-24,49.03,50702021.06,-0.029301
164643,TXN,2015-07-27,49.03,50323705.58,0.0
164644,TXN,2015-07-28,50.08,51401410.88,0.021415
164645,TXN,2015-07-29,49.96,51278244.56,0.004393
164646,TXN,2015-07-30,50.24,51565632.64,0.005604
164647,TXN,2015-07-31,49.98,51298772.28,-0.005175
164648,TXN,2015-08-03,50.09,51411674.74,0.002201
164649,TXN,2015-08-04,49.84,51155078.24,-0.004991
164650,TXN,2015-08-05,50.855,52196860.03,0.020365
164651,TXN,2015-08-06,50.25,51575896.5,-0.011897
164652,TXN,2015-08-07,50.32,51647743.52,0.001393
164653,TXN,2015-08-10,52.08,53454182.88,0.034976
164654,TXN,2015-08-11,50.64,51976187.04,-0.02765
164655,TXN,2015-08-12,51.11,52458588.46,0.009281
164656,TXN,2015-08-13,50.63,51965923.18,-0.009392
164657,TXN,2015-08-14,50.64,51976187.04,0.000198
164658,TXN,2015-08-17,50.9,52243047.4,0.005134
164659,TXN,2015-08-18,49.91,51226925.26,-0.01945
164660,TXN,2015-08-19,49.2,50498191.2,-0.014226
164661,TXN,2015-08-20,47.43,48681487.98,-0.035976
164662,TXN,2015-08-21,45.96,47172700.56,-0.030993
164663,TXN,2015-08-24,44.89,46074467.54,-0.023281
164664,TXN,2015-08-25,43.52,44668318.72,-0.030519
164665,TXN,2015-08-26,45.41,46608188.26,0.043428
164666,TXN,2015-08-27,47.06,48301725.16,0.036336
164667,TXN,2015-08-28,47.99,49256264.14,0.019762
164668,TXN,2015-08-31,47.84,49102306.24,-0.003126
164669,TXN,2015-09-01,46.34,47562727.24,-0.031355
164670,TXN,2015-09-02,47.35,48599377.1,0.021795
164671,TXN,2015-09-03,47.46,48712279.56,0.002323
164672,TXN,2015-09-04,46.53,47757740.58,-0.019595
164673,TXN,2015-09-08,48.69,49974734.34,0.046422
164674,TXN,2015-09-09,47.61,48866237.46,-0.022181
164675,TXN,2015-09-10,47.41,48660960.26,-0.004201
164676,TXN,2015-09-11,47.57,48825182.02,0.003375
164677,TXN,2015-09-14,47.83,49092042.38,0.005466
164678,TXN,2015-09-15,48.3,49574443.8,0.009826
164679,TXN,2015-09-16,48.7,49984998.2,0.008282
164680,TXN,2015-09-17,48.15,49420485.9,-0.011294
164681,TXN,2015-09-18,47.8,49061250.8,-0.007269
164682,TXN,2015-09-21,47.45,48702015.7,-0.007322
164683,TXN,2015-09-22,46.61,47839851.46,-0.017703
164684,TXN,2015-09-23,46.58,47809059.88,-0.000644
164685,TXN,2015-09-24,46.75,47983545.5,0.00365
164686,TXN,2015-09-25,47.17,48414627.62,0.008984
164687,TXN,2015-09-28,46.95,48188822.7,-0.004664
164688,TXN,2015-09-29,47.53,48784126.58,0.012354
164689,TXN,2015-09-30,49.52,50492077.6,0.041868
164690,TXN,2015-10-01,48.44,49390877.2,-0.021809
164691,TXN,2015-10-02,48.77,49727355.1,0.006813
164692,TXN,2015-10-05,50.13,51114051.9,0.027886
164693,TXN,2015-10-06,50.46,51450529.8,0.006583
164694,TXN,2015-10-07,51.04,52041915.2,0.011494
164695,TXN,2015-10-08,51.52,52531337.6,0.009404
164696,TXN,2015-10-09,50.87,51868578.1,-0.012616
164697,TXN,2015-10-12,51.34,52347804.2,0.009239
164698,TXN,2015-10-13,50.91,51909363.3,-0.008376
164699,TXN,2015-10-14,52.65,53683519.5,0.034178
164700,TXN,2015-10-15,52.43,53459200.9,-0.004179
164701,TXN,2015-10-16,52.57,53601949.1,0.00267
164702,TXN,2015-10-19,52.64,53673323.2,0.001332
164703,TXN,2015-10-20,52.43,53459200.9,-0.003989
164704,TXN,2015-10-21,51.9,52918797.0,-0.010109
164705,TXN,2015-10-22,58.09,59230306.7,0.119268
164706,TXN,2015-10-23,58.98,60137777.4,0.015321
164707,TXN,2015-10-26,58.81,59964440.3,-0.002882
164708,TXN,2015-10-27,58.42,59566784.6,-0.006632
164709,TXN,2015-10-28,58.67,59515552.04,0.010784
164710,TXN,2015-10-29,56.57,57385286.84,-0.035793
164711,TXN,2015-10-30,56.72,57537448.64,0.002652
164712,TXN,2015-11-02,56.99,57811339.88,0.00476
164713,TXN,2015-11-03,57.15,57973645.8,0.002808
164714,TXN,2015-11-04,56.95,57770763.4,-0.0035
164715,TXN,2015-11-05,57.4,58227248.8,0.007902
164716,TXN,2015-11-06,57.63,58460563.56,0.004007
164717,TXN,2015-11-09,57.21,58034510.52,-0.007288
164718,TXN,2015-11-10,57.03,57851916.36,-0.003146
164719,TXN,2015-11-11,57.6,58430131.2,0.009995
164720,TXN,2015-11-12,56.67,57486728.04,-0.016146
164721,TXN,2015-11-13,56.13,56938945.56,-0.009529
164722,TXN,2015-11-16,56.875,57694682.5,0.013273
164723,TXN,2015-11-17,57.07,57892492.84,0.003429
164724,TXN,2015-11-18,57.96,58795319.52,0.015595
164725,TXN,2015-11-19,57.95,58785175.4,-0.000173
164726,TXN,2015-11-20,58.12,58957625.44,0.002934
164727,TXN,2015-11-23,57.35,58176528.2,-0.013248
164728,TXN,2015-11-24,57.85,58683734.2,0.008718
164729,TXN,2015-11-25,57.27,58095375.24,-0.010026
164730,TXN,2015-11-27,57.55,58379410.6,0.004889
164731,TXN,2015-11-30,58.12,58957625.44,0.009904
164732,TXN,2015-12-01,58.31,59150363.72,0.003269
164733,TXN,2015-12-02,57.55,58379410.6,-0.013034
164734,TXN,2015-12-03,57.69,58521428.28,0.002433
164735,TXN,2015-12-04,58.88,59728578.56,0.020627
164736,TXN,2015-12-07,58.35,59190940.2,-0.009001
164737,TXN,2015-12-08,57.67,58501140.04,-0.011654
164738,TXN,2015-12-09,56.76,57578025.12,-0.015779
164739,TXN,2015-12-10,56.93,57750475.16,0.002995
164740,TXN,2015-12-11,56.21,57020098.52,-0.012647
164741,TXN,2015-12-14,56.22,57030242.64,0.000178
164742,TXN,2015-12-15,57.55,58379410.6,0.023657
164743,TXN,2015-12-16,58.07,58906904.84,0.009036
164744,TXN,2015-12-17,56.53,57344710.36,-0.02652
164745,TXN,2015-12-18,54.94,55731795.28,-0.028127
164746,TXN,2015-12-21,55.82,56624477.84,0.016017
164747,TXN,2015-12-22,55.61,56411451.32,-0.003762
164748,TXN,2015-12-23,56.7,57517160.4,0.019601
164749,TXN,2015-12-24,56.75,57567881.0,0.000882
164750,TXN,2015-12-28,56.42,57233125.04,-0.005815
164751,TXN,2015-12-29,57.02,57841772.24,0.010635
164752,TXN,2015-12-30,56.16,56969377.92,-0.015082
164753,TXN,2015-12-31,54.81,55427599.08,-0.024038
164754,TXN,2016-01-04,54.34,54952303.12,-0.008575
164755,TXN,2016-01-05,53.77,54375880.36,-0.01049
164756,TXN,2016-01-06,53.42,54021936.56,-0.006509
164757,TXN,2016-01-07,51.7,52282555.6,-0.032198
164758,TXN,2016-01-08,50.36,50927456.48,-0.025919
164759,TXN,2016-01-11,51.21,51787034.28,0.016878
164760,TXN,2016-01-12,51.53,52110640.04,0.006249
164761,TXN,2016-01-13,49.82,50381371.76,-0.033185
164762,TXN,2016-01-14,50.03,50593738.04,0.004215
164763,TXN,2016-01-15,48.03,48571202.04,-0.039976
164764,TXN,2016-01-19,48.22,48763342.96,0.003956
164765,TXN,2016-01-20,49.01,49562244.68,0.016383
164766,TXN,2016-01-21,49.83,50391484.44,0.016731
164767,TXN,2016-01-22,50.3,50866780.4,0.009432
164768,TXN,2016-01-25,50.08,50644301.44,-0.004374
164769,TXN,2016-01-26,50.7,51271287.6,0.01238
164770,TXN,2016-01-27,50.67,51240949.56,-0.000592
164771,TXN,2016-01-28,51.13,51706132.84,0.016578
164772,TXN,2016-01-29,52.93,53526415.24,0.035204
164773,TXN,2016-02-01,52.83,53425288.44,-0.001889
164774,TXN,2016-02-02,50.64,51210611.52,-0.041454
164775,TXN,2016-02-03,50.25,50816217.0,-0.007701
164776,TXN,2016-02-04,51.26,51837597.68,0.0201
164777,TXN,2016-02-05,49.88,50442047.84,-0.026922
164778,TXN,2016-02-08,50.9,51473541.2,0.020449
164779,TXN,2016-02-09,50.68,51251062.24,-0.004322
164780,TXN,2016-02-10,50.75,51321851.0,0.001381
164781,TXN,2016-02-11,50.38,50947681.84,-0.007291
164782,TXN,2016-02-12,51.14,51716245.52,0.015085
164783,TXN,2016-02-16,52.54,53132020.72,0.027376
164784,TXN,2016-02-17,53.69,54294978.92,0.021888
164785,TXN,2016-02-18,53.06,53657880.08,-0.011734
164786,TXN,2016-02-19,52.76,53354499.68,-0.005654
164787,TXN,2016-02-22,53.3,53580251.4,0.010235
164788,TXN,2016-02-23,52.24,52514677.92,-0.019887
164789,TXN,2016-02-24,52.46,52735834.68,0.004211
164790,TXN,2016-02-25,53.11,53389252.38,0.01239
164791,TXN,2016-02-26,53.3,53580251.4,0.003577
164792,TXN,2016-02-29,53.02,53298779.16,-0.005253
164793,TXN,2016-03-01,54.22,54505088.76,0.022633
164794,TXN,2016-03-02,54.42,54706140.36,0.003689
164795,TXN,2016-03-03,54.87,55158506.46,0.008269
164796,TXN,2016-03-04,54.89,55178611.62,0.000364
164797,TXN,2016-03-07,55.49,55781766.42,0.010931
164798,TXN,2016-03-08,54.53,54816718.74,-0.0173
164799,TXN,2016-03-09,54.75,55037875.5,0.004034
164800,TXN,2016-03-10,55.49,55781766.42,0.013516
164801,TXN,2016-03-11,56.06,56354763.48,0.010272
164802,TXN,2016-03-14,55.61,55902397.38,-0.008027
164803,TXN,2016-03-15,55.73,56023028.34,0.002158
164804,TXN,2016-03-16,56.14,56435184.12,0.007357
164805,TXN,2016-03-17,56.6,56897602.8,0.008194
164806,TXN,2016-03-18,57.09,57390179.22,0.008657
164807,TXN,2016-03-21,57.02,57319811.16,-0.001226
164808,TXN,2016-03-22,56.9,57199180.2,-0.002105
164809,TXN,2016-03-23,56.6,56897602.8,-0.005272
164810,TXN,2016-03-24,56.7,56998128.6,0.001767
164811,TXN,2016-03-28,56.52,56817182.16,-0.003175
164812,TXN,2016-03-29,57.41,57711861.78,0.015747
164813,TXN,2016-03-30,58.37,58676909.46,0.016722
164814,TXN,2016-03-31,57.42,57797364.24,-0.016275
164815,TXN,2016-04-01,57.94,58320781.68,0.009056
164816,TXN,2016-04-04,57.72,58099335.84,-0.003797
164817,TXN,2016-04-05,57.71,58089270.12,-0.000173
164818,TXN,2016-04-06,58.36,58743541.92,0.011263
164819,TXN,2016-04-07,57.15,57525589.8,-0.020733
164820,TXN,2016-04-08,57.89,58270453.08,0.012948
164821,TXN,2016-04-11,57.82,58199993.04,-0.001209
164822,TXN,2016-04-12,58.44,58824067.68,0.010723
164823,TXN,2016-04-13,59.17,59558865.24,0.012491
164824,TXN,2016-04-14,59.22,59609193.84,0.000845
164825,TXN,2016-04-15,58.93,59317287.96,-0.004897
164826,TXN,2016-04-18,58.95,59337419.4,0.000339
164827,TXN,2016-04-19,58.42,58803936.24,-0.008991
164828,TXN,2016-04-20,59.05,59438076.6,0.010784
164829,TXN,2016-04-21,58.86,59246827.92,-0.003218
164830,TXN,2016-04-22,58.68,59065644.96,-0.003058
164831,TXN,2016-04-25,59.02,59407879.44,0.005794
164832,TXN,2016-04-26,59.4,59790376.8,0.006438
164833,TXN,2016-04-27,59.92,60173281.84,0.008754
164834,TXN,2016-04-28,58.69,58938082.63,-0.014186
164835,TXN,2016-04-29,57.04,57281108.08,-0.028114
164836,TXN,2016-05-02,57.85,58094531.95,0.014201
164837,TXN,2016-05-03,57.2,57441784.4,-0.011236
164838,TXN,2016-05-04,56.43,56668529.61,-0.013462
164839,TXN,2016-05-05,56.64,56879417.28,0.003721
164840,TXN,2016-05-06,57.2,57441784.4,0.009887
164841,TXN,2016-05-09,56.91,57150558.57,-0.00507
164842,TXN,2016-05-10,57.63,57873602.01,0.012652
164843,TXN,2016-05-11,57.63,57873602.01,0.0
164844,TXN,2016-05-12,57.16,57401615.32,-0.008155
164845,TXN,2016-05-13,57.12,57361446.24,-0.0007
164846,TXN,2016-05-16,58.02,58265250.54,0.015756
164847,TXN,2016-05-17,57.43,57672756.61,-0.010169
164848,TXN,2016-05-18,58.01,58255208.27,0.010099
164849,TXN,2016-05-19,57.23,57471911.21,-0.013446
164850,TXN,2016-05-20,58.53,58777406.31,0.022715
164851,TXN,2016-05-23,58.73,58978251.71,0.003417
164852,TXN,2016-05-24,60.09,60344000.43,0.023157
164853,TXN,2016-05-25,60.44,60695479.88,0.005825
164854,TXN,2016-05-26,60.77,61026874.79,0.00546
164855,TXN,2016-05-27,61.02,61277931.54,0.004114
164856,TXN,2016-05-31,60.6,60856156.2,-0.006883
164857,TXN,2016-06-01,61.07,61328142.89,0.007756
164858,TXN,2016-06-02,60.76,61016832.52,-0.005076
164859,TXN,2016-06-03,60.53,60785860.31,-0.003785
164860,TXN,2016-06-06,61.29,61549072.83,0.012556
164861,TXN,2016-06-07,61.56,61820214.12,0.004405
164862,TXN,2016-06-08,62.08,62342412.16,0.008447
164863,TXN,2016-06-09,62.14,62402665.78,0.000966
164864,TXN,2016-06-10,61.91,62171693.57,-0.003701
164865,TXN,2016-06-13,61.53,61790087.31,-0.006138
164866,TXN,2016-06-14,61.9,62161651.3,0.006013
164867,TXN,2016-06-15,61.69,61950763.63,-0.003393
164868,TXN,2016-06-16,62.06,62322327.62,0.005998
164869,TXN,2016-06-17,61.62,61880467.74,-0.00709
164870,TXN,2016-06-20,62.01,62272116.27,0.006329
164871,TXN,2016-06-21,62.04,62302243.08,0.000484
164872,TXN,2016-06-22,62.06,62322327.62,0.000322
