Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
154432,T,2015-01-02,33.87,175683690.0,0.008336
154433,T,2015-01-05,33.55,174023850.0,-0.009448
154434,T,2015-01-06,33.6,174283200.0,0.00149
154435,T,2015-01-07,33.17,172052790.0,0.00119
154436,T,2015-01-08,33.5,173764500.0,0.009949
154437,T,2015-01-09,33.4,173245800.0,-0.002985
154438,T,2015-01-12,33.49,173712630.0,0.002695
154439,T,2015-01-13,33.49,173712630.0,0.0
154440,T,2015-01-14,33.33,172882710.0,-0.004778
154441,T,2015-01-15,33.26,172519620.0,-0.0021
154442,T,2015-01-16,33.8,175320600.0,0.016236
154443,T,2015-01-20,33.95,176098650.0,0.004438
154444,T,2015-01-21,34.0,176358000.0,0.001473
154445,T,2015-01-22,33.79,175268730.0,-0.006176
154446,T,2015-01-23,33.37,173090190.0,-0.01243
154447,T,2015-01-26,33.18,172104660.0,-0.005694
154448,T,2015-01-27,32.81,170185470.0,-0.011151
154449,T,2015-01-28,32.68,169511160.0,-0.003962
154450,T,2015-01-29,32.96,170963520.0,0.008568
154451,T,2015-01-30,32.92,170756040.0,-0.001214
154452,T,2015-02-02,33.56,174075720.0,0.019441
154453,T,2015-02-03,34.34,178121580.0,0.023242
154454,T,2015-02-04,34.41,178484670.0,0.002038
154455,T,2015-02-05,34.54,179158980.0,0.003778
154456,T,2015-02-06,34.87,180870690.0,0.009554
154457,T,2015-02-09,34.64,179677680.0,-0.006596
154458,T,2015-02-10,34.85,180766950.0,0.006062
154459,T,2015-02-11,34.39,178380930.0,-0.013199
154460,T,2015-02-12,34.61,179522070.0,0.006397
154461,T,2015-02-13,34.66,179781420.0,0.001445
154462,T,2015-02-17,34.71,180040770.0,0.001443
154463,T,2015-02-18,34.49,178899630.0,-0.006338
154464,T,2015-02-19,34.09,176824830.0,-0.011598
154465,T,2015-02-20,34.08,176772960.0,-0.000293
154466,T,2015-02-23,33.85,175579950.0,-0.006749
154467,T,2015-02-24,34.05,176617350.0,0.005908
154468,T,2015-02-25,34.21,177447270.0,0.004699
154469,T,2015-02-26,34.5,178951500.0,0.008477
154470,T,2015-02-27,34.56,179372206.08,0.001739
154471,T,2015-03-02,34.64,179787419.52,0.002315
154472,T,2015-03-03,34.41,178593680.88,-0.00664
154473,T,2015-03-04,34.0,176465712.0,-0.011915
154474,T,2015-03-05,34.0,176465712.0,0.0
154475,T,2015-03-06,33.48,173766824.64,-0.015294
154476,T,2015-03-09,33.35,173092102.8,-0.003883
154477,T,2015-03-10,32.78,170133707.04,-0.017091
154478,T,2015-03-11,32.62,169303280.16,-0.004881
154479,T,2015-03-12,33.13,171950265.84,0.015635
154480,T,2015-03-13,32.76,170029903.68,-0.011168
154481,T,2015-03-16,33.06,171586954.08,0.009158
154482,T,2015-03-17,32.9,170756527.2,-0.00484
154483,T,2015-03-18,33.59,174337743.12,0.020973
154484,T,2015-03-19,33.2,172313577.6,-0.011611
154485,T,2015-03-20,33.23,172469282.64,0.000904
154486,T,2015-03-23,33.28,172728791.04,0.001505
