Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
166516,UNH,2015-01-02,100.78,96727736.98,-0.003067
166517,UNH,2015-01-05,99.12,95134483.92,-0.016472
166518,UNH,2015-01-06,98.92,94942525.72,-0.002018
166519,UNH,2015-01-07,99.93,95911914.63,0.01021
166520,UNH,2015-01-08,104.7,100490117.7,0.047733
166521,UNH,2015-01-09,103.72,99549522.52,-0.00936
166522,UNH,2015-01-12,102.55,98426567.05,-0.01128
166523,UNH,2015-01-13,103.07,98925658.37,0.005071
166524,UNH,2015-01-14,103.33,99175204.03,0.002523
166525,UNH,2015-01-15,104.46,100259767.86,0.010936
166526,UNH,2015-01-16,105.77,101517094.07,0.012541
166527,UNH,2015-01-20,105.62,101373125.42,-0.001418
166528,UNH,2015-01-21,109.32,104924352.12,0.035031
166529,UNH,2015-01-22,113.85,109272205.35,0.041438
166530,UNH,2015-01-23,112.0,107496592.0,-0.016249
166531,UNH,2015-01-26,111.61,107122273.51,-0.003482
166532,UNH,2015-01-27,110.01,105586607.91,-0.014336
166533,UNH,2015-01-28,108.46,104098931.86,-0.01409
166534,UNH,2015-01-29,109.39,104991537.49,0.008575
166535,UNH,2015-01-30,106.25,101977793.75,-0.028705
166536,UNH,2015-02-02,107.29,102975976.39,0.009788
166537,UNH,2015-02-03,107.81,103475067.71,0.004847
166538,UNH,2015-02-04,107.92,103580644.72,0.00102
166539,UNH,2015-02-05,108.82,104444456.62,0.00834
166540,UNH,2015-02-06,107.6,103273511.6,-0.011211
166541,UNH,2015-02-09,106.49,102208143.59,-0.010316
166542,UNH,2015-02-10,108.97,104588425.27,0.023289
166543,UNH,2015-02-11,109.85,105433041.35,0.008076
166544,UNH,2015-02-12,109.84,105423443.44,-9.1e-05
166545,UNH,2015-02-13,109.44,105039527.04,-0.003642
166546,UNH,2015-02-17,109.76,105346660.16,0.002924
166547,UNH,2015-02-18,109.77,105356258.07,9.1e-05
166548,UNH,2015-02-19,110.03,105605803.73,0.002369
166549,UNH,2015-02-20,112.62,108091662.42,0.023539
166550,UNH,2015-02-23,116.4,111719672.4,0.033564
166551,UNH,2015-02-24,115.43,110788675.13,-0.008333
166552,UNH,2015-02-25,114.05,109464163.55,-0.011955
166553,UNH,2015-02-26,113.66,109089845.06,-0.00342
166554,UNH,2015-02-27,113.63,108368362.85,-0.000264
166555,UNH,2015-03-02,114.4,109102708.0,0.006776
166556,UNH,2015-03-03,112.86,107634017.7,-0.013462
166557,UNH,2015-03-04,113.82,108549564.9,0.008506
166558,UNH,2015-03-05,114.79,109474649.05,0.008522
166559,UNH,2015-03-06,112.88,107653091.6,-0.016639
166560,UNH,2015-03-09,114.9,109579555.5,0.017895
166561,UNH,2015-03-10,112.46,107252539.7,-0.021236
166562,UNH,2015-03-11,112.72,107500500.4,0.005646
166563,UNH,2015-03-12,114.88,109560481.6,0.019163
166564,UNH,2015-03-13,115.25,109913348.75,0.003221
166565,UNH,2015-03-16,118.52,113031931.4,0.028373
166566,UNH,2015-03-17,117.6,112154532.0,-0.007762
166567,UNH,2015-03-18,119.96,114405252.2,0.020068
166568,UNH,2015-03-19,120.76,115168208.2,0.006669
166569,UNH,2015-03-20,119.14,113623222.3,-0.013415
166570,UNH,2015-03-23,119.04,113527852.8,-0.000839
166571,UNH,2015-03-24,118.12,112650453.4,-0.007728
166572,UNH,2015-03-25,116.54,111143615.3,-0.013376
166573,UNH,2015-03-26,116.25,110867043.75,-0.002488
166574,UNH,2015-03-27,118.01,112545546.95,0.01514
166575,UNH,2015-03-30,121.0,115397095.0,0.025337
166576,UNH,2015-03-31,118.29,112812581.55,-0.022397
166577,UNH,2015-04-01,117.45,112011477.75,-0.007101
166578,UNH,2015-04-02,117.36,111925645.2,-0.000766
166579,UNH,2015-04-06,117.7,112249901.5,0.002897
166580,UNH,2015-04-07,117.35,111916108.25,-0.002974
166581,UNH,2015-04-08,118.19,112717212.05,0.007158
166582,UNH,2015-04-09,118.55,113060542.25,0.003046
166583,UNH,2015-04-10,119.0,113489705.0,0.003796
166584,UNH,2015-04-13,119.37,113842572.15,0.003109
166585,UNH,2015-04-14,119.92,114367104.4,0.004608
166586,UNH,2015-04-15,117.32,111887497.4,-0.021681
166587,UNH,2015-04-16,121.6,115969312.0,0.036481
166588,UNH,2015-04-17,118.71,113213133.45,-0.023766
166589,UNH,2015-04-20,118.58,113089153.1,-0.001095
166590,UNH,2015-04-21,119.28,113756739.6,0.005903
166591,UNH,2015-04-22,117.81,112354807.95,-0.012324
166592,UNH,2015-04-23,118.26,112783970.7,0.00382
166593,UNH,2015-04-24,118.69,113194059.55,0.003636
166594,UNH,2015-04-27,116.24,110857506.8,-0.020642
166595,UNH,2015-04-28,117.59,112144995.05,0.011614
166596,UNH,2015-04-29,113.61,108349288.95,-0.033846
166597,UNH,2015-04-30,111.4,106011025.0,-0.019453
166598,UNH,2015-05-01,113.2,107723950.0,0.016158
166599,UNH,2015-05-04,114.56,109018160.0,0.012014
166600,UNH,2015-05-05,113.37,107885726.25,-0.010388
166601,UNH,2015-05-06,113.49,107999921.25,0.001058
166602,UNH,2015-05-07,114.76,109208485.0,0.01119
166603,UNH,2015-05-08,115.68,110083980.0,0.008017
166604,UNH,2015-05-11,114.77,109218001.25,-0.007867
166605,UNH,2015-05-12,114.64,109094290.0,-0.001133
166606,UNH,2015-05-13,115.86,110255272.5,0.010642
166607,UNH,2015-05-14,118.53,112796111.25,0.023045
166608,UNH,2015-05-15,119.33,113557411.25,0.006749
166609,UNH,2015-05-18,119.8,114004675.0,0.003939
166610,UNH,2015-05-19,120.55,114718393.75,0.00626
166611,UNH,2015-05-20,121.24,115375015.0,0.005724
166612,UNH,2015-05-21,120.46,114632747.5,-0.006434
166613,UNH,2015-05-22,119.59,113804833.75,-0.007222
166614,UNH,2015-05-26,118.24,112520140.0,-0.011289
166615,UNH,2015-05-27,119.45,113671606.25,0.010233
166616,UNH,2015-05-28,119.62,113833382.5,0.001423
166617,UNH,2015-05-29,120.21,114428379.84,0.004932
166618,UNH,2015-06-01,119.86,114095213.44,-0.002912
166619,UNH,2015-06-02,117.75,112086696.0,-0.017604
166620,UNH,2015-06-03,118.35,112657838.4,0.005096
166621,UNH,2015-06-04,116.65,111039601.6,-0.014364
166622,UNH,2015-06-05,116.53,110925373.12,-0.001029
166623,UNH,2015-06-08,116.91,111287096.64,0.003261
166624,UNH,2015-06-09,116.99,111363248.96,0.000684
166625,UNH,2015-06-10,118.55,112848219.2,0.013334
166626,UNH,2015-06-11,119.32,113581185.28,0.010713
166627,UNH,2015-06-12,117.65,111991505.6,-0.013996
166628,UNH,2015-06-15,118.98,113257537.92,0.011305
166629,UNH,2015-06-16,121.55,115703931.2,0.0216
166630,UNH,2015-06-17,119.74,113980984.96,-0.014891
166631,UNH,2015-06-18,120.89,115075674.56,0.009604
166632,UNH,2015-06-19,120.33,114542608.32,-0.004632
166633,UNH,2015-06-22,120.25,114466456.0,-0.000665
166634,UNH,2015-06-23,122.74,116836696.96,0.020707
166635,UNH,2015-06-24,119.17,113438399.68,-0.029086
166636,UNH,2015-06-25,122.33,116446416.32,0.026517
166637,UNH,2015-06-26,123.25,117322168.0,0.007521
166638,UNH,2015-06-29,121.19,115361245.76,-0.016714
166639,UNH,2015-06-30,122.0,116132288.0,0.006684
166640,UNH,2015-07-01,123.38,117445915.52,0.011311
166641,UNH,2015-07-02,121.81,115951426.24,-0.012725
166642,UNH,2015-07-06,122.16,116284592.64,0.002873
166643,UNH,2015-07-07,120.7,114894812.8,-0.011952
166644,UNH,2015-07-08,118.78,113067157.12,-0.015907
