Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
168530,UNP,2015-01-02,118.61,105456032.39,-0.004365
168531,UNP,2015-01-05,114.6,101890745.4,-0.033808
168532,UNP,2015-01-06,112.23,99783580.77,-0.020681
168533,UNP,2015-01-07,112.85,100334822.15,0.005524
168534,UNP,2015-01-08,117.08,104095710.92,0.037483
168535,UNP,2015-01-09,114.98,102228603.02,-0.017936
168536,UNP,2015-01-12,113.97,101330613.03,-0.008784
168537,UNP,2015-01-13,111.83,99427941.17,-0.018777
168538,UNP,2015-01-14,111.36,99010064.64,-0.004203
168539,UNP,2015-01-15,110.8,98512169.2,-0.005029
168540,UNP,2015-01-16,111.9,99490178.1,0.009928
168541,UNP,2015-01-20,113.95,101312831.05,0.01832
168542,UNP,2015-01-21,114.4,101712925.6,0.003949
168543,UNP,2015-01-22,119.83,106540733.17,0.047465
168544,UNP,2015-01-23,120.09,106771898.91,0.00217
168545,UNP,2015-01-26,121.33,107874381.67,0.010326
168546,UNP,2015-01-27,120.86,107456505.14,-0.003874
168547,UNP,2015-01-28,119.15,105936145.85,-0.014149
168548,UNP,2015-01-29,120.09,106771898.91,0.007889
168549,UNP,2015-01-30,117.21,104211293.79,-0.023982
168550,UNP,2015-02-02,119.01,105811671.99,0.015357
168551,UNP,2015-02-03,121.79,108283367.21,0.023359
168552,UNP,2015-02-04,120.44,107083083.56,-0.011085
168553,UNP,2015-02-05,122.85,109225812.15,0.02001
168554,UNP,2015-02-06,121.81,108301149.19,-0.008466
168555,UNP,2015-02-09,119.45,106202875.55,-0.019374
168556,UNP,2015-02-10,120.87,107465396.13,0.011888
168557,UNP,2015-02-11,122.14,108594551.86,0.010507
168558,UNP,2015-02-12,123.83,110097129.17,0.013837
168559,UNP,2015-02-13,122.6,109003537.4,-0.009933
168560,UNP,2015-02-17,122.54,108950191.46,-0.000489
168561,UNP,2015-02-18,123.35,109670361.65,0.00661
168562,UNP,2015-02-19,121.96,108434514.04,-0.011269
168563,UNP,2015-02-20,123.66,109945982.34,0.013939
168564,UNP,2015-02-23,123.75,110026001.25,0.000728
168565,UNP,2015-02-24,122.69,109083556.31,-0.008566
168566,UNP,2015-02-25,122.42,108843499.58,0.002282
168567,UNP,2015-02-26,120.76,107367595.24,-0.01356
168568,UNP,2015-02-27,120.26,105983213.84,-0.00414
168569,UNP,2015-03-02,120.75,106415043.0,0.004075
168570,UNP,2015-03-03,118.46,104396902.64,-0.018965
168571,UNP,2015-03-04,118.21,104176581.64,-0.00211
168572,UNP,2015-03-05,118.33,104282335.72,0.001015
168573,UNP,2015-03-06,116.45,102625521.8,-0.015888
168574,UNP,2015-03-09,117.17,103260046.28,0.006183
168575,UNP,2015-03-10,114.75,101127339.0,-0.020654
168576,UNP,2015-03-11,114.29,100721948.36,-0.004009
168577,UNP,2015-03-12,115.13,101462226.92,0.00735
168578,UNP,2015-03-13,114.52,100924643.68,-0.005298
168579,UNP,2015-03-16,116.72,102863468.48,0.019211
168580,UNP,2015-03-17,116.42,102599083.28,-0.00257
168581,UNP,2015-03-18,117.78,103797629.52,0.011682
168582,UNP,2015-03-19,117.55,103594934.2,-0.001953
168583,UNP,2015-03-20,117.45,103506805.8,-0.000851
168584,UNP,2015-03-23,112.78,99391209.52,-0.039762
168585,UNP,2015-03-24,112.51,99153262.84,-0.002394
168586,UNP,2015-03-25,110.82,97663892.88,-0.015021
168587,UNP,2015-03-26,108.17,95328490.28,-0.023913
168588,UNP,2015-03-27,108.44,95566436.96,0.002496
168589,UNP,2015-03-30,110.09,97020555.56,0.015216
168590,UNP,2015-03-31,108.31,95451870.04,-0.016169
168591,UNP,2015-04-01,107.34,94597024.56,-0.008956
168592,UNP,2015-04-02,107.13,94411954.92,-0.001956
168593,UNP,2015-04-06,106.38,93750991.92,-0.007001
168594,UNP,2015-04-07,107.84,95037666.56,0.013724
168595,UNP,2015-04-08,108.13,95293238.92,0.002689
168596,UNP,2015-04-09,109.79,96756170.36,0.015352
168597,UNP,2015-04-10,111.42,98192663.28,0.014847
168598,UNP,2015-04-13,108.47,95592875.48,-0.026476
168599,UNP,2015-04-14,108.17,95328490.28,-0.002766
168600,UNP,2015-04-15,107.4,94649901.6,-0.007118
168601,UNP,2015-04-16,108.35,95487121.4,0.008845
168602,UNP,2015-04-17,108.42,95548811.28,0.000646
168603,UNP,2015-04-20,110.44,97329004.96,0.018631
168604,UNP,2015-04-21,109.5,96500598.0,-0.008511
168605,UNP,2015-04-22,110.73,97584577.32,0.011233
168606,UNP,2015-04-23,108.12,95284426.08,-0.023571
168607,UNP,2015-04-24,107.51,94746842.84,-0.005642
168608,UNP,2015-04-27,107.51,94746842.84,0.0
168609,UNP,2015-04-28,107.89,95081730.76,0.003535
168610,UNP,2015-04-29,106.92,94226885.28,-0.008991
168611,UNP,2015-04-30,106.23,93014031.93,-0.006453
168612,UNP,2015-05-01,107.71,94309906.61,0.013932
168613,UNP,2015-05-04,107.99,94555072.09,0.0026
168614,UNP,2015-05-05,105.94,92760110.54,-0.018983
168615,UNP,2015-05-06,106.93,93626945.63,0.009345
168616,UNP,2015-05-07,107.31,93959670.21,0.003554
168617,UNP,2015-05-08,107.44,94073497.04,0.001211
168618,UNP,2015-05-11,106.75,93469339.25,-0.006422
168619,UNP,2015-05-12,105.77,92611260.07,-0.00918
168620,UNP,2015-05-13,102.39,89651762.49,-0.031956
168621,UNP,2015-05-14,102.09,89389085.19,-0.00293
168622,UNP,2015-05-15,103.83,90912613.53,0.017044
168623,UNP,2015-05-18,103.95,91017684.45,0.001156
168624,UNP,2015-05-19,104.02,91078975.82,0.000673
168625,UNP,2015-05-20,103.28,90431038.48,-0.007114
168626,UNP,2015-05-21,104.96,91902031.36,0.016266
168627,UNP,2015-05-22,104.2,91236582.2,-0.007241
168628,UNP,2015-05-26,102.9,90098313.9,-0.012476
168629,UNP,2015-05-27,102.62,89853148.42,0.002624
168630,UNP,2015-05-28,101.36,88749903.76,-0.012278
168631,UNP,2015-05-29,100.91,88677790.71,-0.00444
168632,UNP,2015-06-01,101.93,89574147.33,0.010108
168633,UNP,2015-06-02,101.6,89284149.6,-0.003238
168634,UNP,2015-06-03,101.99,89626874.19,0.003839
168635,UNP,2015-06-04,101.74,89407178.94,-0.002451
168636,UNP,2015-06-05,102.28,89881720.68,0.005308
168637,UNP,2015-06-08,100.71,88502034.51,-0.01535
168638,UNP,2015-06-09,99.7,87614465.7,-0.010029
168639,UNP,2015-06-10,99.67,87588102.27,-0.000301
168640,UNP,2015-06-11,100.92,88686578.52,0.012541
168641,UNP,2015-06-12,100.5,88317490.5,-0.004162
168642,UNP,2015-06-15,100.52,88335066.12,0.000199
168643,UNP,2015-06-16,100.52,88335066.12,0.0
168644,UNP,2015-06-17,101.18,88915061.58,0.006566
168645,UNP,2015-06-18,102.31,89908084.11,0.011168
168646,UNP,2015-06-19,101.16,88897485.96,-0.01124
168647,UNP,2015-06-22,101.44,89143544.64,0.002768
