Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
170544,UPS,2015-01-02,110.38,78532610.5,-0.007106
170545,UPS,2015-01-05,108.17,76960250.75,-0.020022
170546,UPS,2015-01-06,107.46,76455103.5,-0.006564
170547,UPS,2015-01-07,108.46,77166578.5,0.009306
170548,UPS,2015-01-08,110.41,78553954.75,0.017979
170549,UPS,2015-01-09,109.6,77977660.0,-0.007336
170550,UPS,2015-01-12,109.64,78006119.0,0.000365
170551,UPS,2015-01-13,110.11,78340512.25,0.004287
170552,UPS,2015-01-14,109.37,77814020.75,-0.006721
170553,UPS,2015-01-15,109.29,77757102.75,-0.000731
170554,UPS,2015-01-16,110.3,78475692.5,0.009241
170555,UPS,2015-01-20,111.31,79194282.25,0.009157
170556,UPS,2015-01-21,111.68,79457528.0,0.003324
170557,UPS,2015-01-22,114.25,81286018.75,0.023012
170558,UPS,2015-01-23,102.93,73232121.75,-0.099081
170559,UPS,2015-01-26,102.35,72819466.25,-0.005635
170560,UPS,2015-01-27,100.85,71752253.75,-0.014656
170561,UPS,2015-01-28,99.3,70649467.5,-0.015369
170562,UPS,2015-01-29,100.42,71446319.5,0.011279
170563,UPS,2015-01-30,98.84,70322189.0,-0.015734
170564,UPS,2015-02-02,100.13,71239991.75,0.013051
170565,UPS,2015-02-03,100.57,71553040.75,0.004394
170566,UPS,2015-02-04,100.53,71524581.75,-0.000398
170567,UPS,2015-02-05,101.46,72186253.5,0.009251
170568,UPS,2015-02-06,100.67,71624188.25,-0.007786
170569,UPS,2015-02-09,100.46,71474778.5,-0.002086
170570,UPS,2015-02-10,101.08,71915893.0,0.006172
170571,UPS,2015-02-11,100.91,71794942.25,-0.001682
170572,UPS,2015-02-12,101.41,72150679.75,0.004955
170573,UPS,2015-02-13,101.79,72421040.25,0.003747
170574,UPS,2015-02-17,102.51,72933302.25,0.007073
170575,UPS,2015-02-18,102.62,73011564.5,0.001073
170576,UPS,2015-02-19,101.7,72357007.5,-0.001851
170577,UPS,2015-02-20,101.96,72541991.0,0.002557
170578,UPS,2015-02-23,101.77,72406810.75,-0.001863
170579,UPS,2015-02-24,102.32,72798122.0,0.005404
170580,UPS,2015-02-25,101.96,72541991.0,-0.003518
170581,UPS,2015-02-26,101.86,72470843.5,-0.000981
170582,UPS,2015-02-27,101.73,72378351.75,-0.001276
170583,UPS,2015-03-02,101.93,72520646.75,0.001966
170584,UPS,2015-03-03,101.5,72214712.5,-0.004219
170585,UPS,2015-03-04,100.42,71446319.5,-0.01064
170586,UPS,2015-03-05,100.72,71659762.0,0.002987
170587,UPS,2015-03-06,100.62,71588614.5,-0.000993
170588,UPS,2015-03-09,100.55,71538811.25,-0.000696
170589,UPS,2015-03-10,99.47,70770418.25,-0.010741
170590,UPS,2015-03-11,98.72,70236812.0,-0.00754
170591,UPS,2015-03-12,99.67,70912713.25,0.009623
170592,UPS,2015-03-13,98.53,70101631.75,-0.011438
170593,UPS,2015-03-16,100.26,71332483.5,0.017558
170594,UPS,2015-03-17,99.6,70862910.0,-0.006583
170595,UPS,2015-03-18,100.26,71332483.5,0.006627
170596,UPS,2015-03-19,99.91,71083467.25,-0.003491
170597,UPS,2015-03-20,100.25,71325368.75,0.003403
170598,UPS,2015-03-23,99.88,71062123.0,-0.003691
170599,UPS,2015-03-24,99.26,70621008.5,-0.006207
170600,UPS,2015-03-25,97.46,69340353.5,-0.018134
170601,UPS,2015-03-26,96.64,68756944.0,-0.008414
170602,UPS,2015-03-27,96.59,68721370.25,-0.000517
170603,UPS,2015-03-30,97.27,69205173.25,0.00704
170604,UPS,2015-03-31,96.94,68085227.36,-0.003393
170605,UPS,2015-04-01,96.54,67804289.76,-0.004126
170606,UPS,2015-04-02,96.47,67755125.68,-0.000725
170607,UPS,2015-04-06,96.84,68014992.96,0.003835
170608,UPS,2015-04-07,96.68,67902617.92,-0.001652
170609,UPS,2015-04-08,96.67,67895594.48,-0.000103
170610,UPS,2015-04-09,96.7,67916664.8,0.00031
170611,UPS,2015-04-10,96.79,67979875.76,0.000931
170612,UPS,2015-04-13,96.15,67530375.6,-0.006612
170613,UPS,2015-04-14,96.55,67811313.2,0.00416
170614,UPS,2015-04-15,96.62,67860477.28,0.000725
170615,UPS,2015-04-16,96.14,67523352.16,-0.004968
170616,UPS,2015-04-17,95.38,66989570.72,-0.007905
170617,UPS,2015-04-20,97.46,68450446.24,0.021808
170618,UPS,2015-04-21,97.61,68555797.84,0.001539
170619,UPS,2015-04-22,98.14,68928040.16,0.00543
170620,UPS,2015-04-23,98.22,68984227.68,0.000815
170621,UPS,2015-04-24,98.1,68899946.4,-0.001222
170622,UPS,2015-04-27,97.43,68429375.92,-0.00683
170623,UPS,2015-04-28,100.77,70775204.88,0.034281
170624,UPS,2015-04-29,101.25,71112330.0,0.004763
170625,UPS,2015-04-30,100.53,70606642.32,-0.007111
