Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
172558,USB,2015-01-02,44.83,80218174.38,-0.00267
172559,USB,2015-01-05,43.75,78285637.5,-0.024091
172560,USB,2015-01-06,43.17,77247793.62,-0.013257
172561,USB,2015-01-07,43.55,77927760.3,0.008802
172562,USB,2015-01-08,43.87,78500363.82,0.007348
172563,USB,2015-01-09,42.96,76872022.56,-0.020743
172564,USB,2015-01-12,42.56,76156268.16,-0.009311
172565,USB,2015-01-13,42.1,75333150.6,-0.010808
172566,USB,2015-01-14,41.34,73973217.24,-0.018052
172567,USB,2015-01-15,40.94,73257462.84,-0.009676
172568,USB,2015-01-16,41.52,74295306.72,0.014167
172569,USB,2015-01-20,41.21,73740597.06,-0.007466
172570,USB,2015-01-21,42.2,75512089.2,0.024023
172571,USB,2015-01-22,43.43,77713033.98,0.029147
172572,USB,2015-01-23,43.32,77516201.52,-0.002533
172573,USB,2015-01-26,43.53,77891972.58,0.004848
172574,USB,2015-01-27,42.98,76907810.28,-0.012635
172575,USB,2015-01-28,42.1,75333150.6,-0.020475
172576,USB,2015-01-29,42.57,76174162.02,0.011164
172577,USB,2015-01-30,41.91,74993167.26,-0.015504
172578,USB,2015-02-02,42.73,76460463.78,0.019566
172579,USB,2015-02-03,43.28,77444626.08,0.012872
172580,USB,2015-02-04,43.58,77981441.88,0.006932
172581,USB,2015-02-05,44.0,78732984.0,0.009637
172582,USB,2015-02-06,44.41,79466632.26,0.009318
172583,USB,2015-02-09,44.17,79037179.62,-0.005404
172584,USB,2015-02-10,44.52,79663464.72,0.007924
172585,USB,2015-02-11,44.27,79216118.22,-0.005615
172586,USB,2015-02-12,45.12,80737096.32,0.0192
172587,USB,2015-02-13,45.07,80647627.02,-0.001108
172588,USB,2015-02-17,45.07,80647627.02,0.0
172589,USB,2015-02-18,44.53,79681358.58,-0.011981
172590,USB,2015-02-19,44.32,79305587.52,-0.004716
172591,USB,2015-02-20,44.62,79842403.32,0.006769
172592,USB,2015-02-23,44.48,79591889.28,-0.003138
172593,USB,2015-02-24,44.72,80021341.92,0.005396
172594,USB,2015-02-25,44.84,80236068.24,0.002683
172595,USB,2015-02-26,44.93,80397112.98,0.002007
172596,USB,2015-02-27,44.61,79458841.29,-0.007122
172597,USB,2015-03-02,44.88,79939762.32,0.006052
172598,USB,2015-03-03,44.75,79708207.75,-0.002897
172599,USB,2015-03-04,44.41,79102603.49,-0.007598
172600,USB,2015-03-05,44.58,79405405.62,0.003828
172601,USB,2015-03-06,44.67,79565712.63,0.002019
172602,USB,2015-03-09,44.89,79957574.21,0.004925
172603,USB,2015-03-10,43.71,77855771.19,-0.026286
172604,USB,2015-03-11,43.75,77927018.75,0.000915
172605,USB,2015-03-12,44.47,79209474.83,0.016457
172606,USB,2015-03-13,44.29,78888860.81,-0.004048
172607,USB,2015-03-16,44.97,80100069.33,0.015353
172608,USB,2015-03-17,44.95,80064445.55,-0.000445
172609,USB,2015-03-18,44.85,79886326.65,-0.002225
172610,USB,2015-03-19,44.44,79156039.16,-0.009142
172611,USB,2015-03-20,44.86,79904138.54,0.009451
172612,USB,2015-03-23,44.71,79636960.19,-0.003344
172613,USB,2015-03-24,44.2,78728553.8,-0.011407
172614,USB,2015-03-25,43.42,77339226.38,-0.017647
172615,USB,2015-03-26,43.25,77036424.25,-0.003915
172616,USB,2015-03-27,42.86,76341760.54,-0.003353
172617,USB,2015-03-30,43.79,77998266.31,0.021699
172618,USB,2015-03-31,43.67,77850727.35,-0.00274
172619,USB,2015-04-01,43.49,77529840.45,-0.004122
172620,USB,2015-04-02,43.71,77922035.55,0.005059
172621,USB,2015-04-06,43.32,77226780.6,-0.008922
172622,USB,2015-04-07,43.35,77280261.75,0.000693
172623,USB,2015-04-08,43.43,77422878.15,0.001845
172624,USB,2015-04-09,43.57,77672456.85,0.003224
172625,USB,2015-04-10,43.75,77993343.75,0.004131
172626,USB,2015-04-13,44.09,78599463.45,0.007771
172627,USB,2015-04-14,43.53,77601148.65,-0.012701
