Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
176586,VZ,2015-01-02,46.96,194871039.04,0.003848
176587,VZ,2015-01-05,46.57,193252646.68,-0.008305
176588,VZ,2015-01-06,47.04,195203016.96,0.010092
176589,VZ,2015-01-07,46.19,191675751.56,-0.006378
176590,VZ,2015-01-08,47.18,195783978.32,0.021433
176591,VZ,2015-01-09,46.76,194041094.24,-0.008902
176592,VZ,2015-01-12,47.08,195369005.92,0.006843
176593,VZ,2015-01-13,47.18,195783978.32,0.002124
176594,VZ,2015-01-14,46.97,194912536.28,-0.004451
176595,VZ,2015-01-15,47.1,195452000.4,0.002768
176596,VZ,2015-01-16,47.99,199145254.76,0.018896
176597,VZ,2015-01-20,48.18,199933702.32,0.003959
176598,VZ,2015-01-21,48.25,200224183.0,0.001453
176599,VZ,2015-01-22,47.8,198356807.2,-0.009326
176600,VZ,2015-01-23,47.15,195659486.6,-0.013598
176601,VZ,2015-01-26,46.96,194871039.04,-0.00403
176602,VZ,2015-01-27,46.35,192339707.4,-0.01299
176603,VZ,2015-01-28,46.05,191094790.2,-0.006472
176604,VZ,2015-01-29,46.11,191343773.64,0.001303
176605,VZ,2015-01-30,45.71,189683884.04,-0.008675
176606,VZ,2015-02-02,46.98,194954033.52,0.027784
176607,VZ,2015-02-03,47.83,198481298.92,0.018093
176608,VZ,2015-02-04,47.8,198356807.2,-0.000627
176609,VZ,2015-02-05,47.86,198605790.64,0.001255
176610,VZ,2015-02-06,49.33,204705884.92,0.030715
176611,VZ,2015-02-09,49.09,203709951.16,-0.004865
176612,VZ,2015-02-10,49.51,205452835.24,0.008556
176613,VZ,2015-02-11,49.81,206697752.44,0.006059
176614,VZ,2015-02-12,49.52,205494332.48,-0.005822
176615,VZ,2015-02-13,49.31,204622890.44,-0.004241
176616,VZ,2015-02-17,49.18,204083426.32,-0.002636
176617,VZ,2015-02-18,48.94,203087492.56,-0.00488
176618,VZ,2015-02-19,48.91,202963000.84,-0.000613
176619,VZ,2015-02-20,48.97,203211984.28,0.001227
176620,VZ,2015-02-23,48.77,202382039.48,-0.004084
176621,VZ,2015-02-24,49.22,204249415.28,0.009227
176622,VZ,2015-02-25,49.2,204166420.8,-0.000406
176623,VZ,2015-02-26,49.37,204871873.88,0.003455
