Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
174572,V,2015-01-02,265.02,130785514.86,0.010755
174573,V,2015-01-05,259.17,127898580.81,-0.022074
174574,V,2015-01-06,257.5,127074447.5,-0.006444
174575,V,2015-01-07,260.95,128776998.35,0.013398
174576,V,2015-01-08,264.45,130504223.85,0.013413
174577,V,2015-01-09,260.53,128569731.29,-0.014823
174578,V,2015-01-12,260.02,128318049.86,-0.001958
174579,V,2015-01-13,260.78,128693104.54,0.002923
174580,V,2015-01-14,255.56,126117071.08,-0.020017
174581,V,2015-01-15,253.13,124917883.09,-0.009509
174582,V,2015-01-16,254.95,125816040.35,0.00719
174583,V,2015-01-20,256.84,126748742.12,0.007413
174584,V,2015-01-21,257.28,126965879.04,0.001713
174585,V,2015-01-22,257.6,127123796.8,0.001244
174586,V,2015-01-23,258.29,127464306.97,0.002679
174587,V,2015-01-26,256.53,126595759.29,-0.006814
174588,V,2015-01-27,250.99,123861808.07,-0.021596
174589,V,2015-01-28,246.36,121576935.48,-0.018447
174590,V,2015-01-29,248.0,122386264.0,0.006657
174591,V,2015-01-30,254.91,125151123.42,0.027863
174592,V,2015-02-02,255.34,125362237.08,0.001687
174593,V,2015-02-03,259.79,127547017.98,0.017428
174594,V,2015-02-04,264.89,130050924.18,0.019631
174595,V,2015-02-05,271.8,133443471.6,0.026086
174596,V,2015-02-06,267.42,131293058.04,-0.016115
174597,V,2015-02-09,265.46,130330772.52,-0.007329
174598,V,2015-02-10,264.55,129883997.1,-0.003428
174599,V,2015-02-11,265.99,130590982.38,0.007258
174600,V,2015-02-12,270.91,133006515.42,0.018497
174601,V,2015-02-13,269.63,132378084.06,-0.004725
174602,V,2015-02-17,270.87,132986876.94,0.004599
174603,V,2015-02-18,269.12,132127693.44,-0.006461
174604,V,2015-02-19,269.1,132117874.2,-7.4e-05
174605,V,2015-02-20,273.0,134032626.0,0.014493
174606,V,2015-02-23,273.01,134037535.62,3.7e-05
174607,V,2015-02-24,272.47,133772416.14,-0.001978
174608,V,2015-02-25,273.01,134037535.62,0.001982
174609,V,2015-02-26,273.75,134400847.5,0.002711
174610,V,2015-02-27,271.31,133202900.22,-0.008913
174611,V,2015-03-02,278.29,136629814.98,0.025727
174612,V,2015-03-03,275.3,135161838.6,-0.010744
174613,V,2015-03-04,273.75,134400847.5,-0.00563
174614,V,2015-03-05,274.13,134587413.06,0.001388
174615,V,2015-03-06,269.34,132235705.08,-0.017473
174616,V,2015-03-09,271.42,133256906.04,0.007723
174617,V,2015-03-10,265.2,130203122.4,-0.022917
174618,V,2015-03-11,264.75,129982189.5,-0.001697
174619,V,2015-03-12,269.58,132353535.96,0.018244
174620,V,2015-03-13,265.03,130119658.86,-0.016878
174621,V,2015-03-16,269.02,132078597.24,0.015055
174622,V,2015-03-17,264.5,129859449.0,-0.016802
174623,V,2015-03-18,267.67,131415798.54,0.011985
174624,V,2015-03-19,66.81,131204684.88,-0.001606
174625,V,2015-03-20,67.41,132382993.68,0.008981
174626,V,2015-03-23,67.08,131734923.84,-0.004895
174627,V,2015-03-24,67.1,131774200.8,0.000298
174628,V,2015-03-25,65.73,129083729.04,-0.020417
174629,V,2015-03-26,65.59,128808790.32,-0.00213
174630,V,2015-03-27,65.54,128710597.92,-0.000762
174631,V,2015-03-30,65.66,128946259.68,0.001831
174632,V,2015-03-31,65.41,128455297.68,-0.003807
174633,V,2015-04-01,65.18,128003612.64,-0.003516
174634,V,2015-04-02,65.29,128219635.92,0.001688
174635,V,2015-04-06,65.2,128042889.6,-0.001378
174636,V,2015-04-07,65.8,129221198.4,0.009202
174637,V,2015-04-08,66.5,130595892.0,0.010638
174638,V,2015-04-09,66.44,130478061.12,-0.000902
174639,V,2015-04-10,66.34,130281676.32,-0.001505
174640,V,2015-04-13,65.61,128848067.28,-0.011004
174641,V,2015-04-14,65.53,128690959.44,-0.001219
174642,V,2015-04-15,65.68,128985536.64,0.002289
174643,V,2015-04-16,65.65,128926621.2,-0.000457
174644,V,2015-04-17,64.52,126707472.96,-0.017212
174645,V,2015-04-20,64.72,127100242.56,0.0031
174646,V,2015-04-21,65.35,128337466.8,0.009734
174647,V,2015-04-22,68.01,133561302.48,0.040704
174648,V,2015-04-23,67.72,132991786.56,-0.004264
174649,V,2015-04-24,67.48,132520463.04,-0.003544
174650,V,2015-04-27,67.1,131774200.8,-0.005631
174651,V,2015-04-28,66.77,131126130.96,-0.004918
174652,V,2015-04-29,67.34,132245524.32,0.008537
174653,V,2015-04-30,66.05,129712160.4,-0.019157
174654,V,2015-05-01,65.77,129162282.96,-0.004239
174655,V,2015-05-04,65.58,128789151.84,-0.002889
174656,V,2015-05-05,65.96,129535414.08,0.005794
174657,V,2015-05-06,65.67,128965898.16,-0.004397
174658,V,2015-05-07,66.58,130752999.84,0.013857
174659,V,2015-05-08,69.47,136428520.56,0.043406
174660,V,2015-05-11,69.02,135544788.96,-0.006478
174661,V,2015-05-12,68.69,134896719.12,-0.004781
174662,V,2015-05-13,68.65,134818165.2,0.001165
174663,V,2015-05-14,70.0,137469360.0,0.019665
174664,V,2015-05-15,69.57,136624905.36,-0.006143
174665,V,2015-05-18,70.0,137469360.0,0.006181
174666,V,2015-05-19,70.16,137783575.68,0.002286
174667,V,2015-05-20,69.78,137037313.44,-0.005416
174668,V,2015-05-21,69.37,136232135.76,-0.005876
174669,V,2015-05-22,69.62,136723097.76,0.003604
174670,V,2015-05-26,68.54,134602141.92,-0.015513
174671,V,2015-05-27,69.49,136467797.52,0.013861
174672,V,2015-05-28,69.56,136605266.88,0.001007
174673,V,2015-05-29,68.68,134436361.08,-0.012651
174674,V,2015-06-01,69.11,135278056.41,0.006261
174675,V,2015-06-02,69.04,135141036.24,-0.001013
174676,V,2015-06-03,68.95,134964867.45,-0.001304
174677,V,2015-06-04,68.21,133516368.51,-0.010732
174678,V,2015-06-05,68.37,133829557.47,0.002346
174679,V,2015-06-08,67.68,132478930.08,-0.010092
174680,V,2015-06-09,67.95,133007436.45,0.003989
174681,V,2015-06-10,69.63,136295920.53,0.024724
174682,V,2015-06-11,69.64,136315494.84,0.000144
174683,V,2015-06-12,69.33,135708691.23,-0.004451
174684,V,2015-06-15,68.57,134221043.67,-0.010962
174685,V,2015-06-16,69.01,135082313.31,0.006417
174686,V,2015-06-17,68.75,134573381.25,-0.003768
174687,V,2015-06-18,69.5,136041454.5,0.010909
174688,V,2015-06-19,68.69,134455935.39,-0.011655
174689,V,2015-06-22,69.09,135238907.79,0.005823
174690,V,2015-06-23,69.42,135884860.02,0.004776
174691,V,2015-06-24,68.86,134788698.66,-0.008067
174692,V,2015-06-25,68.62,134318915.22,-0.003485
174693,V,2015-06-26,68.75,134573381.25,0.001894
174694,V,2015-06-29,66.72,130599796.32,-0.029527
174695,V,2015-06-30,67.15,131441491.65,0.006445
174696,V,2015-07-01,67.85,132811693.35,0.010424
174697,V,2015-07-02,68.24,133575091.44,0.005748
