Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
178600,WBA,2015-01-02,76.0,82838176.0,-0.002625
178601,WBA,2015-01-05,74.5,81203212.0,-0.019737
178602,WBA,2015-01-06,74.69,81410307.44,0.00255
178603,WBA,2015-01-07,76.6,83492161.6,0.025572
178604,WBA,2015-01-08,77.55,84527638.8,0.012402
178605,WBA,2015-01-09,75.67,82478483.92,-0.024242
178606,WBA,2015-01-12,75.7,82511183.2,0.000396
178607,WBA,2015-01-13,75.26,82031593.76,-0.005812
178608,WBA,2015-01-14,74.99,81737300.24,-0.003588
178609,WBA,2015-01-15,74.78,81508405.28,-0.0028
178610,WBA,2015-01-16,76.03,82870875.28,0.016716
178611,WBA,2015-01-20,76.05,82892674.8,0.000263
178612,WBA,2015-01-21,75.59,82391285.84,-0.006049
178613,WBA,2015-01-22,76.02,82859975.52,0.005689
178614,WBA,2015-01-23,75.59,82391285.84,-0.005656
178615,WBA,2015-01-26,75.84,82663779.84,0.003307
178616,WBA,2015-01-27,74.93,81671901.68,-0.011999
178617,WBA,2015-01-28,73.77,80407529.52,-0.015481
178618,WBA,2015-01-29,74.57,81279510.32,0.010845
178619,WBA,2015-01-30,73.75,80385730.0,-0.010996
178620,WBA,2015-02-02,74.89,81628302.64,0.015458
178621,WBA,2015-02-03,74.79,81519305.04,-0.001335
178622,WBA,2015-02-04,74.67,81388507.92,-0.001604
178623,WBA,2015-02-05,74.79,81519305.04,0.001607
178624,WBA,2015-02-06,76.15,83001672.4,0.018184
178625,WBA,2015-02-09,76.4,83274166.4,0.003283
178626,WBA,2015-02-10,76.69,83590259.44,0.003796
178627,WBA,2015-02-11,79.53,86685791.28,0.037032
178628,WBA,2015-02-12,79.96,87154480.96,0.005407
178629,WBA,2015-02-13,78.73,85813810.48,-0.011162
178630,WBA,2015-02-17,78.0,85018128.0,-0.009272
178631,WBA,2015-02-18,77.79,84789233.04,-0.002692
178632,WBA,2015-02-19,77.1,84037149.6,-0.00887
178633,WBA,2015-02-20,77.13,84069848.88,0.000389
178634,WBA,2015-02-23,78.59,85661213.84,0.018929
178635,WBA,2015-02-24,80.39,87623170.64,0.022904
178636,WBA,2015-02-25,80.01,87208979.76,-0.004727
178637,WBA,2015-02-26,81.65,88996540.4,0.020497
178638,WBA,2015-02-27,83.08,90786666.96,0.017514
178639,WBA,2015-03-02,83.62,91376758.44,0.0065
178640,WBA,2015-03-03,83.21,90928726.02,-0.004903
178641,WBA,2015-03-04,83.02,90721101.24,-0.002283
178642,WBA,2015-03-05,83.2,90917798.4,0.002168
178643,WBA,2015-03-06,82.35,89988950.7,-0.010216
178644,WBA,2015-03-09,83.5,91245627.0,0.013965
178645,WBA,2015-03-10,82.72,90393272.64,-0.009341
178646,WBA,2015-03-11,82.51,90163792.62,-0.002539
178647,WBA,2015-03-12,84.25,92065198.5,0.021088
178648,WBA,2015-03-13,83.72,91486034.64,-0.006291
178649,WBA,2015-03-16,86.77,94818958.74,0.036431
178650,WBA,2015-03-17,86.26,94261650.12,-0.005878
178651,WBA,2015-03-18,87.18,95266991.16,0.010665
178652,WBA,2015-03-19,87.36,95463688.32,0.002065
178653,WBA,2015-03-20,88.23,96414391.26,0.009959
178654,WBA,2015-03-23,87.92,96075635.04,-0.003514
178655,WBA,2015-03-24,88.0,96163056.0,0.00091
178656,WBA,2015-03-25,85.88,93846400.56,-0.024091
178657,WBA,2015-03-26,84.44,92272823.28,-0.016768
178658,WBA,2015-03-27,85.29,93201670.98,0.010066
178659,WBA,2015-03-30,85.99,93793764.48,0.008207
178660,WBA,2015-03-31,84.68,92365302.76,-0.015234
178661,WBA,2015-04-01,84.26,91907184.82,-0.00496
178662,WBA,2015-04-02,85.97,93772379.29,0.020294
178663,WBA,2015-04-06,88.01,95997523.57,0.023729
178664,WBA,2015-04-07,87.28,95201270.96,-0.008295
178665,WBA,2015-04-08,87.68,95637573.76,0.004583
178666,WBA,2015-04-09,92.62,101025913.34,0.056341
178667,WBA,2015-04-10,92.02,100371459.14,-0.006478
178668,WBA,2015-04-13,91.71,100033324.47,-0.003369
178669,WBA,2015-04-14,91.98,100327828.86,0.002944
178670,WBA,2015-04-15,91.54,99847895.78,-0.004784
178671,WBA,2015-04-16,89.52,97644566.64,-0.022067
178672,WBA,2015-04-17,86.96,94852228.72,-0.028597
178673,WBA,2015-04-20,87.12,95026749.84,0.00184
178674,WBA,2015-04-21,87.09,94994027.13,-0.000344
178675,WBA,2015-04-22,87.02,94917674.14,-0.000804
178676,WBA,2015-04-23,86.69,94557724.33,-0.003792
178677,WBA,2015-04-24,85.98,93783286.86,-0.00819
178678,WBA,2015-04-27,86.12,93935992.84,0.001628
178679,WBA,2015-04-28,86.08,93892362.56,-0.000464
178680,WBA,2015-04-29,84.57,92245319.49,-0.017542
178681,WBA,2015-04-30,82.93,90456478.01,-0.019392
178682,WBA,2015-05-01,83.46,91034579.22,0.006391
178683,WBA,2015-05-04,84.13,91765386.41,0.008028
178684,WBA,2015-05-05,83.14,90685536.98,-0.011768
178685,WBA,2015-05-06,83.1,90641906.7,-0.000481
178686,WBA,2015-05-07,84.23,91874462.11,0.013598
178687,WBA,2015-05-08,85.02,92736160.14,0.009379
178688,WBA,2015-05-11,84.25,91896277.25,-0.009057
178689,WBA,2015-05-12,84.18,91819924.26,-0.000831
178690,WBA,2015-05-13,84.07,91699940.99,-0.001307
178691,WBA,2015-05-14,85.35,93096109.95,0.015225
178692,WBA,2015-05-15,86.47,94317757.79,0.013122
178693,WBA,2015-05-18,86.36,94197774.52,-0.001272
