Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
180614,WFC,2015-01-02,54.7,283763032.8,-0.002189
180615,WFC,2015-01-05,53.2,275981596.8,-0.027422
180616,WFC,2015-01-06,52.09,270223334.16,-0.020865
180617,WFC,2015-01-07,52.4,271831497.6,0.005951
180618,WFC,2015-01-08,53.56,277849141.44,0.022137
180619,WFC,2015-01-09,52.68,273284032.32,-0.01643
180620,WFC,2015-01-12,52.05,270015829.2,-0.011959
180621,WFC,2015-01-13,51.85,268978304.4,-0.003842
180622,WFC,2015-01-14,51.25,265865730.0,-0.011572
180623,WFC,2015-01-15,50.72,263116289.28,-0.010341
180624,WFC,2015-01-16,51.64,267888903.36,0.018139
180625,WFC,2015-01-20,52.0,269756448.0,0.006971
180626,WFC,2015-01-21,52.1,270275210.4,0.001923
180627,WFC,2015-01-22,53.77,278938542.48,0.032054
180628,WFC,2015-01-23,53.26,276292854.24,-0.009485
180629,WFC,2015-01-26,53.58,277952893.92,0.006008
180630,WFC,2015-01-27,52.97,274788443.28,-0.011385
180631,WFC,2015-01-28,52.16,270586467.84,-0.015292
180632,WFC,2015-01-29,52.76,273699042.24,0.011503
180633,WFC,2015-01-30,51.92,269341438.08,-0.015921
180634,WFC,2015-02-02,52.81,273958423.44,0.017142
180635,WFC,2015-02-03,53.45,277278502.8,0.012119
180636,WFC,2015-02-04,53.03,275099700.72,-0.00131
180637,WFC,2015-02-05,53.67,278419780.08,0.012069
180638,WFC,2015-02-06,54.45,282466126.8,0.014533
180639,WFC,2015-02-09,54.21,281221097.04,-0.004408
180640,WFC,2015-02-10,54.57,283088641.68,0.006641
180641,WFC,2015-02-11,53.9,279612933.6,-0.012278
180642,WFC,2015-02-12,54.86,284593052.64,0.017811
180643,WFC,2015-02-13,55.33,287031235.92,0.008567
180644,WFC,2015-02-17,55.37,287238740.88,0.000723
180645,WFC,2015-02-18,54.52,282829260.48,-0.015351
180646,WFC,2015-02-19,54.56,283036765.44,0.000734
180647,WFC,2015-02-20,54.83,284437423.92,0.004949
180648,WFC,2015-02-23,55.1,285838082.4,0.004924
180649,WFC,2015-02-24,55.37,287238740.88,0.0049
180650,WFC,2015-02-25,55.33,287031235.92,-0.000722
180651,WFC,2015-02-26,55.15,286097463.6,-0.003253
180652,WFC,2015-02-27,54.79,282293475.99,-0.006528
180653,WFC,2015-03-02,55.55,286209209.55,0.013871
180654,WFC,2015-03-03,55.45,285693981.45,-0.0018
180655,WFC,2015-03-04,54.82,282448044.42,-0.011362
180656,WFC,2015-03-05,54.84,282551090.04,0.000365
180657,WFC,2015-03-06,54.59,281263019.79,-0.004559
180658,WFC,2015-03-09,54.67,281675202.27,0.001465
180659,WFC,2015-03-10,53.29,274565054.49,-0.025242
180660,WFC,2015-03-11,53.7,276677489.7,0.007694
180661,WFC,2015-03-12,55.59,286415300.79,0.035196
180662,WFC,2015-03-13,55.34,285127230.54,-0.004497
180663,WFC,2015-03-16,55.73,287136620.13,0.007047
180664,WFC,2015-03-17,55.91,288064030.71,0.00323
180665,WFC,2015-03-18,56.17,289403623.77,0.00465
180666,WFC,2015-03-19,55.51,286003118.31,-0.01175
180667,WFC,2015-03-20,56.01,288579258.81,0.009007
180668,WFC,2015-03-23,55.78,287394234.18,-0.004106
180669,WFC,2015-03-24,55.35,285178753.35,-0.007709
