Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
182628,WMT,2015-01-02,85.9,276872021.0,0.000233
182629,WMT,2015-01-05,85.65,276066223.5,-0.00291
182630,WMT,2015-01-06,86.31,278193528.9,0.007706
182631,WMT,2015-01-07,88.6,285574634.0,0.026532
182632,WMT,2015-01-08,90.47,291601999.3,0.021106
182633,WMT,2015-01-09,89.35,287992026.5,-0.01238
182634,WMT,2015-01-12,90.02,290151563.8,0.007499
182635,WMT,2015-01-13,89.31,287863098.9,-0.007887
182636,WMT,2015-01-14,86.61,279160485.9,-0.030232
182637,WMT,2015-01-15,87.38,281642342.2,0.00889
182638,WMT,2015-01-16,86.77,279676196.3,-0.006981
182639,WMT,2015-01-20,86.69,279418341.1,-0.000922
182640,WMT,2015-01-21,86.64,279257181.6,-0.000577
182641,WMT,2015-01-22,88.3,284607677.0,0.01916
182642,WMT,2015-01-23,88.51,285284546.9,0.002378
182643,WMT,2015-01-26,88.63,285671329.7,0.001356
182644,WMT,2015-01-27,87.53,282125820.7,-0.012411
182645,WMT,2015-01-28,86.82,279837355.8,-0.008112
182646,WMT,2015-01-29,87.72,282738226.8,0.010366
182647,WMT,2015-01-30,84.98,273906686.2,-0.031236
182648,WMT,2015-02-02,85.71,276259614.9,0.00859
182649,WMT,2015-02-03,86.19,277806746.1,0.0056
182650,WMT,2015-02-04,86.65,279289413.5,0.005337
182651,WMT,2015-02-05,87.28,281320023.2,0.007271
182652,WMT,2015-02-06,87.33,281481182.7,0.000573
182653,WMT,2015-02-09,85.91,276904252.9,-0.01626
182654,WMT,2015-02-10,87.29,281352255.1,0.016063
182655,WMT,2015-02-11,86.34,278290224.6,-0.010883
182656,WMT,2015-02-12,85.89,276839789.1,-0.005212
182657,WMT,2015-02-13,85.81,276581933.9,-0.000931
182658,WMT,2015-02-17,85.96,277065412.4,0.001748
182659,WMT,2015-02-18,86.29,278129065.1,0.003839
182660,WMT,2015-02-19,83.52,269200828.8,-0.032101
182661,WMT,2015-02-20,84.3,271714917.0,0.009339
182662,WMT,2015-02-23,84.6,272681874.0,0.003559
182663,WMT,2015-02-24,84.57,272585178.3,-0.000355
182664,WMT,2015-02-25,83.57,269361988.3,-0.011825
182665,WMT,2015-02-26,83.8,270103322.0,0.002752
182666,WMT,2015-02-27,83.93,270522336.7,0.001551
182667,WMT,2015-03-02,83.96,270619032.4,0.000357
182668,WMT,2015-03-03,83.37,268717350.3,-0.007027
182669,WMT,2015-03-04,82.58,266171030.2,-0.009476
182670,WMT,2015-03-05,83.57,269361988.3,0.011988
182671,WMT,2015-03-06,82.59,266203262.1,-0.011727
182672,WMT,2015-03-09,82.88,267137987.2,0.003511
182673,WMT,2015-03-10,82.07,264527203.3,-0.009773
182674,WMT,2015-03-11,80.69,260079201.1,-0.010844
182675,WMT,2015-03-12,81.9,263979261.0,0.014996
182676,WMT,2015-03-13,81.9,263979261.0,0.0
182677,WMT,2015-03-16,83.29,268459495.1,0.016972
182678,WMT,2015-03-17,82.62,266299957.8,-0.008044
182679,WMT,2015-03-18,82.53,266009870.7,-0.001089
182680,WMT,2015-03-19,81.52,262754448.8,-0.012238
182681,WMT,2015-03-20,83.24,268298335.6,0.021099
182682,WMT,2015-03-23,83.31,268523958.9,0.000841
182683,WMT,2015-03-24,83.05,267685929.5,-0.003121
182684,WMT,2015-03-25,81.32,262109810.8,-0.020831
182685,WMT,2015-03-26,81.89,263947029.1,0.007009
182686,WMT,2015-03-27,81.35,262206506.5,-0.006594
182687,WMT,2015-03-30,82.53,266009870.7,0.014505
182688,WMT,2015-03-31,82.25,265107377.5,-0.003393
182689,WMT,2015-04-01,80.71,260143664.9,-0.018723
182690,WMT,2015-04-02,80.73,260208128.7,0.000248
182691,WMT,2015-04-06,80.99,261046158.1,0.003221
182692,WMT,2015-04-07,80.5,259466795.0,-0.00605
182693,WMT,2015-04-08,81.03,261175085.7,0.006584
182694,WMT,2015-04-09,80.84,260562679.6,-0.002345
182695,WMT,2015-04-10,80.65,259950273.5,-0.00235
182696,WMT,2015-04-13,80.29,258789925.1,-0.004464
182697,WMT,2015-04-14,80.15,258338678.5,-0.001744
182698,WMT,2015-04-15,79.74,257017170.6,-0.005115
182699,WMT,2015-04-16,79.24,255405575.6,-0.00627
182700,WMT,2015-04-17,77.88,251022037.2,-0.017163
182701,WMT,2015-04-20,78.14,251860066.6,0.003338
182702,WMT,2015-04-21,78.03,251505515.7,-0.001408
182703,WMT,2015-04-22,78.43,252794791.7,0.005126
182704,WMT,2015-04-23,79.18,255212184.2,0.009563
182705,WMT,2015-04-24,79.84,257339489.6,0.008335
182706,WMT,2015-04-27,79.37,255824590.3,-0.005887
182707,WMT,2015-04-28,79.1,254954329.0,-0.003402
182708,WMT,2015-04-29,77.88,251022037.2,-0.015424
182709,WMT,2015-04-30,78.05,251750509.15,0.002183
182710,WMT,2015-05-01,78.6,253524535.8,0.007047
182711,WMT,2015-05-04,79.18,255395327.54,0.007379
182712,WMT,2015-05-05,78.13,252008549.39,-0.013261
182713,WMT,2015-05-06,77.65,250460307.95,0.000128
182714,WMT,2015-05-07,78.03,251685999.09,0.004894
182715,WMT,2015-05-08,78.53,253298750.59,0.006408
182716,WMT,2015-05-11,78.1,251911784.3,-0.005476
182717,WMT,2015-05-12,78.96,254685716.88,0.011012
182718,WMT,2015-05-13,78.16,252105314.48,-0.010132
182719,WMT,2015-05-14,78.72,253911596.16,0.007165
182720,WMT,2015-05-15,79.24,255588857.72,0.006606
182721,WMT,2015-05-18,79.92,257782199.76,0.008582
182722,WMT,2015-05-19,76.43,246525194.29,-0.043669
182723,WMT,2015-05-20,75.9,244815677.7,-0.006934
182724,WMT,2015-05-21,76.11,245493033.33,0.002767
182725,WMT,2015-05-22,75.86,244686657.58,-0.003285
182726,WMT,2015-05-26,74.9,241590174.7,-0.012655
182727,WMT,2015-05-27,75.19,242525570.57,0.003872
182728,WMT,2015-05-28,74.84,241396644.52,-0.004655
182729,WMT,2015-05-29,74.27,239558107.81,-0.007616
182730,WMT,2015-06-01,74.73,241041839.19,0.006194
182731,WMT,2015-06-02,74.53,240396738.59,-0.002676
182732,WMT,2015-06-03,74.89,241557919.67,0.00483
182733,WMT,2015-06-04,74.15,239171047.45,-0.009881
182734,WMT,2015-06-05,73.06,235655249.18,-0.0147
182735,WMT,2015-06-08,72.61,234203772.83,-0.006159
182736,WMT,2015-06-09,72.47,233752202.41,-0.001928
182737,WMT,2015-06-10,72.93,235235933.79,0.006347
182738,WMT,2015-06-11,72.94,235268188.82,0.000137
182739,WMT,2015-06-12,72.43,233623182.29,-0.006992
182740,WMT,2015-06-15,71.93,232010430.79,-0.006903
182741,WMT,2015-06-16,72.35,233365142.05,0.005839
182742,WMT,2015-06-17,72.73,234590833.19,0.005252
182743,WMT,2015-06-18,72.98,235397208.94,0.003437
182744,WMT,2015-06-19,72.74,234623088.22,-0.003289
182745,WMT,2015-06-22,72.79,234784363.37,0.000687
182746,WMT,2015-06-23,72.57,234074752.71,-0.003022
182747,WMT,2015-06-24,72.38,233461907.14,-0.002618
182748,WMT,2015-06-25,71.86,231784645.58,-0.007184
182749,WMT,2015-06-26,72.12,232623276.36,0.003618
182750,WMT,2015-06-29,71.42,230365424.26,-0.009706
182751,WMT,2015-06-30,70.93,228433540.57,-0.006861
182752,WMT,2015-07-01,71.88,231493062.12,0.013393
182753,WMT,2015-07-02,71.86,231428651.14,-0.000278
182754,WMT,2015-07-06,72.53,233586418.97,0.009324
182755,WMT,2015-07-07,73.79,237644310.71,0.017372
182756,WMT,2015-07-08,73.06,235293309.94,-0.009893
182757,WMT,2015-07-09,72.78,234391556.22,-0.003832
182758,WMT,2015-07-10,73.12,235486542.88,0.004672
182759,WMT,2015-07-13,73.88,237934160.12,0.010394
182760,WMT,2015-07-14,73.79,237644310.71,-0.001218
182761,WMT,2015-07-15,73.65,237193433.85,-0.001897
182762,WMT,2015-07-16,73.83,237773132.67,0.002444
182763,WMT,2015-07-17,73.39,236356091.11,-0.00596
182764,WMT,2015-07-20,73.1,235422131.9,-0.003951
182765,WMT,2015-07-21,72.74,234262734.26,-0.004925
182766,WMT,2015-07-22,73.16,235615364.84,0.005774
182767,WMT,2015-07-23,72.51,233522007.99,-0.008885
182768,WMT,2015-07-24,71.58,230526897.42,-0.012826
182769,WMT,2015-07-27,71.38,229882787.62,-0.002794
182770,WMT,2015-07-28,72.1,232201582.9,0.010087
182771,WMT,2015-07-29,72.23,232620254.27,0.001803
182772,WMT,2015-07-30,72.16,232394815.84,-0.000969
182773,WMT,2015-07-31,71.98,231815117.02,-0.002494
182774,WMT,2015-08-03,72.18,232459226.82,0.002779
182775,WMT,2015-08-04,72.25,232684665.25,0.00097
182776,WMT,2015-08-05,73.51,236742556.99,0.024221
182777,WMT,2015-08-06,72.79,234423761.71,-0.009795
182778,WMT,2015-08-07,71.25,229464116.25,-0.021157
182779,WMT,2015-08-10,71.48,230204842.52,0.003228
182780,WMT,2015-08-11,71.93,231654089.57,0.006295
182781,WMT,2015-08-12,72.58,233747446.42,0.009037
182782,WMT,2015-08-13,72.11,232233788.39,-0.006476
182783,WMT,2015-08-14,72.38,233103336.62,0.003744
182784,WMT,2015-08-17,71.91,231589678.59,-0.006494
182785,WMT,2015-08-18,69.48,223763744.52,-0.033792
182786,WMT,2015-08-19,68.57,220833044.93,-0.013097
182787,WMT,2015-08-20,68.43,220382168.07,-0.002042
182788,WMT,2015-08-21,66.54,214295330.46,-0.027619
182789,WMT,2015-08-24,63.95,205954108.55,-0.038924
182790,WMT,2015-08-25,63.1,203216641.9,-0.013292
182791,WMT,2015-08-26,64.83,208788191.67,0.027417
182792,WMT,2015-08-27,66.08,212813877.92,0.019281
182793,WMT,2015-08-28,64.94,209142452.06,-0.017252
182794,WMT,2015-08-31,64.73,208466136.77,-0.003234
182795,WMT,2015-09-01,63.82,205535437.18,-0.014058
182796,WMT,2015-09-02,64.44,207532177.56,0.009715
182797,WMT,2015-09-03,64.86,208884808.14,0.006518
182798,WMT,2015-09-04,63.89,205760875.61,-0.014955
182799,WMT,2015-09-08,66.38,213780042.62,0.038973
182800,WMT,2015-09-09,65.12,209722150.88,-0.018982
182801,WMT,2015-09-10,64.12,206501601.88,-0.015356
182802,WMT,2015-09-11,64.65,208208492.85,0.008266
182803,WMT,2015-09-14,64.28,207016889.72,-0.005723
182804,WMT,2015-09-15,64.32,207145711.68,0.000622
182805,WMT,2015-09-16,64.69,208337314.81,0.005752
182806,WMT,2015-09-17,64.47,207628794.03,-0.003401
182807,WMT,2015-09-18,63.34,203989573.66,-0.017528
182808,WMT,2015-09-21,63.72,205213382.28,0.005999
182809,WMT,2015-09-22,63.59,204794710.91,-0.00204
182810,WMT,2015-09-23,63.72,205213382.28,0.002044
182811,WMT,2015-09-24,63.83,205567642.67,0.001726
182812,WMT,2015-09-25,63.78,205406615.22,-0.000783
182813,WMT,2015-09-28,63.66,205020149.34,-0.001881
182814,WMT,2015-09-29,63.78,205406615.22,0.001885
182815,WMT,2015-09-30,64.84,207873279.28,0.01662
182816,WMT,2015-10-01,64.27,206045892.34,-0.008791
182817,WMT,2015-10-02,64.98,208322111.16,0.011047
182818,WMT,2015-10-05,65.87,211175399.54,0.013697
182819,WMT,2015-10-06,65.68,210566270.56,-0.002884
182820,WMT,2015-10-07,66.36,212746311.12,0.010353
182821,WMT,2015-10-08,66.88,214413400.96,0.007836
182822,WMT,2015-10-09,66.69,213804271.98,-0.002841
182823,WMT,2015-10-12,66.93,214573698.06,0.003599
182824,WMT,2015-10-13,66.73,213932509.66,-0.002988
182825,WMT,2015-10-14,60.03,192452698.26,-0.100405
182826,WMT,2015-10-15,59.33,190208538.86,-0.011661
182827,WMT,2015-10-16,58.89,188797924.38,-0.007416
182828,WMT,2015-10-19,58.85,188669686.7,-0.000679
182829,WMT,2015-10-20,58.75,188349092.5,-0.001699
182830,WMT,2015-10-21,58.64,187996438.88,-0.001872
182831,WMT,2015-10-22,58.9,188829983.8,0.004434
182832,WMT,2015-10-23,58.3,186906418.6,-0.010187
182833,WMT,2015-10-26,58.02,186008754.84,-0.004803
182834,WMT,2015-10-27,57.48,184277546.16,-0.009307
182835,WMT,2015-10-28,57.64,184790496.88,0.002784
182836,WMT,2015-10-29,57.96,185816398.32,0.005552
182837,WMT,2015-10-30,57.24,183508120.08,-0.012422
182838,WMT,2015-11-02,57.61,184694318.62,0.006464
182839,WMT,2015-11-03,58.11,186297289.62,0.008679
182840,WMT,2015-11-04,58.37,187130834.54,0.004474
182841,WMT,2015-11-05,58.61,187900260.62,0.004112
182842,WMT,2015-11-06,58.78,188445270.76,0.002901
182843,WMT,2015-11-09,58.49,187515547.58,-0.004934
182844,WMT,2015-11-10,58.68,188124676.56,0.003248
182845,WMT,2015-11-11,57.58,184598140.36,-0.018746
182846,WMT,2015-11-12,56.95,182578396.9,-0.010941
182847,WMT,2015-11-13,56.42,180879247.64,-0.009306
182848,WMT,2015-11-16,57.87,185527863.54,0.0257
182849,WMT,2015-11-17,59.92,192100044.64,0.035424
182850,WMT,2015-11-18,60.93,195338046.06,0.016856
182851,WMT,2015-11-19,60.7,194600679.4,-0.003775
182852,WMT,2015-11-20,60.07,192580935.94,-0.010379
182853,WMT,2015-11-23,60.26,193190064.92,0.003163
182854,WMT,2015-11-24,59.92,192100044.64,-0.005642
182855,WMT,2015-11-25,60.24,193125946.08,0.00534
182856,WMT,2015-11-27,59.89,192003866.38,-0.00581
182857,WMT,2015-11-30,58.84,188637627.28,-0.017532
182858,WMT,2015-12-01,58.99,189118518.58,0.002549
182859,WMT,2015-12-02,58.35,187066715.7,-0.002543
182860,WMT,2015-12-03,59.04,189278815.68,0.011825
182861,WMT,2015-12-04,59.66,191266499.72,0.010501
182862,WMT,2015-12-07,60.5,193959491.0,0.01408
182863,WMT,2015-12-08,59.61,191106202.62,-0.014711
182864,WMT,2015-12-09,59.13,189567350.46,-0.008052
182865,WMT,2015-12-10,59.56,190945905.52,0.007272
182866,WMT,2015-12-11,59.36,190304717.12,-0.003358
182867,WMT,2015-12-14,60.39,193606837.38,0.017352
182868,WMT,2015-12-15,59.64,191202380.88,-0.012419
182869,WMT,2015-12-16,60.3,193318302.6,0.011066
182870,WMT,2015-12-17,58.98,189086459.16,-0.021891
182871,WMT,2015-12-18,58.85,188669686.7,-0.002204
182872,WMT,2015-12-21,59.55,190913846.1,0.011895
182873,WMT,2015-12-22,60.54,194087728.68,0.016625
182874,WMT,2015-12-23,61.09,195850996.78,0.009085
182875,WMT,2015-12-24,60.83,195017451.86,-0.004256
182876,WMT,2015-12-28,60.75,194760976.5,-0.001315
182877,WMT,2015-12-29,61.61,197518086.62,0.014156
182878,WMT,2015-12-30,61.68,197742502.56,0.001136
182879,WMT,2015-12-31,61.3,196276040.9,-0.006161
182880,WMT,2016-01-04,61.46,196788343.78,0.00261
182881,WMT,2016-01-05,62.92,201463107.56,0.023755
182882,WMT,2016-01-06,63.55,203480300.15,0.010013
182883,WMT,2016-01-07,65.03,208219101.79,0.023289
182884,WMT,2016-01-08,63.54,203448281.22,-0.022913
182885,WMT,2016-01-11,64.22,205625568.46,0.010702
182886,WMT,2016-01-12,63.62,203704432.66,-0.009343
182887,WMT,2016-01-13,61.92,198261214.56,-0.026721
182888,WMT,2016-01-14,63.06,201911372.58,0.018411
182889,WMT,2016-01-15,61.93,198293233.49,-0.017919
182890,WMT,2016-01-19,62.56,200310426.08,0.010173
182891,WMT,2016-01-20,60.84,194803170.12,-0.027494
182892,WMT,2016-01-21,61.88,198133138.84,0.017094
182893,WMT,2016-01-22,62.69,200726672.17,0.01309
182894,WMT,2016-01-25,63.45,203160110.85,0.012123
