Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
184642,XOM,2015-01-02,92.83,393091327.07,0.00411
184643,XOM,2015-01-05,90.29,382335623.41,-0.027362
184644,XOM,2015-01-06,89.81,380303049.49,-0.005316
184645,XOM,2015-01-07,90.72,384156470.88,0.010133
184646,XOM,2015-01-08,92.23,390550609.67,0.016645
184647,XOM,2015-01-09,92.1,390000120.9,-0.00141
184648,XOM,2015-01-12,90.33,382505004.57,-0.019218
184649,XOM,2015-01-13,90.0,381107610.0,-0.003653
184650,XOM,2015-01-14,89.74,380006632.46,-0.002889
184651,XOM,2015-01-15,88.96,376703699.84,-0.008692
184652,XOM,2015-01-16,91.12,385850282.48,0.024281
184653,XOM,2015-01-20,91.09,385723246.61,-0.000329
184654,XOM,2015-01-21,91.87,389026179.23,0.008563
184655,XOM,2015-01-22,92.87,393260708.23,0.010885
184656,XOM,2015-01-23,90.89,384876340.81,-0.02132
184657,XOM,2015-01-26,91.76,388560381.04,0.009572
184658,XOM,2015-01-27,90.95,385130412.55,-0.008827
184659,XOM,2015-01-28,87.95,372426825.55,-0.032985
184660,XOM,2015-01-29,87.58,370860049.82,-0.004207
184661,XOM,2015-01-30,87.42,370182525.18,-0.001827
184662,XOM,2015-02-02,89.58,379329107.82,0.024708
184663,XOM,2015-02-03,92.25,390635300.25,0.029806
184664,XOM,2015-02-04,91.46,387290022.34,-0.008564
184665,XOM,2015-02-05,92.36,391101098.44,0.00984
184666,XOM,2015-02-06,91.5,387459403.5,-0.001841
184667,XOM,2015-02-09,91.56,387713475.24,0.000656
184668,XOM,2015-02-10,91.01,385384484.29,-0.006007
184669,XOM,2015-02-11,90.6,383648327.4,-0.004505
184670,XOM,2015-02-12,92.37,391143443.73,0.019536
184671,XOM,2015-02-13,93.37,395377972.73,0.010826
184672,XOM,2015-02-17,93.05,394022923.45,-0.003427
184673,XOM,2015-02-18,91.01,385384484.29,-0.021924
184674,XOM,2015-02-19,89.44,378736273.76,-0.017251
184675,XOM,2015-02-20,89.92,380768847.68,0.005367
184676,XOM,2015-02-23,89.01,376915426.29,-0.01012
184677,XOM,2015-02-24,89.42,378651583.18,0.004606
184678,XOM,2015-02-25,89.6,379413798.4,0.002013
184679,XOM,2015-02-26,88.65,375390995.85,-0.010603
184680,XOM,2015-02-27,88.54,371397852.6,-0.001241
184681,XOM,2015-03-02,88.04,369300507.6,-0.005647
184682,XOM,2015-03-03,87.62,367538737.8,-0.004771
184683,XOM,2015-03-04,87.18,365693074.2,-0.005022
184684,XOM,2015-03-05,86.74,363847410.6,-0.005047
184685,XOM,2015-03-06,85.63,359191304.7,-0.012797
184686,XOM,2015-03-09,85.16,357219800.4,-0.005489
184687,XOM,2015-03-10,84.26,353444579.4,-0.010568
184688,XOM,2015-03-11,84.02,352437853.8,-0.002848
184689,XOM,2015-03-12,84.22,353276791.8,0.00238
184690,XOM,2015-03-13,83.87,351808650.3,-0.004156
184691,XOM,2015-03-16,84.76,355541924.4,0.010612
184692,XOM,2015-03-17,84.08,352689535.2,-0.008023
184693,XOM,2015-03-18,86.07,361036968.3,0.023668
184694,XOM,2015-03-19,84.41,354073782.9,-0.019287
184695,XOM,2015-03-20,84.54,354619092.6,0.00154
184696,XOM,2015-03-23,85.43,358352366.7,0.010528
184697,XOM,2015-03-24,84.52,354535198.8,-0.010652
184698,XOM,2015-03-25,84.86,355961393.4,0.004023
184699,XOM,2015-03-26,84.32,353696260.8,-0.006363
184700,XOM,2015-03-27,83.58,350592190.2,-0.008776
184701,XOM,2015-03-30,85.63,359191304.7,0.024527
184702,XOM,2015-03-31,85.0,356548650.0,-0.007357
184703,XOM,2015-04-01,84.46,354283517.4,-0.006353
184704,XOM,2015-04-02,84.3,353612367.0,-0.001894
184705,XOM,2015-04-06,85.13,357093959.7,0.009846
184706,XOM,2015-04-07,85.75,359694667.5,0.007283
184707,XOM,2015-04-08,84.06,352605641.4,-0.019708
184708,XOM,2015-04-09,84.65,355080508.5,0.007019
184709,XOM,2015-04-10,85.56,358897676.4,0.01075
184710,XOM,2015-04-13,85.34,357974844.6,-0.002571
184711,XOM,2015-04-14,86.63,363385994.7,0.015116
184712,XOM,2015-04-15,88.08,369468295.2,0.016738
184713,XOM,2015-04-16,87.73,368000153.7,-0.003974
184714,XOM,2015-04-17,86.93,364644401.7,-0.009119
184715,XOM,2015-04-20,87.24,365944755.6,0.003566
184716,XOM,2015-04-21,86.88,364434667.2,-0.004127
184717,XOM,2015-04-22,87.46,366867587.4,0.006676
184718,XOM,2015-04-23,87.54,367203162.6,0.000915
184719,XOM,2015-04-24,86.97,364812189.3,-0.006511
184720,XOM,2015-04-27,87.01,364979976.9,0.00046
184721,XOM,2015-04-28,87.8,368293782.0,0.009079
184722,XOM,2015-04-29,87.87,368587410.3,0.000797
184723,XOM,2015-04-30,87.37,366035741.3,-0.00569
184724,XOM,2015-05-01,88.85,372236186.5,0.016939
184725,XOM,2015-05-04,89.11,373325453.9,0.002926
184726,XOM,2015-05-05,88.61,371230708.9,-0.005611
184727,XOM,2015-05-06,88.19,369471123.1,-0.00474
184728,XOM,2015-05-07,87.6,366999324.0,-0.00669
184729,XOM,2015-05-08,88.99,372822715.1,0.015868
184730,XOM,2015-05-11,86.78,363563942.2,-0.016631
184731,XOM,2015-05-12,87.02,364569419.8,0.002766
184732,XOM,2015-05-13,86.56,362642254.4,-0.005286
